timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:37:55.527, P0, 1740 MHz, 6101 MHz, 0 %, 63, 16.90 W, 0x0000000000000004
2026/09/24 09:37:55.785, P0, 1740 MHz, 6101 MHz, 0 %, 63, 16.90 W, 0x0000000000000004
2026/09/24 09:37:56.050, P0, 1740 MHz, 6101 MHz, 1 %, 64, 17.28 W, 0x0000000000000001
2026/09/24 09:37:56.316, P0, 1740 MHz, 6101 MHz, 1 %, 64, 17.28 W, 0x0000000000000001
2026/09/24 09:37:56.570, P0, 1740 MHz, 6101 MHz, 29 %, 65, 21.74 W, 0x0000000000000001
2026/09/24 09:37:56.821, P0, 1740 MHz, 6101 MHz, 29 %, 65, 21.74 W, 0x0000000000000001
2026/09/24 09:37:57.085, P0, 1740 MHz, 6101 MHz, 29 %, 65, 22.12 W, 0x0000000000000001
2026/09/24 09:37:57.337, P0, 1740 MHz, 6101 MHz, 29 %, 65, 22.12 W, 0x0000000000000001
2026/09/24 09:37:57.589, P0, 1740 MHz, 6101 MHz, 29 %, 66, 22.21 W, 0x0000000000000001
2026/09/24 09:37:57.840, P0, 1740 MHz, 6101 MHz, 29 %, 66, 22.21 W, 0x0000000000000001
2026/09/24 09:37:58.092, P0, 1740 MHz, 6101 MHz, 29 %, 66, 22.28 W, 0x0000000000000001
2026/09/24 09:37:58.342, P0, 1740 MHz, 6101 MHz, 29 %, 66, 22.28 W, 0x0000000000000001
2026/09/24 09:37:58.606, P0, 1740 MHz, 6101 MHz, 30 %, 66, 22.36 W, 0x0000000000000001
2026/09/24 09:37:58.857, P0, 1740 MHz, 6101 MHz, 30 %, 66, 22.36 W, 0x0000000000000001
2026/09/24 09:37:59.108, P0, 1740 MHz, 6101 MHz, 29 %, 66, 22.22 W, 0x0000000000000001
2026/09/24 09:37:59.373, P0, 1740 MHz, 6101 MHz, 29 %, 66, 22.22 W, 0x0000000000000001
2026/09/24 09:37:59.638, P0, 1740 MHz, 6101 MHz, 29 %, 66, 23.13 W, 0x0000000000000001
2026/09/24 09:37:59.903, P0, 1740 MHz, 6101 MHz, 29 %, 66, 23.13 W, 0x0000000000000001
2026/09/24 09:38:00.155, P0, 1740 MHz, 6101 MHz, 29 %, 66, 22.49 W, 0x0000000000000001
2026/09/24 09:38:00.407, P0, 1740 MHz, 6101 MHz, 29 %, 66, 22.49 W, 0x0000000000000001
2026/09/24 09:38:00.669, P0, 1740 MHz, 6101 MHz, 27 %, 66, 22.23 W, 0x0000000000000001
2026/09/24 09:38:00.920, P0, 1740 MHz, 6101 MHz, 27 %, 66, 22.23 W, 0x0000000000000001
2026/09/24 09:38:01.170, P0, 1740 MHz, 6101 MHz, 28 %, 66, 22.08 W, 0x0000000000000001
2026/09/24 09:38:01.435, P0, 1740 MHz, 6101 MHz, 28 %, 66, 22.08 W, 0x0000000000000001
2026/09/24 09:38:01.697, P0, 1740 MHz, 6101 MHz, 28 %, 66, 21.83 W, 0x0000000000000001
2026/09/24 09:38:01.962, P0, 1740 MHz, 6101 MHz, 28 %, 66, 21.83 W, 0x0000000000000001
2026/09/24 09:38:02.227, P0, 1740 MHz, 6101 MHz, 28 %, 66, 22.01 W, 0x0000000000000001
2026/09/24 09:38:02.492, P0, 1740 MHz, 6101 MHz, 27 %, 66, 22.08 W, 0x0000000000000001
2026/09/24 09:38:02.758, P0, 1740 MHz, 6101 MHz, 27 %, 66, 22.08 W, 0x0000000000000001
2026/09/24 09:38:03.023, P0, 1740 MHz, 6101 MHz, 31 %, 67, 22.24 W, 0x0000000000000001
2026/09/24 09:38:03.288, P0, 1740 MHz, 6101 MHz, 31 %, 67, 22.24 W, 0x0000000000000001
2026/09/24 09:38:03.551, P0, 1740 MHz, 6101 MHz, 28 %, 67, 22.04 W, 0x0000000000000001
2026/09/24 09:38:03.813, P0, 1740 MHz, 6101 MHz, 28 %, 67, 22.04 W, 0x0000000000000001
2026/09/24 09:38:04.065, P0, 1740 MHz, 6101 MHz, 29 %, 67, 22.28 W, 0x0000000000000001
2026/09/24 09:38:04.329, P0, 1740 MHz, 6101 MHz, 29 %, 67, 22.28 W, 0x0000000000000001
2026/09/24 09:38:04.594, P0, 1740 MHz, 6101 MHz, 27 %, 67, 21.63 W, 0x0000000000000001
2026/09/24 09:38:04.855, P0, 1740 MHz, 6101 MHz, 27 %, 67, 21.63 W, 0x0000000000000001
2026/09/24 09:38:05.119, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.48 W, 0x0000000000000001
2026/09/24 09:38:05.383, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.48 W, 0x0000000000000001
2026/09/24 09:38:05.648, P0, 1740 MHz, 6101 MHz, 30 %, 67, 22.38 W, 0x0000000000000001
2026/09/24 09:38:05.911, P0, 1740 MHz, 6101 MHz, 30 %, 67, 22.38 W, 0x0000000000000001
2026/09/24 09:38:06.177, P0, 1740 MHz, 6101 MHz, 30 %, 67, 22.31 W, 0x0000000000000001
2026/09/24 09:38:06.441, P0, 1740 MHz, 6101 MHz, 30 %, 67, 22.31 W, 0x0000000000000001
2026/09/24 09:38:06.706, P0, 1740 MHz, 6101 MHz, 28 %, 67, 22.33 W, 0x0000000000000001
2026/09/24 09:38:06.970, P0, 1740 MHz, 6101 MHz, 28 %, 67, 22.33 W, 0x0000000000000001
2026/09/24 09:38:07.236, P0, 1740 MHz, 6101 MHz, 30 %, 67, 22.38 W, 0x0000000000000001
2026/09/24 09:38:07.498, P0, 1740 MHz, 6101 MHz, 30 %, 67, 22.39 W, 0x0000000000000001
2026/09/24 09:38:07.764, P0, 1740 MHz, 6101 MHz, 30 %, 67, 22.39 W, 0x0000000000000001
2026/09/24 09:38:08.029, P0, 1740 MHz, 6101 MHz, 28 %, 67, 21.94 W, 0x0000000000000001
2026/09/24 09:38:08.294, P0, 1740 MHz, 6101 MHz, 28 %, 67, 21.94 W, 0x0000000000000001
2026/09/24 09:38:08.558, P0, 1740 MHz, 6101 MHz, 30 %, 67, 22.45 W, 0x0000000000000001
2026/09/24 09:38:08.821, P0, 1740 MHz, 6101 MHz, 30 %, 67, 22.45 W, 0x0000000000000001
2026/09/24 09:38:09.083, P0, 1740 MHz, 6101 MHz, 30 %, 67, 22.47 W, 0x0000000000000001
2026/09/24 09:38:09.347, P0, 1740 MHz, 6101 MHz, 30 %, 67, 22.47 W, 0x0000000000000001
2026/09/24 09:38:09.610, P0, 1740 MHz, 6101 MHz, 27 %, 67, 22.27 W, 0x0000000000000001
2026/09/24 09:38:09.860, P0, 1740 MHz, 6101 MHz, 27 %, 67, 22.27 W, 0x0000000000000001
2026/09/24 09:38:10.125, P0, 1740 MHz, 6101 MHz, 29 %, 67, 22.36 W, 0x0000000000000001
2026/09/24 09:38:10.388, P0, 1740 MHz, 6101 MHz, 29 %, 67, 22.36 W, 0x0000000000000001
2026/09/24 09:38:10.652, P0, 1740 MHz, 6101 MHz, 28 %, 67, 22.05 W, 0x0000000000000001
2026/09/24 09:38:10.915, P0, 1740 MHz, 6101 MHz, 28 %, 67, 22.05 W, 0x0000000000000001
2026/09/24 09:38:11.180, P0, 1740 MHz, 6101 MHz, 26 %, 67, 22.02 W, 0x0000000000000001
2026/09/24 09:38:11.443, P0, 1740 MHz, 6101 MHz, 26 %, 67, 22.02 W, 0x0000000000000001
2026/09/24 09:38:11.706, P0, 1740 MHz, 6101 MHz, 27 %, 67, 22.06 W, 0x0000000000000001
2026/09/24 09:38:11.967, P0, 1740 MHz, 6101 MHz, 27 %, 67, 22.06 W, 0x0000000000000001
2026/09/24 09:38:12.230, P0, 1740 MHz, 6101 MHz, 28 %, 67, 22.20 W, 0x0000000000000001
2026/09/24 09:38:12.495, P0, 1740 MHz, 6101 MHz, 28 %, 68, 22.88 W, 0x0000000000000001
2026/09/24 09:38:12.759, P0, 1740 MHz, 6101 MHz, 28 %, 68, 22.88 W, 0x0000000000000001
2026/09/24 09:38:13.021, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.84 W, 0x0000000000000001
2026/09/24 09:38:13.284, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.84 W, 0x0000000000000001
2026/09/24 09:38:13.535, P0, 1740 MHz, 6101 MHz, 27 %, 68, 22.34 W, 0x0000000000000001
2026/09/24 09:38:13.799, P0, 1740 MHz, 6101 MHz, 27 %, 68, 22.34 W, 0x0000000000000001
2026/09/24 09:38:14.062, P0, 1740 MHz, 6101 MHz, 24 %, 68, 20.82 W, 0x0000000000000001
2026/09/24 09:38:14.327, P0, 1740 MHz, 6101 MHz, 24 %, 68, 20.82 W, 0x0000000000000001
2026/09/24 09:38:14.591, P0, 1740 MHz, 6101 MHz, 26 %, 68, 22.03 W, 0x0000000000000001
2026/09/24 09:38:14.854, P0, 1740 MHz, 6101 MHz, 26 %, 68, 22.03 W, 0x0000000000000001
2026/09/24 09:38:15.119, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.30 W, 0x0000000000000001
2026/09/24 09:38:15.385, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.30 W, 0x0000000000000001
2026/09/24 09:38:15.650, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.70 W, 0x0000000000000001
2026/09/24 09:38:15.902, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.70 W, 0x0000000000000001
2026/09/24 09:38:16.164, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.62 W, 0x0000000000000001
2026/09/24 09:38:16.428, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.62 W, 0x0000000000000001
2026/09/24 09:38:16.692, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.42 W, 0x0000000000000001
2026/09/24 09:38:16.953, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.42 W, 0x0000000000000001
2026/09/24 09:38:17.213, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.49 W, 0x0000000000000001
2026/09/24 09:38:17.479, P0, 1740 MHz, 6101 MHz, 29 %, 68, 22.49 W, 0x0000000000000001
2026/09/24 09:38:17.730, P0, 1740 MHz, 6101 MHz, 28 %, 68, 22.52 W, 0x0000000000000001
2026/09/24 09:38:17.995, P0, 1740 MHz, 6101 MHz, 29 %, 68, 23.49 W, 0x0000000000000001
2026/09/24 09:38:18.257, P0, 1740 MHz, 6101 MHz, 29 %, 68, 23.49 W, 0x0000000000000001
2026/09/24 09:38:18.522, P0, 1740 MHz, 6101 MHz, 26 %, 68, 22.60 W, 0x0000000000000001
2026/09/24 09:38:18.786, P0, 1740 MHz, 6101 MHz, 26 %, 68, 22.60 W, 0x0000000000000001
2026/09/24 09:38:19.050, P0, 1740 MHz, 6101 MHz, 27 %, 68, 22.53 W, 0x0000000000000001
2026/09/24 09:38:19.314, P0, 1740 MHz, 6101 MHz, 27 %, 68, 22.53 W, 0x0000000000000001
2026/09/24 09:38:19.578, P0, 1740 MHz, 6101 MHz, 27 %, 68, 22.44 W, 0x0000000000000001
2026/09/24 09:38:19.840, P0, 1740 MHz, 6101 MHz, 27 %, 68, 22.44 W, 0x0000000000000001
2026/09/24 09:38:20.102, P0, 1740 MHz, 6101 MHz, 24 %, 68, 21.94 W, 0x0000000000000001
2026/09/24 09:38:20.367, P0, 1740 MHz, 6101 MHz, 24 %, 68, 21.94 W, 0x0000000000000001
2026/09/24 09:38:20.632, P0, 1740 MHz, 6101 MHz, 26 %, 68, 22.50 W, 0x0000000000000001
2026/09/24 09:38:20.882, P0, 1740 MHz, 6101 MHz, 26 %, 68, 22.50 W, 0x0000000000000001
2026/09/24 09:38:21.147, P0, 1740 MHz, 6101 MHz, 26 %, 68, 22.16 W, 0x0000000000000001
2026/09/24 09:38:21.410, P0, 1740 MHz, 6101 MHz, 26 %, 68, 22.16 W, 0x0000000000000001
2026/09/24 09:38:21.674, P0, 1740 MHz, 6101 MHz, 27 %, 69, 22.69 W, 0x0000000000000001
2026/09/24 09:38:21.938, P0, 1740 MHz, 6101 MHz, 27 %, 69, 22.69 W, 0x0000000000000001
2026/09/24 09:38:22.202, P0, 1740 MHz, 6101 MHz, 28 %, 69, 23.03 W, 0x0000000000000001
2026/09/24 09:38:22.465, P0, 1740 MHz, 6101 MHz, 28 %, 69, 23.03 W, 0x0000000000000001
2026/09/24 09:38:22.728, P0, 1740 MHz, 6101 MHz, 27 %, 69, 22.76 W, 0x0000000000000001
2026/09/24 09:38:22.992, P0, 1740 MHz, 6101 MHz, 27 %, 69, 22.76 W, 0x0000000000000001
2026/09/24 09:38:23.255, P0, 1740 MHz, 6101 MHz, 23 %, 69, 22.10 W, 0x0000000000000001
2026/09/24 09:38:23.520, P0, 1740 MHz, 6101 MHz, 25 %, 69, 22.06 W, 0x0000000000000001
2026/09/24 09:38:23.785, P0, 1740 MHz, 6101 MHz, 25 %, 69, 22.06 W, 0x0000000000000001
2026/09/24 09:38:24.036, P0, 1740 MHz, 6101 MHz, 28 %, 69, 22.17 W, 0x0000000000000001
2026/09/24 09:38:24.301, P0, 1740 MHz, 6101 MHz, 28 %, 69, 22.17 W, 0x0000000000000001
2026/09/24 09:38:24.565, P0, 1740 MHz, 6101 MHz, 26 %, 69, 22.42 W, 0x0000000000000001
2026/09/24 09:38:24.829, P0, 1740 MHz, 6101 MHz, 26 %, 69, 22.42 W, 0x0000000000000001
2026/09/24 09:38:25.093, P0, 1740 MHz, 6101 MHz, 28 %, 69, 22.73 W, 0x0000000000000001
2026/09/24 09:38:25.356, P0, 1740 MHz, 6101 MHz, 28 %, 69, 22.73 W, 0x0000000000000001
2026/09/24 09:38:25.607, P0, 1740 MHz, 6101 MHz, 28 %, 69, 22.80 W, 0x0000000000000001
2026/09/24 09:38:25.870, P0, 1740 MHz, 6101 MHz, 28 %, 69, 22.80 W, 0x0000000000000001
2026/09/24 09:38:26.136, P0, 1740 MHz, 6101 MHz, 26 %, 69, 22.71 W, 0x0000000000000001
2026/09/24 09:38:26.400, P0, 1740 MHz, 6101 MHz, 26 %, 69, 22.71 W, 0x0000000000000001
2026/09/24 09:38:26.664, P0, 1740 MHz, 6101 MHz, 27 %, 69, 22.70 W, 0x0000000000000001
2026/09/24 09:38:26.924, P0, 1740 MHz, 6101 MHz, 27 %, 69, 22.70 W, 0x0000000000000001
2026/09/24 09:38:27.190, P0, 1740 MHz, 6101 MHz, 28 %, 69, 22.89 W, 0x0000000000000001
2026/09/24 09:38:27.451, P0, 1740 MHz, 6101 MHz, 28 %, 69, 22.89 W, 0x0000000000000001
2026/09/24 09:38:27.715, P0, 1740 MHz, 6101 MHz, 26 %, 69, 22.77 W, 0x0000000000000001
2026/09/24 09:38:27.976, P0, 1740 MHz, 6101 MHz, 26 %, 69, 22.77 W, 0x0000000000000001
2026/09/24 09:38:28.240, P0, 1740 MHz, 6101 MHz, 28 %, 69, 22.77 W, 0x0000000000000001
2026/09/24 09:38:28.505, P0, 1740 MHz, 6101 MHz, 27 %, 69, 22.59 W, 0x0000000000000001
2026/09/24 09:38:28.768, P0, 1740 MHz, 6101 MHz, 27 %, 69, 22.59 W, 0x0000000000000001
2026/09/24 09:38:29.029, P0, 1740 MHz, 6101 MHz, 24 %, 69, 22.37 W, 0x0000000000000001
