timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:47:27.286, P0, 1740 MHz, 6101 MHz, 0 %, 68, 19.46 W, 0x0000000000000001
2026/09/24 09:47:27.539, P0, 1740 MHz, 6101 MHz, 0 %, 68, 19.46 W, 0x0000000000000001
2026/09/24 09:47:27.790, P0, 1740 MHz, 6101 MHz, 0 %, 69, 18.02 W, 0x0000000000000001
2026/09/24 09:47:28.055, P0, 1740 MHz, 6101 MHz, 0 %, 69, 18.02 W, 0x0000000000000001
2026/09/24 09:47:28.319, P0, 1740 MHz, 6101 MHz, 30 %, 70, 22.54 W, 0x0000000000000001
2026/09/24 09:47:28.585, P0, 1740 MHz, 6101 MHz, 30 %, 70, 22.54 W, 0x0000000000000001
2026/09/24 09:47:28.835, P0, 1740 MHz, 6101 MHz, 28 %, 70, 23.17 W, 0x0000000000000001
2026/09/24 09:47:29.088, P0, 1740 MHz, 6101 MHz, 28 %, 70, 23.17 W, 0x0000000000000001
2026/09/24 09:47:29.341, P0, 1740 MHz, 6101 MHz, 30 %, 70, 23.08 W, 0x0000000000000001
2026/09/24 09:47:29.592, P0, 1740 MHz, 6101 MHz, 30 %, 70, 23.08 W, 0x0000000000000001
2026/09/24 09:47:29.844, P0, 1740 MHz, 6101 MHz, 30 %, 70, 23.12 W, 0x0000000000000001
2026/09/24 09:47:30.095, P0, 1740 MHz, 6101 MHz, 30 %, 70, 23.12 W, 0x0000000000000001
2026/09/24 09:47:30.349, P0, 1740 MHz, 6101 MHz, 30 %, 70, 23.15 W, 0x0000000000000001
2026/09/24 09:47:30.601, P0, 1740 MHz, 6101 MHz, 30 %, 70, 23.15 W, 0x0000000000000001
2026/09/24 09:47:30.866, P0, 1740 MHz, 6101 MHz, 29 %, 71, 22.96 W, 0x0000000000000001
2026/09/24 09:47:31.131, P0, 1740 MHz, 6101 MHz, 29 %, 71, 22.96 W, 0x0000000000000001
2026/09/24 09:47:31.382, P0, 1740 MHz, 6101 MHz, 29 %, 71, 23.07 W, 0x0000000000000001
2026/09/24 09:47:31.643, P0, 1740 MHz, 6101 MHz, 29 %, 71, 23.07 W, 0x0000000000000001
2026/09/24 09:47:31.908, P0, 1740 MHz, 6101 MHz, 28 %, 71, 23.14 W, 0x0000000000000001
2026/09/24 09:47:32.171, P0, 1740 MHz, 6101 MHz, 28 %, 71, 23.14 W, 0x0000000000000001
2026/09/24 09:47:32.435, P0, 1740 MHz, 6101 MHz, 29 %, 71, 22.94 W, 0x0000000000000001
2026/09/24 09:47:32.700, P0, 1740 MHz, 6101 MHz, 29 %, 71, 22.94 W, 0x0000000000000001
2026/09/24 09:47:32.965, P0, 1740 MHz, 6101 MHz, 28 %, 71, 22.76 W, 0x0000000000000001
2026/09/24 09:47:33.227, P0, 1740 MHz, 6101 MHz, 28 %, 71, 22.76 W, 0x0000000000000001
2026/09/24 09:47:33.489, P0, 1740 MHz, 6101 MHz, 27 %, 71, 22.75 W, 0x0000000000000001
2026/09/24 09:47:33.740, P0, 1740 MHz, 6101 MHz, 27 %, 71, 22.60 W, 0x0000000000000001
2026/09/24 09:47:33.991, P0, 1740 MHz, 6101 MHz, 27 %, 71, 22.60 W, 0x0000000000000001
2026/09/24 09:47:34.255, P0, 1740 MHz, 6101 MHz, 27 %, 71, 22.71 W, 0x0000000000000001
2026/09/24 09:47:34.520, P0, 1740 MHz, 6101 MHz, 27 %, 71, 22.71 W, 0x0000000000000001
2026/09/24 09:47:34.784, P0, 1740 MHz, 6101 MHz, 29 %, 71, 22.78 W, 0x0000000000000001
2026/09/24 09:47:35.047, P0, 1740 MHz, 6101 MHz, 29 %, 71, 22.78 W, 0x0000000000000001
