# start_unix_ms 1790235840662
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0000,0.0246,0.0634,0.8048,9.8272,0.0000,0.0000
1,9.916,9.9165,0.0000,0.0176,0.0334,0.3428,0.5016,0.0000,0.0000
2,10.461,0.5443,0.0000,0.0234,0.0211,0.1160,0.2590,0.2816,0.1188
3,10.750,0.2895,0.0000,0.0139,0.0181,0.0646,0.1761,0.2771,0.1219
4,10.950,0.1993,0.0000,0.5565,0.0249,10.9477,11.6136,0.2807,0.1219
5,22.636,11.6862,0.0000,0.0341,0.0418,0.0954,0.3108,0.5090,0.1198
6,22.988,0.3518,0.0000,3.9874,0.0459,3.5115,7.6872,0.2753,0.1229
7,30.747,7.7594,0.0000,31.5905,0.0701,0.6493,32.5010,0.2812,0.1239
8,63.358,32.6109,0.0000,6.8484,0.0933,0.3449,7.5001,0.2765,0.1208
9,70.998,7.6401,0.0000,11.8202,0.1299,0.1800,12.3945,0.7591,0.1208
10,83.501,12.5029,0.0000,6.1152,0.0410,0.1180,6.4012,0.7530,0.1208
11,90.001,6.5002,0.0000,7.0566,0.1634,0.1797,7.8150,0.7231,0.1208
12,97.922,7.9207,0.0000,5.9687,0.0506,0.2012,6.3694,0.2816,0.1188
13,104.543,6.6217,0.0000,5.9036,0.0733,0.1973,6.3910,0.2780,0.1178
14,111.154,6.6109,0.0000,6.2196,0.0487,0.1292,6.5744,0.7483,0.1178
15,117.803,6.6489,0.0000,6.6874,0.0562,0.1138,7.0622,0.7500,0.1188
16,124.943,7.1393,0.0000,6.3213,0.0437,0.0989,6.6536,0.7479,0.1188
17,131.665,6.7223,0.0000,6.5216,0.0414,0.1294,6.8393,0.7478,0.1188
18,138.571,6.9061,0.0000,6.9297,0.0413,0.2369,7.3451,0.7487,0.1188
19,145.987,7.4163,0.0000,6.3395,0.0708,0.1607,6.7160,0.7496,0.1188
20,152.839,6.8515,0.0000,5.9968,0.0411,0.1114,6.4253,0.7508,0.1188
21,159.449,6.6099,0.0000,6.8038,0.0391,0.1068,7.0951,0.7468,0.1188
22,166.614,7.1650,0.0000,6.2986,0.0417,0.1122,6.5859,0.7489,0.1188
23,173.265,6.6512,0.0000,6.7038,0.0497,0.1138,7.0116,0.7479,0.1188
24,180.341,7.0760,0.0000,6.6302,0.0447,0.1059,6.9205,0.7516,0.1188
25,187.325,6.9842,0.0000,6.6512,0.0444,0.1087,6.9501,0.7481,0.1178
26,194.345,7.0202,0.0000,6.4941,0.0460,0.1117,6.7942,0.7513,0.1188
27,201.207,6.8618,0.0000,6.8499,0.0523,0.1247,7.1852,0.7503,0.1178
28,208.489,7.2819,0.0000,6.1656,0.0407,0.1190,6.4648,0.7530,0.1188
29,215.022,6.5329,0.0000,6.6295,0.0465,0.1143,7.0097,0.7506,0.1178
30,222.180,7.1585,0.0000,6.2008,0.0483,0.1011,6.5063,0.7485,0.1188
31,228.752,6.5720,0.0000,6.8718,0.0418,0.1575,7.2562,0.7491,0.1188
32,236.085,7.3331,0.0000,6.1695,0.0430,0.1066,6.4843,0.7498,0.1188
33,242.642,6.5566,0.0000,6.8441,0.0958,0.1172,7.2049,0.7512,0.1198
34,249.924,7.2818,0.0000,6.7652,0.0411,0.1152,7.0707,0.7497,0.1178
35,257.065,7.1416,0.0000,6.6463,0.0444,0.1197,6.9574,0.7497,0.1188
36,264.095,7.0297,0.0000,6.4331,0.0390,0.1531,6.7814,0.7519,0.1188
37,270.944,6.8491,0.0000,6.3180,0.0340,0.1910,6.6811,0.7494,0.1188
38,277.691,6.7472,0.0000,6.4432,0.0397,0.1688,6.7982,0.7513,0.1198
39,285.024,7.3326,0.0000,6.0929,0.0556,0.1577,6.4655,0.7514,0.1178
40,291.575,6.5514,0.0000,6.3682,0.0521,0.2978,6.8989,0.7488,0.1178
41,298.546,6.9707,0.0000,6.3718,0.0429,0.1074,6.6930,0.7484,0.1188
42,305.306,6.7602,0.0000,6.4605,0.0419,0.1079,6.9037,0.7462,0.1188
43,312.279,6.9729,0.0000,6.5022,0.0490,0.1120,6.9200,0.7500,0.1188
44,319.274,6.9946,0.0000,6.4126,0.0420,0.1163,6.7097,0.7474,0.1188
45,326.049,6.7747,0.0000,6.6249,0.0668,0.1177,6.9784,0.7501,0.1178
46,333.091,7.0425,0.0000,6.6136,0.0536,0.1935,7.0348,0.7480,0.1188
47,340.200,7.1088,0.0000,6.4313,0.0513,0.1651,6.7944,0.7507,0.1188
48,347.208,7.0079,0.0000,6.2320,0.0547,0.1158,6.5875,0.7471,0.1188
49,353.859,6.6514,0.0000,7.8899,0.0664,0.1330,8.2737,0.7478,0.1188
50,362.213,8.3542,0.0000,5.4753,0.0497,0.1240,5.8162,0.7496,0.1188
51,368.105,5.8919,0.0000,6.0503,0.0486,0.1453,6.5406,0.7497,0.1188
52,374.770,6.6643,0.0000,6.7140,0.0457,0.1242,7.0557,0.7505,0.1188
53,381.928,7.1582,0.0000,6.4212,0.0584,0.1551,6.8818,0.7506,0.1188
54,388.980,7.0520,0.0000,6.3333,0.1033,0.1647,6.8540,0.7510,0.1188
55,395.937,6.9576,0.0000,6.2354,0.0535,0.1335,6.6394,0.7481,0.1188
56,402.686,6.7486,0.0000,6.4250,0.0393,0.2140,6.8682,0.7494,0.1188
57,409.626,6.9402,0.0000,6.1338,0.0383,0.1115,6.4714,0.7458,0.1188
58,416.170,6.5435,0.0000,6.8208,0.0402,0.1125,7.1155,0.7476,0.1188
59,423.351,7.1811,0.0000,6.4619,0.0441,0.1083,6.7769,0.7512,0.1188
60,430.237,6.8863,0.0000,6.6765,0.0362,0.1081,6.9713,0.7464,0.1188
61,437.343,7.1062,0.0000,6.2262,0.0408,0.1065,6.5553,0.7513,0.1188
62,443.965,6.6216,0.0000,6.6976,0.0413,0.1139,6.9959,0.7475,0.1188
63,451.026,7.0616,0.0000,6.6697,0.0399,0.1056,6.9563,0.7484,0.1188
64,458.048,7.0216,0.0000,6.5747,0.0486,0.3196,7.1281,0.7482,0.1188
65,465.264,7.2163,0.0000,6.3015,0.0440,0.1464,6.6737,0.7462,0.1188
66,472.018,6.7539,0.0000,6.4090,0.0398,0.1236,6.7116,0.7466,0.1188
67,478.794,6.7755,0.0000,6.6465,0.0377,0.1221,6.9505,0.7472,0.1188
68,485.810,7.0159,0.0000,6.7591,0.0400,0.2024,7.1411,0.7463,0.1188
69,493.028,7.2183,0.0000,6.2693,0.0321,0.1194,6.5536,0.7474,0.1188
70,499.646,6.6184,0.0000,6.6521,0.0475,0.1061,6.9492,0.7472,0.1198
71,506.660,7.0132,0.0000,6.6994,0.0476,0.2019,7.0842,0.7433,0.1188
72,513.867,7.2073,0.0000,6.2436,0.0435,0.1295,6.6746,0.7456,0.1188
73,520.672,6.8053,0.0000,6.3775,0.0392,0.1498,6.7062,0.7460,0.1188
74,527.442,6.7698,0.0000,6.5789,0.0382,0.1179,6.8819,0.7448,0.1188
75,534.389,6.9474,0.0000,7.1705,0.0657,0.1330,7.6063,0.7453,0.1198
76,542.085,7.6960,0.0000,6.2173,0.0508,0.1103,6.5314,0.7457,0.1198
77,548.689,6.6040,0.0000,5.9715,0.0488,0.1330,6.3270,0.7448,0.1188
78,555.102,6.4122,0.0000,6.6150,0.0366,0.1572,6.9472,0.7417,0.1198
79,562.111,7.0090,0.0000,6.6369,0.0399,0.1243,6.9419,0.7483,0.1188
80,569.123,7.0127,0.0000,6.5001,0.0405,0.1379,6.8625,0.7483,0.1198
81,576.225,7.1017,0.0000,6.2370,0.0648,0.2779,6.7823,0.7444,0.1198
82,583.078,6.8532,0.0000,6.4434,0.0474,0.1091,6.7415,0.7473,0.1198
83,589.883,6.8050,0.0000,6.5868,0.0424,0.1178,6.8932,0.7446,0.1198
84,596.844,6.9611,0.0000,6.5630,0.0427,0.1121,6.8700,0.7419,0.1198
85,603.782,6.9380,0.0000,6.6758,0.0419,0.1700,7.0236,0.7438,0.1198
86,610.871,7.0892,0.0000,6.6748,0.0397,0.1049,6.9682,0.7432,0.1198
87,617.903,7.0310,0.0000,6.6720,0.0388,0.1025,6.9550,0.7481,0.1188
88,624.920,7.0176,0.0000,6.5229,0.0385,0.2135,6.9141,0.7440,0.1188
89,631.975,7.0545,0.0000,6.1678,0.0676,0.1204,6.5293,0.7462,0.1188
90,638.567,6.5925,0.0000,6.7789,0.0432,0.1421,7.1102,0.7446,0.1188
