# start_unix_ms 1790236157020
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0001,0.0231,0.0642,0.8671,10.2535,0.0000,0.0000
1,10.352,10.3516,0.0001,0.0171,0.0357,0.3545,0.5270,0.0000,0.0000
2,10.920,0.5688,16.4657,0.0748,0.0792,2.5293,19.3669,0.2789,0.1188
3,30.361,19.4403,3.8629,0.0624,0.0934,1.0867,5.3261,0.2853,0.1188
4,35.755,5.3939,14.1276,0.0818,0.0974,0.2304,14.7977,0.2779,0.1178
5,50.630,14.8752,5.8156,0.0384,0.0472,0.1066,6.1290,0.2776,0.1188
6,56.817,6.1869,18.5839,0.0459,0.0648,0.3023,19.3364,0.2774,0.1188
7,76.294,19.4773,8.1414,0.0587,0.0525,0.1782,8.5626,0.2731,0.1178
8,84.929,8.6351,5.5279,0.0626,0.0777,0.3727,6.2269,0.2776,0.1188
9,91.285,6.3560,5.2368,0.0827,0.1489,0.4422,6.1332,0.2758,0.1178
10,97.517,6.2316,6.2143,0.0467,0.0737,0.2803,6.8202,0.2759,0.1178
11,104.441,6.9246,5.9635,0.0352,0.0741,0.5195,6.7487,0.2791,0.1198
12,111.274,6.8331,7.1335,0.0569,0.0583,0.1305,7.5318,0.2771,0.1178
13,118.875,7.6008,5.5319,0.0607,0.0480,0.1201,5.9100,0.2767,0.1178
14,124.848,5.9732,7.5531,0.0549,0.0540,0.1528,8.0383,0.2755,0.1167
15,132.956,8.1078,5.5156,0.2444,0.0756,0.1692,6.2531,0.2766,0.1188
16,139.332,6.3758,6.1368,0.0606,0.0481,0.1162,6.5255,0.2752,0.1167
17,145.955,6.6232,7.0589,0.0992,0.0655,0.1238,7.5308,0.2760,0.1178
18,153.642,7.6865,5.8856,0.0384,0.0523,0.1342,6.2858,0.2786,0.1178
19,160.014,6.3722,7.5564,0.0455,0.0515,0.1372,7.9219,0.2765,0.1167
20,168.003,7.9894,5.5349,0.0578,0.0590,0.2903,6.0992,0.2796,0.1178
21,174.174,6.1709,7.4060,0.0439,0.0506,0.1149,7.7502,0.2772,0.1167
22,181.991,7.8168,5.5437,0.0395,0.0470,0.1399,5.8932,0.2777,0.1178
23,188.072,6.0812,12.4895,0.1284,0.2011,0.5740,13.7988,0.2776,0.1178
24,202.092,14.0196,6.4566,0.0734,0.0713,0.2044,7.0208,0.2750,0.1167
25,209.205,7.1134,5.3695,0.0381,0.0857,0.1895,5.8577,0.2761,0.1167
26,215.168,5.9624,6.3581,0.0363,0.0597,0.1466,6.8419,0.2756,0.1167
27,222.100,6.9325,7.5058,0.0586,0.0540,0.1286,7.8977,0.2777,0.1188
28,230.078,7.9776,5.4519,0.0862,0.0782,0.2389,6.0460,0.2788,0.1178
29,236.230,6.1522,7.3302,0.0448,0.0509,0.1186,7.7043,0.2778,0.1167
30,244.004,7.7745,5.5466,0.0444,0.0758,0.1881,6.0533,0.2780,0.1188
31,250.163,6.1582,6.6233,0.0774,0.0646,0.1551,7.1338,0.2766,0.1178
32,257.400,7.2372,5.4640,0.0542,0.0831,0.5242,6.3557,0.2785,0.1188
33,263.834,6.4340,6.9841,0.0593,0.0882,0.1357,7.4724,0.2792,0.1178
34,271.381,7.5471,5.4394,0.0278,0.0350,0.3645,6.0397,0.2769,0.1178
35,277.483,6.1022,7.3829,0.0994,0.1160,0.1432,8.1224,0.2771,0.1167
36,285.730,8.2468,5.1336,0.0649,0.0579,0.5020,5.9407,0.2783,0.1167
37,291.787,6.0572,7.0723,0.0485,0.0643,0.1215,7.4999,0.2778,0.1167
38,299.354,7.5665,5.4576,0.0536,0.0669,0.3355,6.0824,0.2777,0.1167
39,305.499,6.1458,7.3825,0.0436,0.0450,0.1228,7.7427,0.2778,0.1167
40,313.305,7.8060,5.6854,0.0495,0.0449,0.3513,6.3935,0.2772,0.1167
41,319.773,6.4676,7.1233,0.0404,0.0486,0.1969,7.5482,0.2751,0.1167
42,327.386,7.6131,5.9873,0.0410,0.0479,0.1370,6.3941,0.2747,0.3666
43,333.853,6.4668,7.2359,0.0428,0.0502,0.1173,7.5990,0.2739,0.1178
44,341.520,7.6673,5.5727,0.0385,0.0424,0.1279,5.9217,0.2745,0.1178
45,347.517,5.9966,6.7194,0.0435,0.0633,0.1360,7.1305,0.2772,0.1178
46,354.724,7.2071,7.0586,0.1189,0.0768,0.2562,7.7170,0.2767,0.1167
47,362.579,7.8553,6.1460,0.0374,0.0450,0.1068,6.4698,0.2777,0.1167
48,369.111,6.5316,5.6153,0.0391,0.0658,0.1285,5.9953,0.2737,0.1167
49,375.185,6.0741,7.5871,0.0376,0.0679,0.1125,7.9424,0.2746,0.1178
50,383.191,8.0057,5.5441,0.0404,0.0444,0.2068,5.9870,0.2772,0.1178
51,389.254,6.0633,7.5623,0.0644,0.0515,0.1197,7.9372,0.2773,0.1167
52,397.257,8.0033,5.4926,0.0842,0.0621,0.1403,5.9763,0.2743,0.1178
53,403.323,6.0658,6.0641,0.1128,0.0511,0.1256,6.5472,0.2747,0.1178
54,409.952,6.6290,7.3496,0.0425,0.0578,0.1086,7.6952,0.2749,0.1167
55,417.712,7.7599,5.5516,0.0313,0.0520,0.1268,5.9083,0.2736,0.1178
56,423.698,5.9866,7.6248,0.0420,0.0510,0.1075,7.9646,0.2749,0.1178
57,431.727,8.0290,5.5608,0.0361,0.0434,0.1219,5.9062,0.2745,0.1188
58,437.712,5.9850,7.6899,0.0437,0.0481,0.1065,8.0255,0.2748,0.1178
59,445.801,8.0889,5.5132,0.0425,0.0470,0.1340,5.8963,0.2759,0.1178
