# start_unix_ms 1790236120284
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0000,0.0216,0.0621,0.8368,10.6813,0.0000,0.0000
1,10.778,10.7777,0.0000,0.0189,0.0366,0.3487,0.5278,0.0000,0.0000
2,11.347,0.5694,0.0000,0.0181,0.0201,0.0978,0.2355,0.2804,0.1188
3,11.614,0.2671,0.0000,0.0134,1.4182,0.1088,1.6333,0.2775,0.1208
4,13.311,1.6969,0.0000,0.0201,11.4596,0.2108,11.8302,0.2831,0.1198
5,25.242,11.9306,0.0000,0.1239,3.9606,0.1475,4.4043,0.5074,0.1167
6,29.929,4.6874,0.0000,0.0302,1.1401,0.1575,1.4895,0.2740,0.1280
7,31.514,1.5848,0.0000,0.0248,3.1794,0.1161,3.4590,0.2758,0.1219
8,35.048,3.5342,0.0000,0.0276,0.5605,0.1161,0.8414,0.2783,0.1239
9,35.932,0.8843,0.0000,0.0769,0.9098,0.1525,1.3596,0.2761,0.1239
10,37.385,1.4527,0.0000,0.0203,1.0364,0.1232,1.2801,0.3953,0.1188
11,38.736,1.3512,0.0000,0.0176,0.4504,0.0487,0.6028,0.7702,0.1198
12,39.374,0.6378,0.0000,0.7920,0.1455,0.1299,1.1880,0.9734,0.1219
13,40.673,1.2988,0.0000,1.1086,0.0783,0.0799,1.4990,0.9396,0.1188
14,42.379,1.7057,0.0000,0.2761,1.1534,0.0836,1.6510,0.2764,0.1178
15,44.139,1.7609,0.0000,0.0992,17.6245,0.1719,18.0663,0.5132,0.1178
16,62.321,18.1816,0.0000,0.0325,2.3122,0.0743,2.5362,0.2769,0.1167
17,64.911,2.5898,0.0000,0.0167,4.8113,0.0616,4.9793,0.2773,0.1198
18,69.943,5.0319,0.0000,0.0146,6.9902,0.1045,7.2219,0.7495,0.1188
19,77.246,7.3028,0.0000,0.0239,18.7445,0.0943,19.0035,0.2754,0.1178
20,96.366,19.1209,0.0000,0.0312,1.2509,0.0502,1.4524,0.2752,0.1188
21,97.857,1.4909,0.0000,0.0111,4.6258,0.0514,4.7614,0.2756,0.1188
22,102.746,4.8887,0.0000,0.0621,1.1121,0.2158,1.6408,0.7494,0.1188
23,104.468,1.7220,0.0000,0.0230,5.0230,0.1262,5.3565,0.7481,0.1198
24,109.919,5.4504,0.0000,0.0280,1.3419,0.1108,1.7702,0.2765,0.1188
25,111.778,1.8596,0.0000,0.1188,4.4300,0.1394,4.8035,0.7470,0.1188
26,116.691,4.9125,0.0000,0.0280,1.1240,0.2323,1.6230,0.9548,0.1198
27,118.501,1.8102,0.0000,0.0418,4.8936,0.0863,5.2339,0.7544,0.1188
28,123.806,5.3050,0.0000,0.0223,1.1844,0.1252,1.5620,0.3859,0.1188
29,125.470,1.6644,0.0000,0.0827,4.8829,0.1538,5.3217,0.2767,0.1188
30,130.919,5.4492,0.0000,0.0638,1.2500,0.1704,1.7483,0.9592,0.1198
31,132.821,1.9017,0.0000,0.0451,4.4835,0.1653,4.9028,0.7586,0.1198
32,137.840,5.0190,0.0000,0.1702,0.9847,0.0644,1.4630,0.9634,0.1188
33,139.364,1.5243,0.0000,0.0147,4.8564,0.1870,5.2101,0.2787,0.1188
34,144.748,5.3837,0.0000,0.0320,1.2000,0.0711,1.4586,0.2791,0.1188
35,146.259,1.5109,0.0000,0.0169,5.0332,0.2075,5.4046,0.2780,0.1188
36,151.757,5.4983,0.0000,0.0506,1.0272,0.1361,1.4829,0.9292,0.1198
37,153.308,1.5509,0.0000,0.0237,4.9483,0.2469,5.3583,0.7477,0.1188
38,158.767,5.4587,0.0000,0.0360,1.0576,0.0768,1.3724,0.2794,0.1188
39,160.195,1.4282,0.0000,0.0159,5.1143,0.1779,5.4638,0.7474,0.1188
40,165.726,5.5304,0.0000,0.0307,1.2343,0.0670,1.4980,0.2784,0.1198
41,167.272,1.5468,0.0000,0.0154,4.8034,0.2009,5.1949,0.7502,0.1198
42,172.585,5.3125,0.0000,0.0701,1.0349,0.1799,1.4922,0.3778,0.1178
43,174.146,1.5611,0.0000,0.0212,4.7221,0.2067,5.1471,0.2747,0.1198
44,179.376,5.2300,0.0000,0.0381,1.1801,0.1055,1.5203,0.9368,0.1198
45,180.981,1.6050,0.0000,0.0262,5.0475,0.1604,5.3729,0.7485,0.1188
