timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:00:44.573, P0, 1740 MHz, 6101 MHz, 0 %, 61, 16.72 W, 0x0000000000000004
2026/09/24 09:00:44.838, P0, 1740 MHz, 6101 MHz, 0 %, 61, 16.72 W, 0x0000000000000004
2026/09/24 09:00:45.090, P0, 1740 MHz, 6101 MHz, 1 %, 62, 17.21 W, 0x0000000000000001
2026/09/24 09:00:45.342, P0, 1740 MHz, 6101 MHz, 1 %, 62, 17.21 W, 0x0000000000000001
2026/09/24 09:00:45.593, P0, 1740 MHz, 6101 MHz, 29 %, 63, 21.85 W, 0x0000000000000001
2026/09/24 09:00:45.857, P0, 1740 MHz, 6101 MHz, 29 %, 63, 21.85 W, 0x0000000000000001
2026/09/24 09:00:46.111, P0, 1740 MHz, 6101 MHz, 29 %, 63, 22.13 W, 0x0000000000000001
2026/09/24 09:00:46.377, P0, 1740 MHz, 6101 MHz, 29 %, 63, 22.13 W, 0x0000000000000001
2026/09/24 09:00:46.642, P0, 1740 MHz, 6101 MHz, 29 %, 63, 21.92 W, 0x0000000000000001
2026/09/24 09:00:46.904, P0, 1740 MHz, 6101 MHz, 29 %, 63, 21.92 W, 0x0000000000000001
2026/09/24 09:00:47.157, P0, 1740 MHz, 6101 MHz, 29 %, 64, 21.97 W, 0x0000000000000001
2026/09/24 09:00:47.407, P0, 1740 MHz, 6101 MHz, 29 %, 64, 21.97 W, 0x0000000000000001
2026/09/24 09:00:47.659, P0, 1740 MHz, 6101 MHz, 30 %, 64, 19.85 W, 0x0000000000000001
2026/09/24 09:00:47.912, P0, 1740 MHz, 6101 MHz, 30 %, 64, 19.85 W, 0x0000000000000001
2026/09/24 09:00:48.177, P0, 1740 MHz, 6101 MHz, 29 %, 64, 21.81 W, 0x0000000000000001
2026/09/24 09:00:48.442, P0, 1740 MHz, 6101 MHz, 29 %, 64, 21.81 W, 0x0000000000000001
2026/09/24 09:00:48.707, P0, 1740 MHz, 6101 MHz, 30 %, 64, 22.30 W, 0x0000000000000001
2026/09/24 09:00:48.971, P0, 1740 MHz, 6101 MHz, 30 %, 64, 22.30 W, 0x0000000000000001
2026/09/24 09:00:49.235, P0, 1740 MHz, 6101 MHz, 29 %, 64, 21.97 W, 0x0000000000000001
2026/09/24 09:00:49.499, P0, 1740 MHz, 6101 MHz, 29 %, 64, 21.97 W, 0x0000000000000001
2026/09/24 09:00:49.764, P0, 1740 MHz, 6101 MHz, 29 %, 64, 21.79 W, 0x0000000000000001
2026/09/24 09:00:50.028, P0, 1740 MHz, 6101 MHz, 29 %, 64, 21.79 W, 0x0000000000000001
2026/09/24 09:00:50.292, P0, 1740 MHz, 6101 MHz, 26 %, 64, 21.47 W, 0x0000000000000001
2026/09/24 09:00:50.554, P0, 1740 MHz, 6101 MHz, 27 %, 64, 21.65 W, 0x0000000000000001
2026/09/24 09:00:50.820, P0, 1740 MHz, 6101 MHz, 27 %, 64, 21.65 W, 0x0000000000000001
2026/09/24 09:00:51.085, P0, 1740 MHz, 6101 MHz, 28 %, 64, 21.51 W, 0x0000000000000001
2026/09/24 09:00:51.350, P0, 1740 MHz, 6101 MHz, 28 %, 64, 21.51 W, 0x0000000000000001
2026/09/24 09:00:51.616, P0, 1740 MHz, 6101 MHz, 28 %, 64, 21.49 W, 0x0000000000000001
2026/09/24 09:00:51.882, P0, 1740 MHz, 6101 MHz, 28 %, 64, 21.49 W, 0x0000000000000001
2026/09/24 09:00:52.147, P0, 1740 MHz, 6101 MHz, 30 %, 64, 22.27 W, 0x0000000000000001
2026/09/24 09:00:52.411, P0, 1740 MHz, 6101 MHz, 30 %, 64, 22.27 W, 0x0000000000000001
2026/09/24 09:00:52.665, P0, 1740 MHz, 6101 MHz, 29 %, 65, 22.21 W, 0x0000000000000001
2026/09/24 09:00:52.931, P0, 1740 MHz, 6101 MHz, 29 %, 65, 22.21 W, 0x0000000000000001
2026/09/24 09:00:53.182, P0, 1740 MHz, 6101 MHz, 26 %, 65, 21.80 W, 0x0000000000000001
2026/09/24 09:00:53.448, P0, 1740 MHz, 6101 MHz, 26 %, 65, 21.80 W, 0x0000000000000001
2026/09/24 09:00:53.711, P0, 1740 MHz, 6101 MHz, 26 %, 65, 21.57 W, 0x0000000000000001
2026/09/24 09:00:53.976, P0, 1740 MHz, 6101 MHz, 26 %, 65, 21.57 W, 0x0000000000000001
2026/09/24 09:00:54.240, P0, 1740 MHz, 6101 MHz, 26 %, 65, 21.47 W, 0x0000000000000001
