# start_unix_ms 1790233526897
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0000,0.0239,0.0687,0.9259,11.3461,0.0000,0.0000
1,11.447,11.4465,0.0000,0.0315,0.0412,0.4013,0.6092,0.0000,0.0000
2,12.105,0.6587,0.0000,0.0209,0.0228,0.1381,0.2857,0.2811,0.1178
3,12.424,0.3190,0.0000,0.0142,0.0241,0.0709,0.1854,0.2769,0.1208
4,12.635,0.2105,0.0000,0.4498,0.0260,10.5769,11.1403,0.2784,0.1208
5,23.850,11.2155,0.0000,0.0337,0.0446,0.1017,0.3185,0.5059,0.1167
6,24.212,0.3618,0.0000,8.0165,0.0499,2.7324,10.9594,0.2728,0.1219
7,35.246,11.0342,0.0000,18.4976,0.0485,0.4403,19.1366,0.2780,0.1270
8,54.481,19.2350,0.0000,6.0999,0.0312,0.2023,6.4578,0.2736,0.1208
9,60.987,6.5057,0.0000,13.1772,0.0454,0.2016,13.5805,0.7477,0.1198
10,74.637,13.6498,0.0000,6.3373,0.0422,0.1688,6.6969,0.2756,0.1208
11,81.391,6.7540,0.0000,6.6278,0.0394,0.2514,7.0308,0.2779,0.1208
12,88.474,7.0828,0.0000,6.0283,0.0265,0.2496,6.3947,0.2788,0.1188
13,94.923,6.4500,0.0000,6.6722,0.0451,0.1697,7.0185,0.7486,0.1188
14,102.014,7.0903,0.0000,6.5303,0.0287,0.2141,6.8920,0.7511,0.1188
15,108.955,6.9414,0.0000,6.4577,0.0278,0.2067,6.8010,0.7500,0.1188
16,115.802,6.8469,0.0000,6.4855,0.0272,0.2657,6.8784,0.7513,0.1188
17,122.727,6.9245,0.0000,6.6091,0.0265,0.2183,6.9552,0.7468,0.1188
18,129.728,7.0015,0.0000,6.5708,0.0272,0.1307,6.8611,0.7494,0.1188
19,136.633,6.9051,0.0000,6.5671,0.0261,0.2376,6.9263,0.7501,0.1188
20,143.628,6.9946,0.0000,6.5493,0.0302,0.1784,6.8678,0.7490,0.1198
21,150.545,6.9168,0.0000,6.6836,0.0264,0.2481,7.0595,0.7505,0.1188
22,157.649,7.1042,0.0000,6.3819,0.0274,0.2627,6.7701,0.7479,0.1188
23,164.471,6.8222,0.0000,6.5891,0.0276,0.2427,6.9542,0.7515,0.1188
24,171.473,7.0017,0.0000,6.6112,0.0286,0.2664,7.0092,0.7489,0.1198
25,178.529,7.0562,0.0000,6.4023,0.0263,0.2664,6.8005,0.7521,0.1188
26,185.372,6.8435,0.0000,6.5357,0.0345,0.0895,6.7908,0.7497,0.1188
27,192.400,7.0279,0.0000,6.3195,0.0307,0.2119,6.6579,0.7564,0.1188
28,199.102,6.7013,0.0000,6.9549,0.0797,0.4960,7.7576,0.7504,0.1188
29,207.262,8.1607,0.0000,5.8981,0.0733,0.4336,6.6784,0.7471,0.1188
30,214.313,7.0509,0.0000,8.2285,0.0915,0.4137,9.1794,0.7487,0.1188
31,223.790,9.4768,0.0000,2.9686,0.0489,0.1140,3.3223,0.7285,0.1188
32,227.171,3.3813,0.0000,6.5433,0.0446,0.1342,6.8607,0.7495,0.1188
33,234.105,6.9339,0.0000,6.3331,0.0439,0.1060,6.6196,0.7505,0.1198
34,240.792,6.6870,0.0000,6.5324,0.0387,0.1831,6.8882,0.7479,0.1198
35,247.752,6.9595,0.0000,6.5116,0.0401,0.1332,6.8341,0.7500,0.1188
36,254.656,6.9042,0.0000,6.7230,0.0385,0.0986,6.9938,0.7515,0.1188
37,261.718,7.0622,0.0000,9.8953,0.0603,0.1498,10.2771,0.7519,0.1178
38,272.092,10.3741,0.0000,5.3261,0.0638,0.1513,5.7561,0.7528,0.1188
39,277.941,5.8492,0.0000,4.3288,0.0615,0.3587,4.9602,0.7493,0.1188
40,285.149,7.2072,0.0000,4.1269,0.0769,0.4607,4.8818,0.2736,0.1188
41,290.989,5.8400,0.0000,5.2149,0.0467,0.1457,5.5567,0.2748,0.1188
42,296.637,5.6482,0.0000,9.2447,0.0763,0.1948,9.7651,0.2723,0.1188
43,306.521,9.8840,0.0000,13.4105,0.0708,0.2611,13.9485,0.2747,0.1188
44,320.555,14.0347,0.0000,17.2549,0.0434,0.1249,17.5649,0.2754,0.1188
45,338.192,17.6361,0.0000,7.7359,0.0421,0.1081,8.0780,0.2743,0.1188
46,346.333,8.1411,0.0000,5.2791,0.0358,0.1054,5.5784,0.2763,0.1198
47,351.977,5.6441,0.0000,6.6718,0.0520,0.1405,7.0493,0.2759,0.1198
48,359.118,7.1415,0.0000,6.1794,0.0565,0.1531,6.5244,0.2728,0.1198
49,365.707,6.5883,0.0000,6.4809,0.0437,0.1812,6.8159,0.2716,0.1188
50,372.568,6.8615,0.0000,6.5618,0.0269,0.1944,6.8906,0.2747,0.1188
51,379.505,6.9365,0.0000,6.6644,0.0463,0.1763,7.0186,0.2780,0.1188
52,386.588,7.0832,0.0000,6.4955,0.0264,0.1886,6.8269,0.2757,0.1188
53,393.471,6.8830,0.0000,6.4719,0.0286,0.2027,6.8212,0.2772,0.1188
54,400.343,6.8719,0.0000,6.5027,0.0331,0.2043,6.8530,0.2739,0.1188
55,407.251,6.9079,0.0000,6.5837,0.0323,0.2038,6.9295,0.2740,0.1188
56,414.232,6.9811,0.0000,6.5688,0.0282,0.1903,6.8967,0.2759,0.1198
57,421.216,6.9842,0.0000,6.4968,0.0255,0.2391,6.8641,0.2713,0.1188
58,428.161,6.9454,0.0000,6.6590,0.0365,0.1671,6.9986,0.2736,0.1188
59,435.227,7.0655,0.0000,6.4825,0.0251,0.2025,6.8161,0.2737,0.1198
60,442.094,6.8677,0.0000,6.7223,0.0592,0.1064,7.0081,0.2723,0.1198
61,449.160,7.0655,0.0000,6.4131,0.0245,0.1761,6.7161,0.2741,0.1188
62,455.923,6.7631,0.0000,6.6622,0.0372,0.1671,6.9894,0.2721,0.1188
63,462.972,7.0491,0.0000,6.5454,0.0333,0.1749,6.8756,0.2728,0.1188
64,469.907,6.9350,0.0000,6.6224,0.0348,0.1733,6.9689,0.2734,0.1198
65,476.959,7.0519,0.0000,6.4365,0.0293,0.1828,6.7644,0.2727,0.1188
66,483.769,6.8097,0.0000,6.8624,0.0288,0.2534,7.2622,0.2767,0.1188
67,491.119,7.3507,0.0000,6.3205,0.0290,0.5200,6.9732,0.2753,0.1188
68,498.145,7.0255,0.0000,6.3150,0.0281,0.1086,6.5905,0.2754,0.1198
69,504.783,6.6383,0.0000,6.6547,0.0678,0.1097,6.9633,0.2733,0.1188
70,511.820,7.0365,0.0000,7.9235,0.0497,0.1673,8.2766,0.2754,0.1198
71,520.171,8.3512,0.0000,5.4330,0.0430,0.1233,5.7317,0.2717,0.1198
72,525.963,5.7917,0.0000,6.0486,0.0268,0.1622,6.3570,0.2743,0.1188
73,532.366,6.4034,0.0000,6.5966,0.0261,0.1693,6.9049,0.2751,0.1198
74,539.316,6.9502,0.0000,6.6178,0.0284,0.1676,6.9296,0.2724,0.1188
75,546.296,6.9796,0.0000,6.5951,0.0273,0.1674,6.9140,0.2729,0.1198
76,553.263,6.9671,0.0000,6.7245,0.0383,0.2912,7.1749,0.2702,0.1198
77,560.505,7.2424,0.0000,6.1886,0.0371,0.1746,6.5664,0.2741,0.1188
78,567.134,6.6285,0.0000,6.4781,0.0347,0.1701,6.8108,0.2736,0.1188
79,574.001,6.8675,0.0000,6.8105,0.0459,0.1308,7.1570,0.2716,0.1188
80,581.237,7.2353,0.0000,6.2940,0.0413,0.2869,6.7644,0.2715,0.1188
81,588.512,7.2757,0.0000,5.8854,0.0355,0.1718,6.2143,0.2708,0.1198
82,594.787,6.2747,0.0000,6.6435,0.0320,0.1834,6.9803,0.2705,0.1198
83,601.830,7.0425,0.0000,6.5880,0.0285,0.1844,6.9167,0.2709,0.1198
84,608.830,7.0005,0.0000,6.5524,0.0290,0.1730,6.8753,0.2713,0.1198
85,615.757,6.9271,0.0000,6.5466,0.0290,0.1575,6.8565,0.2698,0.1198
86,622.671,6.9142,0.0000,6.5557,0.0300,0.1820,6.8907,0.2685,0.1188
87,629.619,6.9476,0.0000,6.6634,0.0404,0.1107,6.9523,0.2703,0.1188
88,636.636,7.0166,0.0000,6.5978,0.0348,0.1328,6.8979,0.2719,0.1198
