# start_unix_ms 1790234974025
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0000,0.0247,0.0712,0.8405,12.5287,0.0000,0.0000
1,12.605,12.6050,0.0000,0.0192,0.0307,0.3903,0.5632,0.0000,0.0000
2,13.220,0.6151,0.0000,0.0359,0.0242,0.1385,0.3206,0.2822,0.1188
3,13.585,0.3651,0.0000,0.0196,1.2483,0.0546,1.4105,0.2765,0.1198
4,15.034,1.4485,0.0000,0.0150,13.6342,0.1230,13.8839,0.2784,0.1188
5,29.146,14.1120,0.0000,0.0384,4.2800,0.1550,4.6402,0.6143,0.1188
6,33.974,4.8285,0.0000,0.0319,1.0821,0.1463,1.3907,0.2743,0.1280
7,35.422,1.4475,0.0000,0.0226,1.2372,0.1049,1.5344,0.2748,0.1219
8,37.062,1.6408,0.0000,0.0271,5.7342,0.1586,6.1598,0.2802,0.1229
9,43.314,6.2514,0.0000,0.0805,0.0418,0.0995,0.4116,0.2798,0.1229
10,43.776,0.4616,0.0000,0.0192,0.3931,0.0719,0.5858,0.2727,0.1219
11,44.401,0.6258,0.0000,0.6346,0.5029,0.0563,1.3008,0.2773,0.1178
12,45.750,1.3486,0.0000,0.6507,1.1030,0.0836,1.9227,0.2783,0.1178
13,47.708,1.9584,0.0000,0.0117,19.0811,0.1332,19.3281,0.2756,0.1178
14,67.111,19.4026,0.0000,0.0207,0.0222,0.0413,0.2123,0.5056,0.1167
15,67.355,0.2437,0.0000,0.0101,13.3588,0.1143,13.5851,0.2752,0.1188
16,81.017,13.6619,0.0000,0.0226,0.0245,0.0424,0.2117,0.2755,0.1178
17,81.265,0.2484,0.0000,0.0122,17.7094,0.0886,17.9120,0.2779,0.1178
18,99.287,18.0217,0.0000,0.0344,1.0357,0.0973,1.3109,0.2756,0.1167
19,100.710,1.4236,0.0000,0.0247,5.0924,0.1780,5.4952,0.2756,0.1188
20,518.181,417.4705,0.0000,0.0383,0.0671,0.1836,37.3132,0.2761,0.1198
21,555.577,37.3964,0.0000,0.0191,0.0268,0.1027,0.2423,0.2893,0.1188
22,555.861,0.2840,0.0000,0.2584,0.0221,0.1072,0.4697,0.2810,0.1178
23,556.367,0.5059,0.0000,0.8093,1.0087,0.2190,2.2083,0.2756,0.4516
24,558.741,2.3739,0.0000,0.0548,15.8180,0.1358,16.2566,0.2789,0.1178
25,575.146,16.4053,0.0000,0.0510,2.7254,0.2379,3.4387,0.4998,0.1208
26,578.840,3.6937,0.0000,0.0558,1.3355,0.1897,2.0092,0.2803,0.1219
27,580.989,2.1491,0.0000,0.0472,4.9332,0.2873,5.5912,0.2833,0.1219
28,586.901,5.9116,0.0000,0.1418,0.1109,0.2132,1.0682,0.2886,0.1188
29,588.076,1.1755,0.0000,0.0414,0.0514,0.1655,0.4410,0.2834,0.1219
30,588.655,0.5787,0.0000,0.0363,0.1501,0.0714,0.4064,0.2771,0.1178
31,589.126,0.4716,0.0000,0.7716,0.7783,0.1007,1.8601,0.2760,0.8110
32,591.070,1.9437,0.0000,0.0241,1.4069,0.2386,1.8248,0.2788,0.1167
33,593.208,2.1383,0.0000,0.0864,7.0370,0.2122,7.6333,0.2843,0.1188
34,601.063,7.8543,0.0000,0.1026,0.0726,0.0820,0.6280,0.8714,0.1188
35,602.078,1.0155,0.0000,0.0485,0.0513,0.0889,0.3372,0.2790,0.1219
36,602.477,0.3991,0.0000,0.0202,1.4145,0.0860,1.6332,0.2801,0.1178
37,604.174,1.6966,0.0000,0.0196,1.1216,0.1005,1.3596,0.2780,0.1178
38,605.813,1.6395,0.0000,0.0727,1.2024,0.1023,1.5922,0.2786,0.1188
39,607.691,1.8777,0.0000,0.0461,0.1240,0.1643,0.5922,0.2760,0.1188
40,608.422,0.7306,0.0000,0.0427,8.9369,0.2992,9.5104,0.2883,0.1188
41,618.194,9.7726,0.0000,0.0573,0.0442,0.1121,0.4571,0.2786,0.1178
42,618.703,0.5091,0.0000,0.0316,0.0357,0.5257,1.0574,0.2738,0.1198
43,620.002,1.2983,0.0000,0.0890,0.5869,0.1191,1.2653,0.2733,0.1167
44,621.351,1.3491,0.0000,0.0253,6.1252,0.4041,6.7734,0.2788,0.5939
45,628.343,6.9920,0.0000,0.0922,0.0472,0.0767,0.4845,0.2754,0.1188
46,629.175,0.8318,0.0000,0.0618,0.0473,0.0729,0.3262,0.2821,0.1198
47,629.559,0.3847,0.0000,0.0338,0.6228,0.0610,0.8165,0.2811,0.1188
48,630.422,0.8631,0.0000,0.4793,0.9690,0.0612,1.6219,0.2750,0.8827
49,632.085,1.6631,0.0000,0.0122,1.3801,0.0845,1.5651,0.2748,0.1178
50,633.694,1.6087,0.0000,0.0159,1.2188,0.1380,1.5010,0.2750,0.1188
51,635.274,1.5802,0.0000,0.0274,5.6946,0.2231,6.1389,0.2758,0.1188
52,641.616,6.3418,0.0000,0.0548,0.0383,0.0835,0.3782,0.2782,0.1198
53,642.244,0.6277,0.0000,0.0688,0.0577,0.1064,0.3626,0.2770,0.1198
54,642.690,0.4456,0.0000,0.0226,1.7218,0.0840,1.9395,0.2769,0.1167
55,644.692,2.0029,0.0000,0.0147,1.0101,0.0567,1.1724,0.2742,0.1188
56,645.893,1.2003,0.0000,0.0104,1.2018,0.0775,1.3820,0.9565,0.1178
57,647.352,1.4591,0.0000,0.0312,7.6181,0.2255,8.0985,0.2718,0.1198
58,655.636,8.2847,0.0000,0.1041,0.0571,0.0995,0.6311,0.2747,0.1198
59,656.392,0.7554,0.0000,0.0377,0.0367,0.0644,0.2560,0.2795,0.1188
