# start_unix_ms 1790235050084
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0002,0.0995,0.0713,0.9143,10.0537,0.0000,0.0000
1,10.284,10.2840,0.0001,0.0222,0.0428,0.5021,0.6847,0.0000,0.0000
2,11.016,0.7321,21.6801,0.0682,0.0859,3.2247,25.2748,0.2832,0.1188
3,36.547,25.5313,3.1392,0.0600,0.0678,1.0786,4.5219,0.2802,0.1178
4,41.321,4.7733,20.4237,0.0672,0.0881,0.3391,21.1257,0.2767,0.1188
5,62.927,21.6067,5.8697,0.1149,0.0588,0.1658,6.4418,0.2796,0.1178
6,69.439,6.5118,12.5235,0.0486,0.0971,0.2282,13.0577,0.2775,0.1198
7,82.878,13.4393,5.0990,0.0589,0.0644,0.2448,5.6289,0.2745,0.1178
8,88.592,5.7138,7.4182,0.0854,0.0524,0.1311,7.8723,0.2743,0.1178
9,96.531,7.9387,5.4710,0.0475,0.0753,0.1917,5.9393,0.2756,0.1167
10,102.651,6.1198,6.4715,0.0655,0.0694,0.2213,7.0092,0.2725,0.1188
11,109.764,7.1135,7.3962,0.0378,0.0549,0.1129,7.7151,0.2755,0.1178
12,117.541,7.7766,5.5944,0.0519,0.0587,0.1487,5.9850,0.2773,0.1178
13,123.674,6.1326,7.4450,0.0608,0.0598,0.2079,7.9650,0.2755,0.1178
14,131.736,8.0621,5.4245,0.0610,0.1053,0.2324,6.0965,0.2777,0.1167
15,137.922,6.1866,5.1954,0.0273,0.0953,0.1233,5.6242,0.2788,0.1178
16,143.612,5.6900,7.5123,0.0539,0.0554,0.1063,7.9063,0.2792,0.1178
17,151.586,7.9735,5.5948,0.0351,0.0597,0.1513,6.0588,0.2772,0.1178
18,157.737,6.1516,6.3688,0.0488,0.0419,0.1051,6.7640,0.2758,0.1167
19,164.847,7.1100,7.2897,0.0459,0.0529,0.1372,7.6876,0.2792,0.1188
20,172.602,7.7544,5.5844,0.0966,0.0776,0.2249,6.3281,0.2777,0.1188
21,179.040,6.4380,6.1541,0.0441,0.0584,0.1424,6.5290,0.2768,0.1178
22,185.640,6.5998,7.5062,0.1038,0.0502,0.1313,7.9947,0.2772,0.1178
23,193.699,8.0599,5.4307,0.0430,0.0516,0.1311,5.8093,0.2772,0.1188
