timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 08:34:28.054, P0, 1740 MHz, 6101 MHz, 0 %, 56, 17.86 W, 0x0000000000000001
2026/09/24 08:34:28.319, P0, 1740 MHz, 6101 MHz, 0 %, 56, 17.86 W, 0x0000000000000001
2026/09/24 08:34:28.584, P0, 1740 MHz, 6101 MHz, 4 %, 57, 16.25 W, 0x0000000000000001
2026/09/24 08:34:28.850, P0, 1740 MHz, 6101 MHz, 4 %, 57, 16.25 W, 0x0000000000000001
2026/09/24 08:34:29.114, P0, 1740 MHz, 6101 MHz, 25 %, 58, 21.34 W, 0x0000000000000001
2026/09/24 08:34:29.367, P0, 1740 MHz, 6101 MHz, 25 %, 58, 21.34 W, 0x0000000000000001
2026/09/24 08:34:29.632, P0, 1740 MHz, 6101 MHz, 25 %, 58, 21.17 W, 0x0000000000000001
2026/09/24 08:34:29.897, P0, 1740 MHz, 6101 MHz, 25 %, 58, 21.17 W, 0x0000000000000001
2026/09/24 08:34:30.157, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.14 W, 0x0000000000000001
2026/09/24 08:34:30.411, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.14 W, 0x0000000000000001
2026/09/24 08:34:30.672, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.22 W, 0x0000000000000001
2026/09/24 08:34:30.934, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.22 W, 0x0000000000000001
2026/09/24 08:34:31.199, P0, 1740 MHz, 6101 MHz, 24 %, 59, 18.14 W, 0x0000000000000001
2026/09/24 08:34:31.462, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.20 W, 0x0000000000000001
2026/09/24 08:34:31.725, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.20 W, 0x0000000000000001
2026/09/24 08:34:31.991, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.22 W, 0x0000000000000001
2026/09/24 08:34:32.255, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.22 W, 0x0000000000000001
2026/09/24 08:34:32.519, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.35 W, 0x0000000000000001
2026/09/24 08:34:32.779, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.35 W, 0x0000000000000001
2026/09/24 08:34:33.035, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.31 W, 0x0000000000000001
2026/09/24 08:34:33.296, P0, 1740 MHz, 6101 MHz, 25 %, 59, 21.31 W, 0x0000000000000001
2026/09/24 08:34:33.552, P0, 1740 MHz, 6101 MHz, 23 %, 60, 23.76 W, 0x0000000000000001
2026/09/24 08:34:33.807, P0, 1740 MHz, 6101 MHz, 23 %, 60, 23.76 W, 0x0000000000000001
2026/09/24 08:34:34.064, P0, 1740 MHz, 6101 MHz, 25 %, 60, 21.15 W, 0x0000000000000001
2026/09/24 08:34:34.322, P0, 1740 MHz, 6101 MHz, 25 %, 60, 21.15 W, 0x0000000000000001
2026/09/24 08:34:34.583, P0, 1740 MHz, 6101 MHz, 25 %, 60, 21.03 W, 0x0000000000000001
2026/09/24 08:34:34.845, P0, 1740 MHz, 6101 MHz, 25 %, 60, 21.03 W, 0x0000000000000001
2026/09/24 08:34:35.107, P0, 1740 MHz, 6101 MHz, 25 %, 60, 22.09 W, 0x0000000000000001
2026/09/24 08:34:35.364, P0, 1740 MHz, 6101 MHz, 25 %, 60, 22.09 W, 0x0000000000000001
2026/09/24 08:34:35.629, P0, 1740 MHz, 6101 MHz, 24 %, 60, 20.84 W, 0x0000000000000001
2026/09/24 08:34:35.894, P0, 1740 MHz, 6101 MHz, 24 %, 60, 20.84 W, 0x0000000000000001
2026/09/24 08:34:36.152, P0, 1740 MHz, 6101 MHz, 25 %, 60, 21.82 W, 0x0000000000000001
2026/09/24 08:34:36.416, P0, 1740 MHz, 6101 MHz, 25 %, 60, 21.82 W, 0x0000000000000001
2026/09/24 08:34:36.668, P0, 1740 MHz, 6101 MHz, 22 %, 60, 20.93 W, 0x0000000000000001
2026/09/24 08:34:36.929, P0, 1740 MHz, 6101 MHz, 22 %, 60, 20.93 W, 0x0000000000000001
