# start_unix_ms 1790231668685
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0371,0.1264,1.0045,12.5847,0.0000,0.0000
1,12.694,12.6937,0.0222,0.0399,0.4816,0.6674,0.0000,0.0000
2,13.428,0.7346,0.0243,0.0259,0.1436,0.3018,0.2861,0.1188
3,13.768,0.3398,0.0200,0.0303,0.0857,0.2203,0.2779,0.1198
4,14.022,0.2540,0.0157,0.0161,0.2984,0.4789,0.2777,0.1198
5,14.553,0.5308,0.8058,0.0981,14.9826,16.1029,0.2756,0.1219
6,30.738,16.1855,5.3612,0.0655,4.6546,10.4658,0.2750,0.1249
7,41.300,10.5612,17.3558,0.0544,1.0626,18.6259,0.2800,0.1229
8,60.011,18.7112,12.2867,0.0498,0.1993,12.6830,0.2768,0.1229
9,72.780,12.7688,18.6842,0.0891,0.3297,19.3195,0.7476,0.1208
10,92.347,19.5675,6.1857,0.0624,0.2366,6.7657,0.7504,0.1208
11,99.434,7.0866,6.4170,0.0654,0.1561,6.8112,0.7243,0.1208
12,106.347,6.9133,5.8883,0.0501,0.2136,6.2906,0.2775,0.1198
13,112.722,6.3747,6.4957,0.0526,0.1980,6.8899,0.7520,0.1188
14,119.705,6.9835,6.4430,0.0469,0.1839,6.8171,0.7514,0.1188
15,126.641,6.9355,6.4464,0.0494,0.2054,6.8513,0.7498,0.1188
16,133.584,6.9437,6.4217,0.0556,0.1417,6.7706,0.7507,0.1188
17,140.445,6.8602,6.5303,0.0516,0.1512,6.8777,0.7497,0.1178
18,147.410,6.9649,6.4821,0.0501,0.1450,6.8244,0.7505,0.1198
19,154.321,6.9117,6.6201,0.0558,0.2000,7.0198,0.7498,0.1178
20,161.431,7.1101,6.4161,0.0525,0.1371,6.7592,0.7503,0.1188
21,168.284,6.8530,6.5099,0.0949,0.1438,6.9097,0.7522,0.1188
22,175.342,7.0576,6.6464,0.0559,0.3467,7.2516,0.7502,0.1198
23,182.688,7.3463,6.0165,0.0518,0.1376,6.3598,0.7507,0.1198
24,189.145,6.4566,6.3864,0.0512,0.1722,6.7670,0.7500,0.1188
25,196.007,6.8621,6.5179,0.0477,0.1769,6.8893,0.7513,0.1188
26,202.989,6.9821,6.4836,0.0638,0.1315,6.8252,0.7506,0.1188
27,209.901,6.9122,6.5474,0.0961,0.1325,6.9250,0.7502,0.1198
28,216.917,7.0154,6.5322,0.0483,0.1280,6.8607,0.7502,0.1188
29,223.865,6.9483,9.0821,0.0948,0.2495,9.6134,0.7517,0.1188
30,233.587,9.7225,3.6310,0.0584,0.1374,4.0117,0.7525,0.1188
31,237.689,4.1011,6.6047,0.0830,0.2396,7.2472,0.7498,0.1188
32,245.051,7.3622,6.0928,0.0838,0.6207,7.0232,0.7505,0.1188
33,252.760,7.7095,5.4082,0.0571,0.1334,5.7556,0.7516,0.1198
34,258.613,5.8530,6.4447,0.0479,0.1329,6.8025,0.7509,0.1188
35,265.510,6.8964,6.4063,0.0483,0.1818,6.7849,0.7507,0.1188
36,272.378,6.8687,6.5106,0.0453,0.1269,6.8412,0.7507,0.1198
37,279.307,6.9290,6.3849,0.0479,0.1433,6.7398,0.7521,0.1188
38,286.143,6.8353,6.5936,0.0488,0.1590,6.9559,0.7538,0.1188
39,293.182,7.0392,6.5735,0.0550,0.1273,6.9097,0.7499,0.1188
40,300.173,6.9908,6.5120,0.0509,0.1644,6.9488,0.7523,0.1188
41,307.212,7.0391,6.3426,0.0487,0.1611,6.7001,0.7524,0.1188
42,313.984,6.7718,6.5105,0.0848,0.1726,6.9760,0.7468,0.1188
43,321.048,7.0644,6.5242,0.1246,0.1435,7.0762,0.7486,0.1188
44,328.233,7.1848,6.1697,0.0892,0.4591,6.9891,0.7517,0.1188
45,335.321,7.0882,6.2920,0.0483,0.1334,6.6220,0.7492,0.1188
46,342.033,6.7122,6.3552,0.0459,0.1732,6.7290,0.7503,0.1188
47,348.851,6.8181,6.4386,0.0505,0.1512,6.7996,0.7482,0.1188
48,355.739,6.8877,6.4890,0.0695,0.1380,6.8534,0.7486,0.1188
49,362.683,6.9446,6.6256,0.1030,0.1776,7.1625,0.7488,0.1188
50,369.964,7.2808,6.2747,0.0617,0.1455,6.7496,0.7538,0.1188
51,376.989,7.0244,6.1432,0.0693,0.1812,6.6151,0.7511,0.1188
52,383.704,6.7153,6.4801,0.0553,0.1311,6.8949,0.7659,0.1188
53,390.692,6.9883,6.5723,0.0845,0.4004,7.3601,0.7481,0.1188
54,398.417,7.7248,5.5839,0.0945,0.2006,6.1507,0.7536,0.1198
55,404.723,6.3057,6.2238,0.0752,0.1301,6.6826,0.7481,0.1188
56,411.493,6.7706,6.4340,0.1091,0.5901,7.4180,0.7563,0.1198
57,419.237,7.7438,5.7126,0.1001,0.1631,6.4416,0.7538,0.1188
58,425.791,6.5541,6.2776,0.0987,0.9341,7.6800,0.2760,0.1188
59,433.674,7.8831,5.7462,0.0835,0.2423,6.3953,0.2767,0.1198
60,440.216,6.5417,6.0269,0.0628,0.7457,7.0899,0.7562,0.1188
61,447.977,7.7611,4.7954,0.0678,0.2413,5.4301,0.2737,0.1188
62,453.559,5.5819,6.1859,0.0966,1.1798,7.8520,0.7509,0.1188
63,462.446,8.8871,4.3594,0.1329,0.4399,5.2409,0.2766,0.1198
64,467.966,5.5198,5.6356,0.1340,0.3151,6.3440,0.7478,0.1198
65,474.485,6.5187,5.9715,0.0638,0.2340,6.5137,0.7480,0.1188
66,481.106,6.6218,6.2180,0.0800,0.9223,7.4901,0.7492,0.1188
67,489.158,8.0516,5.2318,0.0735,0.2245,5.7920,0.7511,0.1188
68,495.079,5.9207,6.2802,0.0886,0.2099,6.9458,0.7573,0.1188
69,502.131,7.0519,6.0894,0.0907,0.1945,6.6467,0.7557,0.1188
70,508.923,6.7924,6.3371,0.0616,0.2064,6.8551,0.7547,0.1198
71,515.901,6.9781,6.3380,0.0800,0.2108,6.8693,0.7207,0.1198
72,522.869,6.9679,9.7135,0.0813,0.1681,10.1552,0.7533,0.1198
73,533.136,10.2665,3.0723,0.0954,0.2459,3.7813,0.7492,0.1198
74,537.161,4.0253,5.9887,0.0884,0.3044,6.7546,0.7244,0.1188
75,544.091,6.9304,6.0263,0.1034,0.2815,6.8269,0.7219,0.1188
76,551.289,7.1978,5.8115,0.0918,0.7114,6.9271,0.7486,0.1198
77,558.533,7.2437,5.3756,0.0826,0.2310,5.9804,0.7470,0.1198
78,564.639,6.1064,6.0380,0.0787,0.1376,6.5233,0.7477,0.1198
79,571.250,6.6113,6.3146,0.1112,0.2585,7.0301,0.7541,0.1198
80,578.392,7.1412,6.2116,0.0762,0.2025,6.7879,0.7486,0.1188
81,585.282,6.8899,6.2144,0.0565,0.1252,6.5964,0.7524,0.1188
82,591.958,6.6766,6.5665,0.0758,0.4271,7.3362,0.7521,0.1198
83,599.399,7.4406,6.1385,0.0527,0.1341,6.5003,0.2709,0.1198
84,606.004,6.6049,6.3582,0.0839,0.2230,6.8983,0.7445,0.1198
85,613.076,7.0720,6.0097,0.0472,0.1519,6.3619,0.7470,0.1198
86,619.532,6.4566,6.5477,0.0434,0.1491,6.8926,0.7442,0.1198
87,626.519,6.9863,6.4227,0.0454,0.1571,6.7714,0.7468,0.1198
88,633.392,6.8733,6.4775,0.0433,0.1731,6.8346,0.7440,0.1198
89,640.314,6.9224,6.4924,0.0444,0.1712,6.8387,0.7467,0.1198
90,647.234,6.9201,6.8152,0.0424,0.1621,7.2390,0.7418,0.1188
91,654.557,7.3223,6.4432,0.0498,0.1168,6.7835,0.7436,0.1198
92,661.416,6.8588,6.1493,0.0479,0.1695,6.4953,0.7456,0.1198
93,667.998,6.5829,6.6338,0.0849,0.1941,7.1220,0.7443,0.1198
94,675.189,7.1910,6.4114,0.1001,0.1440,6.8053,0.7477,0.1198
95,682.146,6.9566,6.2920,0.0533,0.1498,6.6274,0.7458,0.1198
96,688.856,6.7101,6.6331,0.0413,0.2960,7.1077,0.7449,0.1198
97,696.048,7.1915,6.2749,0.0463,0.1621,6.6720,0.7485,0.1198
98,702.791,6.7436,6.5051,0.0502,0.1462,6.8570,0.7442,0.1208
99,709.727,6.9357,6.5577,0.0632,0.1342,6.8965,0.7441,0.1198
100,716.704,6.9769,6.5904,0.1014,0.1383,6.9763,0.7439,0.1198
101,723.851,7.1477,6.4490,0.0486,0.1693,6.8214,0.7479,0.1208
