# start_unix_ms 1790232381350
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
0,0.000,0.0000,0.0245,0.0676,0.7692,9.9771,0.0000,0.0000
1,10.072,10.0722,0.0200,0.0364,0.3381,0.5252,0.0000,0.0000
2,10.644,0.5715,0.0203,0.0205,0.1015,0.2418,0.2823,0.1188
3,10.917,0.2735,0.0132,1.3471,0.0695,1.5249,0.2768,0.1208
4,12.482,1.5653,0.0180,12.0378,0.2066,12.3809,0.2804,0.1219
5,24.947,12.4645,0.0263,3.5192,0.2194,3.9203,0.5052,0.1188
6,28.937,3.9902,0.0247,1.2477,0.2094,1.6158,0.2752,0.1280
7,30.653,1.7155,0.0302,1.2174,0.0717,1.4492,0.2766,0.1208
8,32.150,1.4969,0.0178,5.0211,0.1311,5.2997,0.8551,0.1219
9,37.516,5.3665,0.0237,0.0244,0.0531,0.2219,1.0724,0.1198
10,37.772,0.2562,0.2556,0.1949,0.0676,0.6287,0.7578,0.1229
11,38.468,0.6960,1.1602,0.5063,0.0482,1.8088,0.3784,0.7936
12,40.323,1.8549,0.8854,0.5336,0.0736,1.5731,0.5058,0.1178
13,41.928,1.6053,0.1823,11.3109,0.1287,11.7225,0.5084,0.1178
14,53.797,11.8689,0.0262,0.0330,0.0463,0.2152,0.2762,0.1178
15,54.050,0.2525,0.0122,12.2244,0.2006,12.5518,0.2742,0.1188
16,66.710,12.6600,0.0402,2.3010,0.0908,2.6209,0.2746,0.1167
17,69.397,2.6870,0.0236,16.9285,0.3058,17.3990,0.2740,0.1198
18,86.920,17.5232,0.0544,0.8586,0.1218,1.2268,0.7504,0.1178
19,88.388,1.4680,0.0797,4.5064,0.0785,4.8026,0.2747,0.1198
20,93.266,4.8780,0.0202,1.2500,0.1290,1.5354,0.5725,0.1188
21,94.848,1.5821,0.0195,5.1677,0.0936,5.4003,0.2747,0.1188
22,100.355,5.5063,0.0267,1.1572,0.0982,1.4440,0.9512,0.1198
23,101.841,1.4868,0.0171,5.9017,0.0753,6.1006,0.7475,0.1188
24,107.996,6.1543,0.0195,1.2447,0.0447,1.4028,0.9484,0.1198
25,109.427,1.4311,0.0108,5.8094,0.0656,5.9685,0.7491,0.1198
26,115.440,6.0133,0.0176,0.8105,0.0666,0.9872,0.5719,0.1188
27,116.467,1.0269,0.0159,6.3811,0.0797,6.5750,0.2739,0.1198
28,123.093,6.6262,0.0184,0.7581,0.0519,0.9250,0.4790,0.1178
29,124.047,0.9535,0.0108,5.1030,0.0698,5.2653,0.2751,0.1198
30,129.357,5.3101,0.0163,0.7847,0.0402,0.9385,0.4754,0.1167
31,130.323,0.9663,0.0096,4.2586,0.0935,4.4432,0.2753,0.1198
32,134.808,4.4848,0.0203,1.3014,0.0740,1.5033,0.4756,0.1167
33,136.358,1.5506,0.0171,5.1915,0.0761,5.3851,0.2765,0.1198
34,141.785,5.4268,0.0173,1.4064,0.0886,1.6052,0.9511,0.1208
35,143.433,1.6480,0.0180,6.2227,0.1073,6.5099,0.7476,0.1188
36,150.087,6.6538,0.0767,0.7349,0.0656,1.2942,0.9537,0.1198
37,151.424,1.3374,0.0221,4.2971,0.1400,4.5554,0.7481,0.1198
38,156.028,4.6040,0.0238,0.8737,0.0790,1.0892,0.2761,0.1188
39,157.249,1.2210,0.0257,5.1337,0.1359,5.4810,0.2776,0.1198
40,162.796,5.5470,0.0266,1.2828,0.1360,1.5938,0.4791,0.1167
