timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 15:46:23.830, P0, 1800 MHz, 59.25 W, 80, 0x0000000000000020
2026/09/25 15:46:24.084, [Unknown Error], 1740 MHz, 3.10 W, 55, 0x0000000000000001
2026/09/25 15:46:25.208, P0, 1740 MHz, 19.40 W, 72, 0x0000000000000001
2026/09/25 15:46:25.473, P0, 1740 MHz, 19.40 W, 72, 0x0000000000000001
2026/09/25 15:46:25.737, P0, 1740 MHz, 18.91 W, 73, 0x0000000000000001
2026/09/25 15:46:26.005, P0, 1740 MHz, 18.91 W, 73, 0x0000000000000001
2026/09/25 15:46:26.266, P0, 1882 MHz, 86.33 W, 83, 0x0000000000000020
2026/09/25 15:46:26.517, P0, 1882 MHz, 86.33 W, 83, 0x0000000000000020
2026/09/25 15:46:26.767, P0, 1717 MHz, 58.96 W, 80, 0x0000000000000020
2026/09/25 15:46:27.030, P0, 1717 MHz, 61.48 W, 79, 0x0000000000000020
2026/09/25 15:46:27.282, P0, 1717 MHz, 61.48 W, 79, 0x0000000000000020
2026/09/25 15:46:27.545, P0, 1710 MHz, 59.02 W, 79, 0x0000000000000020
2026/09/25 15:46:27.812, P0, 1710 MHz, 59.02 W, 79, 0x0000000000000020
2026/09/25 15:46:28.073, P0, 1695 MHz, 59.38 W, 79, 0x0000000000000020
2026/09/25 15:46:28.324, P0, 1695 MHz, 59.38 W, 79, 0x0000000000000020
2026/09/25 15:46:28.575, P0, 1687 MHz, 59.06 W, 79, 0x0000000000000020
2026/09/25 15:46:28.827, P0, 1687 MHz, 59.06 W, 79, 0x0000000000000020
2026/09/25 15:46:29.091, P0, 1717 MHz, 62.30 W, 80, 0x0000000000000020
2026/09/25 15:46:29.342, P0, 1717 MHz, 62.30 W, 80, 0x0000000000000020
2026/09/25 15:46:29.593, P0, 1702 MHz, 59.47 W, 80, 0x0000000000000020
2026/09/25 15:46:29.856, P0, 1702 MHz, 59.47 W, 80, 0x0000000000000020
2026/09/25 15:46:30.108, P0, 1710 MHz, 59.50 W, 80, 0x0000000000000020
2026/09/25 15:46:30.360, P0, 1710 MHz, 59.50 W, 80, 0x0000000000000020
2026/09/25 15:46:30.623, P0, 1702 MHz, 59.41 W, 80, 0x0000000000000020
2026/09/25 15:46:30.887, P0, 1702 MHz, 59.41 W, 80, 0x0000000000000020
2026/09/25 15:46:31.152, P0, 1717 MHz, 58.93 W, 80, 0x0000000000000020
2026/09/25 15:46:31.403, P0, 1717 MHz, 58.93 W, 80, 0x0000000000000020
2026/09/25 15:46:31.654, P0, 1800 MHz, 58.57 W, 80, 0x0000000000000020
2026/09/25 15:46:31.919, P0, 1800 MHz, 58.57 W, 80, 0x0000000000000020
2026/09/25 15:46:32.171, P0, 1792 MHz, 58.72 W, 80, 0x0000000000000020
2026/09/25 15:46:32.435, P0, 1792 MHz, 58.72 W, 80, 0x0000000000000020
2026/09/25 15:46:32.687, P0, 1815 MHz, 58.81 W, 80, 0x0000000000000020
2026/09/25 15:46:32.938, P0, 1815 MHz, 58.81 W, 80, 0x0000000000000020
2026/09/25 15:46:33.203, P0, 1732 MHz, 59.16 W, 80, 0x0000000000000020
2026/09/25 15:46:33.467, P0, 1732 MHz, 59.16 W, 80, 0x0000000000000020
2026/09/25 15:46:33.718, P0, 1755 MHz, 59.17 W, 80, 0x0000000000000020
2026/09/25 15:46:33.982, P0, 1755 MHz, 59.17 W, 80, 0x0000000000000020
2026/09/25 15:46:34.234, P0, 1777 MHz, 59.02 W, 80, 0x0000000000000020
2026/09/25 15:46:34.499, P0, 1777 MHz, 59.02 W, 80, 0x0000000000000020
2026/09/25 15:46:34.751, P0, 1815 MHz, 62.26 W, 80, 0x0000000000000020
2026/09/25 15:46:35.015, P0, 1815 MHz, 62.26 W, 80, 0x0000000000000020
2026/09/25 15:46:35.281, P0, 1912 MHz, 58.17 W, 79, 0x0000000000000020
2026/09/25 15:46:35.532, P0, 1717 MHz, 64.07 W, 79, 0x0000000000000020
2026/09/25 15:46:35.786, P0, 1717 MHz, 64.07 W, 79, 0x0000000000000020
2026/09/25 15:46:36.037, P0, 1912 MHz, 53.07 W, 79, 0x0000000000000020
2026/09/25 15:46:36.290, P0, 1912 MHz, 53.07 W, 79, 0x0000000000000020
2026/09/25 15:46:36.540, P0, 1732 MHz, 58.42 W, 80, 0x0000000000000020
2026/09/25 15:46:36.791, P0, 1732 MHz, 58.42 W, 80, 0x0000000000000020
2026/09/25 15:46:37.041, P0, 1650 MHz, 58.61 W, 80, 0x0000000000000020
2026/09/25 15:46:37.292, P0, 1650 MHz, 58.61 W, 80, 0x0000000000000020
2026/09/25 15:46:37.544, P0, 1635 MHz, 53.47 W, 79, 0x0000000000000020
2026/09/25 15:46:37.809, P0, 1635 MHz, 53.47 W, 79, 0x0000000000000020
