timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 15:48:45.555, P0, 2010 MHz, 27.63 W, 76, 0x0000000000000400
2026/09/25 15:48:45.816, P0, 2010 MHz, 27.63 W, 76, 0x0000000000000400
2026/09/25 15:48:46.068, [Unknown Error], 1740 MHz, 20.42 W, 73, 0x0000000000000001
2026/09/25 15:48:47.095, P0, 1740 MHz, 19.76 W, 72, 0x0000000000000001
2026/09/25 15:48:47.346, P0, 1740 MHz, 19.76 W, 72, 0x0000000000000001
2026/09/25 15:48:47.598, P0, 1740 MHz, 19.22 W, 73, 0x0000000000000001
2026/09/25 15:48:47.849, P0, 1740 MHz, 19.22 W, 73, 0x0000000000000001
2026/09/25 15:48:48.112, P0, 1845 MHz, 77.66 W, 82, 0x0000000000000020
2026/09/25 15:48:48.363, P0, 1845 MHz, 77.66 W, 82, 0x0000000000000020
2026/09/25 15:48:48.614, P0, 1657 MHz, 55.29 W, 79, 0x0000000000000020
2026/09/25 15:48:48.885, P0, 1657 MHz, 55.29 W, 79, 0x0000000000000020
2026/09/25 15:48:49.142, P0, 1657 MHz, 54.47 W, 79, 0x0000000000000020
2026/09/25 15:48:49.400, P0, 1657 MHz, 54.21 W, 79, 0x0000000000000020
2026/09/25 15:48:49.655, P0, 1657 MHz, 54.21 W, 79, 0x0000000000000020
2026/09/25 15:48:49.909, P0, 1635 MHz, 54.42 W, 79, 0x0000000000000020
2026/09/25 15:48:50.161, P0, 1635 MHz, 54.42 W, 79, 0x0000000000000020
2026/09/25 15:48:50.412, P0, 1627 MHz, 54.38 W, 79, 0x0000000000000020
2026/09/25 15:48:50.663, P0, 1627 MHz, 54.38 W, 79, 0x0000000000000020
2026/09/25 15:48:50.917, P0, 1642 MHz, 56.79 W, 79, 0x0000000000000020
2026/09/25 15:48:51.169, P0, 1642 MHz, 56.79 W, 79, 0x0000000000000020
2026/09/25 15:48:51.428, P0, 1650 MHz, 54.90 W, 79, 0x0000000000000020
2026/09/25 15:48:51.685, P0, 1650 MHz, 54.90 W, 79, 0x0000000000000020
2026/09/25 15:48:51.939, P0, 1650 MHz, 55.05 W, 80, 0x0000000000000020
2026/09/25 15:48:52.197, P0, 1650 MHz, 55.05 W, 80, 0x0000000000000020
2026/09/25 15:48:52.457, P0, 1635 MHz, 55.18 W, 80, 0x0000000000000020
2026/09/25 15:48:52.710, P0, 1635 MHz, 55.18 W, 80, 0x0000000000000020
2026/09/25 15:48:52.970, P0, 1635 MHz, 55.31 W, 80, 0x0000000000000020
2026/09/25 15:48:53.228, P0, 1635 MHz, 55.31 W, 80, 0x0000000000000020
2026/09/25 15:48:53.482, P0, 1672 MHz, 51.35 W, 80, 0x0000000000000020
2026/09/25 15:48:53.739, P0, 1672 MHz, 51.35 W, 80, 0x0000000000000020
2026/09/25 15:48:53.998, P0, 1725 MHz, 55.06 W, 79, 0x0000000000000020
2026/09/25 15:48:54.255, P0, 1725 MHz, 55.06 W, 79, 0x0000000000000020
2026/09/25 15:48:54.507, P0, 1725 MHz, 54.89 W, 79, 0x0000000000000020
2026/09/25 15:48:54.763, P0, 1725 MHz, 54.89 W, 79, 0x0000000000000020
2026/09/25 15:48:55.019, P0, 1665 MHz, 55.05 W, 79, 0x0000000000000020
2026/09/25 15:48:55.273, P0, 1665 MHz, 55.05 W, 79, 0x0000000000000020
2026/09/25 15:48:55.526, P0, 1672 MHz, 54.54 W, 80, 0x0000000000000020
2026/09/25 15:48:55.783, P0, 1672 MHz, 54.54 W, 80, 0x0000000000000020
2026/09/25 15:48:56.034, P0, 1680 MHz, 55.14 W, 79, 0x0000000000000020
2026/09/25 15:48:56.291, P0, 1680 MHz, 55.14 W, 79, 0x0000000000000020
2026/09/25 15:48:56.560, P0, 1762 MHz, 54.65 W, 79, 0x0000000000000020
2026/09/25 15:48:56.817, P0, 1762 MHz, 54.65 W, 79, 0x0000000000000020
2026/09/25 15:48:57.075, P0, 1837 MHz, 54.28 W, 79, 0x0000000000000020
2026/09/25 15:48:57.333, P0, 1837 MHz, 54.28 W, 79, 0x0000000000000020
2026/09/25 15:48:57.590, P0, 1680 MHz, 53.74 W, 79, 0x0000000000000020
2026/09/25 15:48:57.841, P0, 1680 MHz, 53.74 W, 79, 0x0000000000000020
2026/09/25 15:48:58.098, P0, 1920 MHz, 51.99 W, 79, 0x0000000000000020
2026/09/25 15:48:58.357, P0, 1920 MHz, 51.99 W, 79, 0x0000000000000020
2026/09/25 15:48:58.614, P0, 1717 MHz, 58.56 W, 80, 0x0000000000000020
2026/09/25 15:48:58.871, P0, 1717 MHz, 58.56 W, 80, 0x0000000000000020
2026/09/25 15:48:59.128, P0, 1732 MHz, 58.02 W, 80, 0x0000000000000020
2026/09/25 15:48:59.382, P0, 1732 MHz, 58.02 W, 80, 0x0000000000000020
2026/09/25 15:48:59.639, P0, 1635 MHz, 54.06 W, 80, 0x0000000000000020
2026/09/25 15:48:59.894, P0, 1620 MHz, 54.16 W, 79, 0x0000000000000020
2026/09/25 15:49:00.147, P0, 1620 MHz, 54.16 W, 79, 0x0000000000000020
2026/09/25 15:49:00.404, P0, 1612 MHz, 54.10 W, 79, 0x0000000000000020
2026/09/25 15:49:00.662, P0, 1612 MHz, 54.10 W, 79, 0x0000000000000020
2026/09/25 15:49:00.917, P0, 1582 MHz, 54.49 W, 80, 0x0000000000000020
2026/09/25 15:49:01.175, P0, 1582 MHz, 54.49 W, 80, 0x0000000000000020
2026/09/25 15:49:01.430, P0, 1627 MHz, 54.75 W, 80, 0x0000000000000020
2026/09/25 15:49:01.689, P0, 1627 MHz, 54.75 W, 80, 0x0000000000000020
2026/09/25 15:49:01.945, P0, 1627 MHz, 54.81 W, 80, 0x0000000000000020
2026/09/25 15:49:02.202, P0, 1627 MHz, 54.81 W, 80, 0x0000000000000020
2026/09/25 15:49:02.457, P0, 1627 MHz, 54.40 W, 80, 0x0000000000000020
2026/09/25 15:49:02.708, P0, 1627 MHz, 54.40 W, 80, 0x0000000000000020
2026/09/25 15:49:02.961, P0, 1650 MHz, 54.32 W, 80, 0x0000000000000020
2026/09/25 15:49:03.219, P0, 1650 MHz, 54.32 W, 80, 0x0000000000000020
2026/09/25 15:49:03.474, P0, 1725 MHz, 54.78 W, 80, 0x0000000000000020
2026/09/25 15:49:03.725, P0, 1725 MHz, 54.78 W, 80, 0x0000000000000020
2026/09/25 15:49:03.976, P0, 1732 MHz, 54.49 W, 80, 0x0000000000000020
2026/09/25 15:49:04.235, P0, 1732 MHz, 54.49 W, 80, 0x0000000000000020
2026/09/25 15:49:04.491, P0, 1732 MHz, 54.58 W, 80, 0x0000000000000020
2026/09/25 15:49:04.748, P0, 1732 MHz, 54.58 W, 80, 0x0000000000000020
2026/09/25 15:49:04.999, P0, 1665 MHz, 54.94 W, 80, 0x0000000000000020
2026/09/25 15:49:05.255, P0, 1665 MHz, 54.94 W, 80, 0x0000000000000020
2026/09/25 15:49:05.514, P0, 1680 MHz, 54.59 W, 80, 0x0000000000000020
2026/09/25 15:49:05.771, P0, 1680 MHz, 54.59 W, 80, 0x0000000000000020
2026/09/25 15:49:06.032, P0, 1762 MHz, 54.49 W, 80, 0x0000000000000020
2026/09/25 15:49:06.285, P0, 1762 MHz, 54.49 W, 80, 0x0000000000000020
2026/09/25 15:49:06.538, P0, 1747 MHz, 54.62 W, 80, 0x0000000000000020
2026/09/25 15:49:06.794, P0, 1747 MHz, 54.62 W, 80, 0x0000000000000020
2026/09/25 15:49:07.047, P0, 1657 MHz, 55.48 W, 80, 0x0000000000000020
2026/09/25 15:49:07.307, P0, 1657 MHz, 55.48 W, 80, 0x0000000000000020
2026/09/25 15:49:07.561, P0, 1657 MHz, 54.44 W, 80, 0x0000000000000020
2026/09/25 15:49:07.814, P0, 1657 MHz, 54.44 W, 80, 0x0000000000000020
2026/09/25 15:49:08.069, P0, 1657 MHz, 54.81 W, 80, 0x0000000000000020
2026/09/25 15:49:08.329, P0, 1657 MHz, 54.81 W, 80, 0x0000000000000020
2026/09/25 15:49:08.579, P0, 1642 MHz, 55.12 W, 80, 0x0000000000000020
2026/09/25 15:49:08.844, P0, 1642 MHz, 55.12 W, 80, 0x0000000000000020
2026/09/25 15:49:09.101, P0, 1627 MHz, 54.63 W, 80, 0x0000000000000020
2026/09/25 15:49:09.356, P0, 1627 MHz, 54.63 W, 80, 0x0000000000000020
2026/09/25 15:49:09.615, P0, 1530 MHz, 49.61 W, 79, 0x0000000000000020
2026/09/25 15:49:09.871, P0, 1530 MHz, 49.61 W, 79, 0x0000000000000020
2026/09/25 15:49:10.128, P0, 1545 MHz, 48.86 W, 79, 0x0000000000000020
2026/09/25 15:49:10.385, P0, 1545 MHz, 48.86 W, 79, 0x0000000000000020
2026/09/25 15:49:10.642, P0, 1537 MHz, 49.69 W, 79, 0x0000000000000020
2026/09/25 15:49:10.895, P0, 1530 MHz, 49.32 W, 79, 0x0000000000000020
2026/09/25 15:49:11.149, P0, 1530 MHz, 49.32 W, 79, 0x0000000000000020
2026/09/25 15:49:11.406, P0, 1537 MHz, 49.36 W, 79, 0x0000000000000020
2026/09/25 15:49:11.676, P0, 1537 MHz, 49.36 W, 79, 0x0000000000000020
2026/09/25 15:49:11.930, P0, 1537 MHz, 48.86 W, 79, 0x0000000000000020
2026/09/25 15:49:12.190, P0, 1537 MHz, 48.86 W, 79, 0x0000000000000020
2026/09/25 15:49:12.445, P0, 1627 MHz, 48.51 W, 79, 0x0000000000000020
2026/09/25 15:49:12.700, P0, 1627 MHz, 48.51 W, 79, 0x0000000000000020
2026/09/25 15:49:12.956, P0, 1635 MHz, 48.36 W, 79, 0x0000000000000020
2026/09/25 15:49:13.214, P0, 1635 MHz, 48.36 W, 79, 0x0000000000000020
2026/09/25 15:49:13.466, P0, 1642 MHz, 49.33 W, 79, 0x0000000000000020
2026/09/25 15:49:13.721, P0, 1642 MHz, 49.33 W, 79, 0x0000000000000020
2026/09/25 15:49:13.973, P0, 1560 MHz, 49.38 W, 79, 0x0000000000000020
2026/09/25 15:49:14.228, P0, 1560 MHz, 49.38 W, 79, 0x0000000000000020
2026/09/25 15:49:14.480, P0, 1567 MHz, 49.37 W, 79, 0x0000000000000020
2026/09/25 15:49:14.732, P0, 1567 MHz, 49.37 W, 79, 0x0000000000000020
2026/09/25 15:49:14.989, P0, 1612 MHz, 49.43 W, 79, 0x0000000000000020
2026/09/25 15:49:15.248, P0, 1612 MHz, 49.43 W, 79, 0x0000000000000020
2026/09/25 15:49:15.504, P0, 1650 MHz, 51.84 W, 80, 0x0000000000000020
2026/09/25 15:49:15.763, P0, 1650 MHz, 51.84 W, 80, 0x0000000000000020
2026/09/25 15:49:16.023, P0, 1552 MHz, 49.89 W, 79, 0x0000000000000020
2026/09/25 15:49:16.276, P0, 1552 MHz, 49.89 W, 79, 0x0000000000000020
2026/09/25 15:49:16.533, P0, 1537 MHz, 49.17 W, 79, 0x0000000000000020
2026/09/25 15:49:16.786, P0, 1537 MHz, 49.17 W, 79, 0x0000000000000020
2026/09/25 15:49:17.041, P0, 1545 MHz, 48.96 W, 79, 0x0000000000000020
2026/09/25 15:49:17.295, P0, 1545 MHz, 48.96 W, 79, 0x0000000000000020
2026/09/25 15:49:17.553, P0, 1545 MHz, 47.70 W, 79, 0x0000000000000020
2026/09/25 15:49:17.804, P0, 1545 MHz, 47.70 W, 79, 0x0000000000000020
2026/09/25 15:49:18.054, P0, 1537 MHz, 47.66 W, 79, 0x0000000000000020
2026/09/25 15:49:18.313, P0, 1537 MHz, 47.66 W, 79, 0x0000000000000020
2026/09/25 15:49:18.564, P0, 1530 MHz, 49.63 W, 80, 0x0000000000000020
2026/09/25 15:49:18.817, P0, 1530 MHz, 49.63 W, 80, 0x0000000000000020
2026/09/25 15:49:19.074, P0, 1537 MHz, 48.73 W, 79, 0x0000000000000020
2026/09/25 15:49:19.333, P0, 1537 MHz, 48.73 W, 79, 0x0000000000000020
2026/09/25 15:49:19.591, P0, 1537 MHz, 49.07 W, 80, 0x0000000000000020
2026/09/25 15:49:19.848, P0, 1537 MHz, 49.07 W, 80, 0x0000000000000020
2026/09/25 15:49:20.099, P0, 1537 MHz, 49.52 W, 80, 0x0000000000000020
2026/09/25 15:49:20.358, P0, 1537 MHz, 49.52 W, 80, 0x0000000000000020
2026/09/25 15:49:20.608, P0, 1530 MHz, 46.90 W, 80, 0x0000000000000020
2026/09/25 15:49:20.859, P0, 1530 MHz, 46.90 W, 80, 0x0000000000000020
2026/09/25 15:49:21.113, P0, 1537 MHz, 49.28 W, 80, 0x0000000000000020
2026/09/25 15:49:21.372, P0, 1537 MHz, 49.28 W, 80, 0x0000000000000020
2026/09/25 15:49:21.630, P0, 1627 MHz, 49.09 W, 80, 0x0000000000000020
2026/09/25 15:49:21.889, P0, 1627 MHz, 49.09 W, 80, 0x0000000000000020
2026/09/25 15:49:22.142, P0, 1627 MHz, 49.47 W, 80, 0x0000000000000020
2026/09/25 15:49:22.407, P0, 1627 MHz, 49.49 W, 80, 0x0000000000000020
2026/09/25 15:49:22.667, P0, 1627 MHz, 49.49 W, 80, 0x0000000000000020
2026/09/25 15:49:22.920, P0, 1530 MHz, 50.82 W, 80, 0x0000000000000020
2026/09/25 15:49:23.174, P0, 1530 MHz, 50.82 W, 80, 0x0000000000000020
2026/09/25 15:49:23.434, P0, 1530 MHz, 48.12 W, 80, 0x0000000000000020
2026/09/25 15:49:23.689, P0, 1530 MHz, 48.12 W, 80, 0x0000000000000020
2026/09/25 15:49:23.952, P0, 1545 MHz, 48.02 W, 80, 0x0000000000000020
2026/09/25 15:49:24.204, P0, 1545 MHz, 48.02 W, 80, 0x0000000000000020
2026/09/25 15:49:24.454, P0, 1687 MHz, 47.77 W, 80, 0x0000000000000020
2026/09/25 15:49:24.707, P0, 1687 MHz, 47.77 W, 80, 0x0000000000000020
2026/09/25 15:49:24.959, P0, 1627 MHz, 47.94 W, 80, 0x0000000000000020
2026/09/25 15:49:25.210, P0, 1627 MHz, 47.94 W, 80, 0x0000000000000020
2026/09/25 15:49:25.474, P0, 1530 MHz, 48.70 W, 80, 0x0000000000000020
2026/09/25 15:49:25.738, P0, 1530 MHz, 48.70 W, 80, 0x0000000000000020
2026/09/25 15:49:26.003, P0, 1530 MHz, 49.09 W, 80, 0x0000000000000020
2026/09/25 15:49:26.255, P0, 1530 MHz, 49.09 W, 80, 0x0000000000000020
2026/09/25 15:49:26.520, P0, 1530 MHz, 48.88 W, 80, 0x0000000000000020
2026/09/25 15:49:26.774, P0, 1530 MHz, 48.88 W, 80, 0x0000000000000020
2026/09/25 15:49:27.038, P0, 1530 MHz, 48.94 W, 80, 0x0000000000000020
2026/09/25 15:49:27.303, P0, 1530 MHz, 48.94 W, 80, 0x0000000000000020
2026/09/25 15:49:27.567, P0, 1530 MHz, 49.50 W, 80, 0x0000000000000020
2026/09/25 15:49:27.832, P0, 1530 MHz, 49.50 W, 80, 0x0000000000000020
2026/09/25 15:49:28.098, P0, 1530 MHz, 49.80 W, 80, 0x0000000000000020
2026/09/25 15:49:28.350, P0, 1530 MHz, 49.80 W, 80, 0x0000000000000020
2026/09/25 15:49:28.614, P0, 1530 MHz, 48.54 W, 80, 0x0000000000000020
2026/09/25 15:49:28.866, P0, 1530 MHz, 48.54 W, 80, 0x0000000000000020
2026/09/25 15:49:29.131, P0, 1530 MHz, 49.23 W, 80, 0x0000000000000020
2026/09/25 15:49:29.396, P0, 1530 MHz, 49.23 W, 80, 0x0000000000000020
2026/09/25 15:49:29.660, P0, 1530 MHz, 49.36 W, 80, 0x0000000000000020
2026/09/25 15:49:29.925, P0, 1530 MHz, 49.26 W, 80, 0x0000000000000020
2026/09/25 15:49:30.175, P0, 1530 MHz, 49.26 W, 80, 0x0000000000000020
2026/09/25 15:49:30.441, P0, 1530 MHz, 49.07 W, 80, 0x0000000000000020
2026/09/25 15:49:30.705, P0, 1530 MHz, 49.07 W, 80, 0x0000000000000020
2026/09/25 15:49:30.969, P0, 1530 MHz, 48.47 W, 80, 0x0000000000000020
2026/09/25 15:49:31.221, P0, 1530 MHz, 48.47 W, 80, 0x0000000000000020
2026/09/25 15:49:31.486, P0, 1530 MHz, 45.40 W, 79, 0x0000000000000020
2026/09/25 15:49:31.751, P0, 1530 MHz, 45.40 W, 79, 0x0000000000000020
2026/09/25 15:49:32.013, P0, 1530 MHz, 44.94 W, 79, 0x0000000000000020
2026/09/25 15:49:32.278, P0, 1530 MHz, 44.94 W, 79, 0x0000000000000020
2026/09/25 15:49:32.529, P0, 1530 MHz, 44.96 W, 79, 0x0000000000000020
2026/09/25 15:49:32.794, P0, 1530 MHz, 44.96 W, 79, 0x0000000000000020
2026/09/25 15:49:33.057, P0, 1530 MHz, 46.80 W, 80, 0x0000000000000020
2026/09/25 15:49:33.309, P0, 1530 MHz, 46.80 W, 80, 0x0000000000000020
2026/09/25 15:49:33.560, P0, 1530 MHz, 48.44 W, 80, 0x0000000000000020
2026/09/25 15:49:33.826, P0, 1530 MHz, 48.44 W, 80, 0x0000000000000020
2026/09/25 15:49:34.089, P0, 1530 MHz, 44.41 W, 79, 0x0000000000000020
2026/09/25 15:49:34.353, P0, 1530 MHz, 44.41 W, 79, 0x0000000000000020
2026/09/25 15:49:34.618, P0, 1530 MHz, 43.90 W, 79, 0x0000000000000020
2026/09/25 15:49:34.882, P0, 1530 MHz, 43.90 W, 79, 0x0000000000000020
2026/09/25 15:49:35.133, P0, 1530 MHz, 46.37 W, 80, 0x0000000000000020
2026/09/25 15:49:35.397, P0, 1530 MHz, 46.37 W, 80, 0x0000000000000020
2026/09/25 15:49:35.648, P0, 1530 MHz, 48.41 W, 80, 0x0000000000000020
2026/09/25 15:49:35.912, P0, 1530 MHz, 48.01 W, 80, 0x0000000000000020
2026/09/25 15:49:36.163, P0, 1530 MHz, 48.01 W, 80, 0x0000000000000020
2026/09/25 15:49:36.414, P0, 1530 MHz, 47.51 W, 80, 0x0000000000000020
2026/09/25 15:49:36.677, P0, 1530 MHz, 47.51 W, 80, 0x0000000000000020
2026/09/25 15:49:36.928, P0, 1530 MHz, 47.62 W, 80, 0x0000000000000020
2026/09/25 15:49:37.195, P0, 1530 MHz, 47.62 W, 80, 0x0000000000000020
2026/09/25 15:49:37.458, P0, 1530 MHz, 47.79 W, 80, 0x0000000000000020
2026/09/25 15:49:37.722, P0, 1530 MHz, 47.79 W, 80, 0x0000000000000020
2026/09/25 15:49:37.973, P0, 1530 MHz, 46.38 W, 79, 0x0000000000000020
