timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 15:56:25.386, P0, 2010 MHz, 48.21 W, 77, 0x0000000000000400
2026/09/25 15:56:25.641, P0, 2010 MHz, 48.21 W, 77, 0x0000000000000400
2026/09/25 15:56:25.892, [Unknown Error], 1740 MHz, 20.45 W, 74, 0x0000000000000001
2026/09/25 15:56:26.926, P0, 1740 MHz, 19.79 W, 73, 0x0000000000000001
2026/09/25 15:56:27.176, P0, 1740 MHz, 19.79 W, 73, 0x0000000000000001
2026/09/25 15:56:27.441, P0, 1740 MHz, 19.79 W, 74, 0x0000000000000001
2026/09/25 15:56:27.705, P0, 1740 MHz, 19.79 W, 74, 0x0000000000000001
2026/09/25 15:56:27.969, P0, 1852 MHz, 73.30 W, 83, 0x0000000000000020
2026/09/25 15:56:28.232, P0, 1665 MHz, 55.62 W, 80, 0x0000000000000020
2026/09/25 15:56:28.497, P0, 1665 MHz, 55.62 W, 80, 0x0000000000000020
2026/09/25 15:56:28.760, P0, 1665 MHz, 55.48 W, 79, 0x0000000000000020
2026/09/25 15:56:29.025, P0, 1665 MHz, 55.48 W, 79, 0x0000000000000020
2026/09/25 15:56:29.290, P0, 1680 MHz, 55.46 W, 80, 0x0000000000000020
2026/09/25 15:56:29.540, P0, 1680 MHz, 55.46 W, 80, 0x0000000000000020
2026/09/25 15:56:29.792, P0, 1650 MHz, 55.59 W, 79, 0x0000000000000020
2026/09/25 15:56:30.055, P0, 1650 MHz, 55.59 W, 79, 0x0000000000000020
2026/09/25 15:56:30.309, P0, 1650 MHz, 55.60 W, 79, 0x0000000000000020
2026/09/25 15:56:30.561, P0, 1650 MHz, 55.60 W, 79, 0x0000000000000020
2026/09/25 15:56:30.825, P0, 1680 MHz, 54.96 W, 79, 0x0000000000000020
2026/09/25 15:56:31.087, P0, 1680 MHz, 54.96 W, 79, 0x0000000000000020
2026/09/25 15:56:31.338, P0, 1657 MHz, 55.16 W, 80, 0x0000000000000020
2026/09/25 15:56:31.603, P0, 1657 MHz, 55.16 W, 80, 0x0000000000000020
2026/09/25 15:56:31.868, P0, 1650 MHz, 56.32 W, 80, 0x0000000000000020
2026/09/25 15:56:32.131, P0, 1650 MHz, 56.32 W, 80, 0x0000000000000020
2026/09/25 15:56:32.382, P0, 1657 MHz, 56.03 W, 80, 0x0000000000000020
2026/09/25 15:56:32.647, P0, 1657 MHz, 56.03 W, 80, 0x0000000000000020
2026/09/25 15:56:32.909, P0, 1657 MHz, 56.06 W, 79, 0x0000000000000020
2026/09/25 15:56:33.173, P0, 1657 MHz, 56.06 W, 79, 0x0000000000000020
2026/09/25 15:56:33.438, P0, 1732 MHz, 54.59 W, 80, 0x0000000000000020
2026/09/25 15:56:33.703, P0, 1732 MHz, 54.59 W, 80, 0x0000000000000020
2026/09/25 15:56:33.967, P0, 1740 MHz, 55.88 W, 80, 0x0000000000000020
2026/09/25 15:56:34.231, P0, 1740 MHz, 56.08 W, 80, 0x0000000000000020
2026/09/25 15:56:34.495, P0, 1740 MHz, 56.08 W, 80, 0x0000000000000020
2026/09/25 15:56:34.760, P0, 1672 MHz, 56.19 W, 80, 0x0000000000000020
2026/09/25 15:56:35.024, P0, 1672 MHz, 56.19 W, 80, 0x0000000000000020
2026/09/25 15:56:35.287, P0, 1680 MHz, 56.08 W, 80, 0x0000000000000020
