timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 16:13:57.184, P0, 1987 MHz, 45.19 W, 77, 0x0000000000000020
2026/09/25 16:13:57.446, P0, 1987 MHz, 45.19 W, 72, [Unknown Error]
2026/09/25 16:13:57.786, [Unknown Error], 1740 MHz, 3.10 W, 72, 0x0000000000000001
2026/09/25 16:13:58.787, P0, 1740 MHz, 20.15 W, 74, 0x0000000000000001
2026/09/25 16:13:59.037, P0, 1740 MHz, 20.15 W, 74, 0x0000000000000001
2026/09/25 16:13:59.289, P0, 1740 MHz, 19.59 W, 74, 0x0000000000000001
2026/09/25 16:13:59.540, P0, 1740 MHz, 19.59 W, 74, 0x0000000000000001
2026/09/25 16:13:59.806, P0, 1837 MHz, 82.00 W, 83, 0x0000000000000020
2026/09/25 16:14:00.069, P0, 1837 MHz, 82.00 W, 83, 0x0000000000000020
2026/09/25 16:14:00.335, P0, 1552 MHz, 49.55 W, 80, 0x0000000000000020
2026/09/25 16:14:00.585, P0, 1552 MHz, 49.55 W, 80, 0x0000000000000020
2026/09/25 16:14:00.848, P0, 1552 MHz, 49.60 W, 79, 0x0000000000000020
2026/09/25 16:14:01.099, P0, 1552 MHz, 49.69 W, 79, 0x0000000000000020
2026/09/25 16:14:01.365, P0, 1552 MHz, 49.69 W, 79, 0x0000000000000020
2026/09/25 16:14:01.628, P0, 1537 MHz, 49.97 W, 79, 0x0000000000000020
2026/09/25 16:14:01.893, P0, 1537 MHz, 49.97 W, 79, 0x0000000000000020
2026/09/25 16:14:02.158, P0, 1537 MHz, 49.90 W, 79, 0x0000000000000020
2026/09/25 16:14:02.410, P0, 1537 MHz, 49.90 W, 79, 0x0000000000000020
2026/09/25 16:14:02.673, P0, 1650 MHz, 66.46 W, 79, 0x0000000000000020
2026/09/25 16:14:02.924, P0, 1650 MHz, 66.46 W, 79, 0x0000000000000020
2026/09/25 16:14:03.189, P0, 1545 MHz, 49.40 W, 79, 0x0000000000000020
2026/09/25 16:14:03.455, P0, 1545 MHz, 49.40 W, 79, 0x0000000000000020
2026/09/25 16:14:03.718, P0, 1537 MHz, 50.38 W, 79, 0x0000000000000020
2026/09/25 16:14:03.969, P0, 1537 MHz, 50.38 W, 79, 0x0000000000000020
2026/09/25 16:14:04.233, P0, 1552 MHz, 49.55 W, 79, 0x0000000000000020
2026/09/25 16:14:04.497, P0, 1552 MHz, 49.55 W, 79, 0x0000000000000020
2026/09/25 16:14:04.762, P0, 1537 MHz, 49.49 W, 79, 0x0000000000000020
2026/09/25 16:14:05.025, P0, 1537 MHz, 49.49 W, 79, 0x0000000000000020
2026/09/25 16:14:05.277, P0, 1567 MHz, 49.27 W, 79, 0x0000000000000020
2026/09/25 16:14:05.528, P0, 1567 MHz, 49.27 W, 79, 0x0000000000000020
2026/09/25 16:14:05.791, P0, 1627 MHz, 49.81 W, 79, 0x0000000000000020
2026/09/25 16:14:06.056, P0, 1627 MHz, 49.81 W, 79, 0x0000000000000020
2026/09/25 16:14:06.321, P0, 1627 MHz, 49.52 W, 79, 0x0000000000000020
2026/09/25 16:14:06.586, P0, 1627 MHz, 49.52 W, 79, 0x0000000000000020
2026/09/25 16:14:06.851, P0, 1650 MHz, 49.67 W, 79, 0x0000000000000020
2026/09/25 16:14:07.102, P0, 1560 MHz, 49.97 W, 79, 0x0000000000000020
2026/09/25 16:14:07.367, P0, 1560 MHz, 49.97 W, 79, 0x0000000000000020
2026/09/25 16:14:07.619, P0, 1567 MHz, 49.83 W, 79, 0x0000000000000020
2026/09/25 16:14:07.884, P0, 1567 MHz, 49.83 W, 79, 0x0000000000000020
2026/09/25 16:14:08.149, P0, 1642 MHz, 49.17 W, 79, 0x0000000000000020
2026/09/25 16:14:08.413, P0, 1642 MHz, 49.17 W, 79, 0x0000000000000020
2026/09/25 16:14:08.675, P0, 1867 MHz, 47.03 W, 79, 0x0000000000000020
2026/09/25 16:14:08.939, P0, 1867 MHz, 47.03 W, 79, 0x0000000000000020
2026/09/25 16:14:09.193, P0, 1747 MHz, 52.39 W, 79, 0x0000000000000020
2026/09/25 16:14:09.444, P0, 1747 MHz, 52.39 W, 79, 0x0000000000000020
2026/09/25 16:14:09.697, P0, 1860 MHz, 49.97 W, 79, 0x0000000000000020
2026/09/25 16:14:09.951, P0, 1860 MHz, 49.97 W, 79, 0x0000000000000020
2026/09/25 16:14:10.201, P0, 1552 MHz, 49.40 W, 79, 0x0000000000000020
2026/09/25 16:14:10.465, P0, 1552 MHz, 49.40 W, 79, 0x0000000000000020
2026/09/25 16:14:10.729, P0, 1545 MHz, 48.88 W, 79, 0x0000000000000020
2026/09/25 16:14:10.980, P0, 1545 MHz, 48.88 W, 79, 0x0000000000000020
2026/09/25 16:14:11.232, P0, 1552 MHz, 49.25 W, 79, 0x0000000000000020
2026/09/25 16:14:11.485, P0, 1552 MHz, 49.25 W, 79, 0x0000000000000020
2026/09/25 16:14:11.750, P0, 1537 MHz, 49.13 W, 79, 0x0000000000000020
2026/09/25 16:14:12.001, P0, 1537 MHz, 49.13 W, 79, 0x0000000000000020
2026/09/25 16:14:12.254, P0, 1530 MHz, 49.25 W, 79, 0x0000000000000020
2026/09/25 16:14:12.519, P0, 1530 MHz, 49.25 W, 79, 0x0000000000000020
2026/09/25 16:14:12.784, P0, 1552 MHz, 48.78 W, 79, 0x0000000000000020
2026/09/25 16:14:13.050, P0, 1552 MHz, 48.78 W, 79, 0x0000000000000020
2026/09/25 16:14:13.301, P0, 1545 MHz, 49.84 W, 79, 0x0000000000000020
2026/09/25 16:14:13.563, P0, 1545 MHz, 49.84 W, 79, 0x0000000000000020
2026/09/25 16:14:13.828, P0, 1552 MHz, 48.98 W, 79, 0x0000000000000020
2026/09/25 16:14:14.078, P0, 1552 MHz, 48.98 W, 79, 0x0000000000000020
2026/09/25 16:14:14.330, P0, 1545 MHz, 49.52 W, 79, 0x0000000000000020
2026/09/25 16:14:14.595, P0, 1545 MHz, 49.52 W, 79, 0x0000000000000020
