timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 16:10:10.244, P0, 2010 MHz, 36.81 W, 77, 0x0000000000000020
2026/09/25 16:10:10.502, P0, 2010 MHz, 36.81 W, 77, 0x0000000000000020
2026/09/25 16:10:10.753, [Unknown Error], 1740 MHz, 20.70 W, 73, 0x0000000000000001
2026/09/25 16:10:11.776, P0, 1740 MHz, 20.10 W, 73, 0x0000000000000001
2026/09/25 16:10:12.041, P0, 1740 MHz, 20.10 W, 73, 0x0000000000000001
2026/09/25 16:10:12.306, P0, 1740 MHz, 19.92 W, 74, 0x0000000000000001
2026/09/25 16:10:12.567, P0, 1740 MHz, 19.92 W, 74, 0x0000000000000001
2026/09/25 16:10:12.832, P0, 1882 MHz, 59.75 W, 83, 0x0000000000000020
2026/09/25 16:10:13.098, P0, 1552 MHz, 49.79 W, 79, 0x0000000000000020
2026/09/25 16:10:13.361, P0, 1552 MHz, 49.79 W, 79, 0x0000000000000020
2026/09/25 16:10:13.626, P0, 1642 MHz, 53.86 W, 80, 0x0000000000000020
2026/09/25 16:10:13.876, P0, 1642 MHz, 53.86 W, 80, 0x0000000000000020
2026/09/25 16:10:14.142, P0, 1642 MHz, 54.21 W, 80, 0x0000000000000020
2026/09/25 16:10:14.406, P0, 1642 MHz, 54.21 W, 80, 0x0000000000000020
2026/09/25 16:10:14.670, P0, 1635 MHz, 54.41 W, 80, 0x0000000000000020
2026/09/25 16:10:14.921, P0, 1635 MHz, 54.41 W, 80, 0x0000000000000020
2026/09/25 16:10:15.186, P0, 1627 MHz, 54.72 W, 80, 0x0000000000000020
2026/09/25 16:10:15.440, P0, 1627 MHz, 54.72 W, 80, 0x0000000000000020
2026/09/25 16:10:15.703, P0, 1657 MHz, 54.08 W, 80, 0x0000000000000020
2026/09/25 16:10:15.954, P0, 1657 MHz, 54.08 W, 80, 0x0000000000000020
2026/09/25 16:10:16.205, P0, 1642 MHz, 54.97 W, 80, 0x0000000000000020
2026/09/25 16:10:16.456, P0, 1642 MHz, 54.97 W, 80, 0x0000000000000020
2026/09/25 16:10:16.717, P0, 1627 MHz, 54.94 W, 80, 0x0000000000000020
2026/09/25 16:10:16.982, P0, 1627 MHz, 54.94 W, 80, 0x0000000000000020
