# start_unix_ms 1790344201570
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0147,0.0657,0.2224,17.0239,0.0000,0.0000,0.0000
1,17.101,17.1011,0.0000,0.0172,0.2813,0.0951,0.5136,0.0000,0.0000,0.0000
2,17.655,0.5535,0.0000,14.3965,0.0540,0.0911,14.6747,0.2792,0.2007,0.0000
3,32.384,14.7297,0.0000,7.5363,0.0405,0.0815,7.7666,0.2761,0.2007,0.0000
4,40.190,7.8055,0.0000,7.6384,0.0503,0.0818,7.8943,0.2750,0.2007,0.0000
5,48.139,7.9489,0.0000,7.6057,0.0736,0.1060,7.9457,0.2743,0.1987,0.0000
6,56.140,8.0008,0.0000,7.4484,0.0537,0.4800,8.1223,0.2766,0.1987,0.0000
7,64.320,8.1805,0.0000,7.0881,0.0451,0.0974,7.3486,0.2737,0.1987,0.0000
8,71.708,7.3880,0.0000,7.6673,0.0505,0.0804,7.9458,0.2746,0.2130,0.0000
9,79.702,7.9943,0.0000,6.7542,0.0542,0.1271,7.0844,0.2769,0.2130,0.0000
10,86.828,7.1258,0.0000,6.6436,0.0486,0.0816,6.9032,0.2740,0.2130,0.0000
11,93.779,6.9506,0.0000,6.7572,0.0345,0.0959,7.0137,0.2745,0.2099,0.0000
12,100.837,7.0580,0.0000,6.7617,0.0420,0.1110,7.0626,0.2758,0.2109,0.0000
13,107.950,7.1129,0.0000,6.6716,0.0339,0.0737,6.9059,0.2769,0.2099,0.0000
14,114.900,6.9504,0.0000,6.7727,0.0306,0.0688,6.9870,0.2773,0.1956,0.0000
15,121.930,7.0303,0.0000,6.7370,0.0366,0.0743,6.9679,0.2746,0.1956,0.0000
16,128.944,7.0136,0.0000,6.7167,0.0309,0.0635,6.9292,0.2751,0.1946,0.0000
17,136.033,7.0888,0.0000,6.6733,0.0376,0.0742,6.9173,0.2750,0.2079,0.0000
18,143.001,6.9681,0.0000,6.6807,0.0307,0.0632,6.8960,0.2766,0.1946,0.0000
19,149.939,6.9385,0.0000,6.7301,0.0303,0.0873,6.9621,0.2774,0.1946,0.0000
20,156.942,7.0031,0.0000,6.4424,0.0312,0.0679,6.6551,0.2749,0.1946,0.0000
21,163.649,6.7064,0.0000,6.2046,0.0323,0.0724,6.4117,0.2425,0.2038,0.0000
22,170.102,6.4531,0.0000,6.2656,0.0295,0.4302,6.8357,0.2449,0.4035,0.0000
23,176.979,6.8775,0.0000,5.6900,0.0306,0.1250,5.9612,0.2446,0.1956,0.0000
24,183.100,6.1206,0.0000,8.8531,0.0363,0.1599,9.1863,0.4518,0.1946,0.0000
25,192.365,9.2654,0.0000,3.0536,0.1882,1.1338,4.6917,0.4273,0.1946,0.0000
26,197.150,4.7844,0.0000,6.1696,0.0483,0.0807,6.4881,0.2417,0.2079,0.0000
27,203.744,6.5943,0.0000,5.7224,0.0427,0.1164,6.0447,0.2438,0.4823,0.0000
28,209.860,6.1158,0.0000,5.7594,0.0300,0.4268,6.3263,0.2424,0.1935,0.0000
29,216.259,6.3994,0.0000,5.9233,0.0401,0.1100,6.3036,0.2439,0.1946,0.0000
