# start_unix_ms 1790343985547
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0142,0.0614,0.1677,16.9498,0.0000,0.0000,0.0000
1,17.030,17.0300,0.0000,0.0161,0.2393,0.1174,0.4994,0.0000,0.0000,0.0000
2,17.571,0.5411,0.0000,14.6391,0.0653,0.0724,14.9254,0.2808,0.2017,0.0000
3,32.582,15.0107,0.0000,7.5198,0.0505,0.0689,7.7850,0.2750,0.2028,0.0000
4,40.425,7.8428,0.0000,7.6186,0.0491,0.0489,7.8662,0.2734,0.1997,0.0000
5,48.357,7.9321,0.0000,7.6308,0.0464,0.0692,7.8811,0.2740,0.1987,0.0000
6,56.296,7.9397,0.0000,7.5868,0.0391,0.0591,7.8055,0.2744,0.1987,0.0000
7,64.143,7.8470,0.0000,7.5601,0.0416,0.0938,7.8652,0.2752,0.1976,0.0000
8,72.051,7.9076,0.0000,7.6752,0.0470,0.0613,7.9332,0.2739,0.1976,0.0000
9,80.028,7.9766,0.0000,6.7247,0.0404,0.0563,6.9431,0.2742,0.1956,0.0000
10,87.018,6.9907,0.0000,6.8074,0.0397,0.0410,6.9998,0.2730,0.1987,0.0000
11,94.060,7.0416,0.0000,6.8374,0.0292,0.0938,7.0745,0.2776,0.1976,0.0000
12,101.174,7.1136,0.0000,6.8137,0.0317,0.0492,7.0540,0.2769,0.1966,0.0000
13,111.282,10.1086,0.0000,3.6883,0.0307,0.0490,3.9390,0.2757,0.1966,0.0000
14,115.258,3.9757,0.0000,6.9098,0.0424,0.0525,7.1519,0.2745,0.1966,0.0000
15,122.487,7.2290,0.0000,6.8892,0.0680,0.0870,7.2217,0.2749,0.1956,0.0000
16,129.806,7.3191,0.0000,6.2891,0.0530,0.0497,6.6014,0.2767,0.1956,0.0000
17,136.488,6.6822,0.0000,6.6543,0.0407,0.0487,6.8930,0.2760,0.1956,0.0000
18,143.440,6.9519,0.0000,6.7578,0.0412,0.0451,7.0022,0.6011,0.1956,0.0000
19,150.505,7.0653,0.0000,6.6960,0.0427,0.0691,6.9622,0.2764,0.1956,0.0000
20,157.529,7.0235,0.0000,6.7115,0.0397,0.0534,6.9491,0.2753,0.1946,0.0000
21,164.541,7.0122,0.0000,6.1621,0.0479,0.0598,6.4369,0.5152,0.1946,0.0000
22,171.051,6.5101,0.0000,6.1180,0.0446,0.3672,6.6846,0.2415,0.1946,0.0000
23,177.807,6.7559,0.0000,5.8454,0.0327,0.0482,6.0638,0.2400,0.1956,0.0000
24,183.919,6.1123,0.0000,6.2228,0.0264,0.0544,6.4256,0.2411,0.1946,0.0000
25,190.390,6.4704,0.0000,6.1939,0.0321,0.0426,6.4062,0.2423,0.1946,0.0000
26,196.844,6.4543,0.0000,6.2165,0.0341,0.0453,6.4148,0.2416,0.1946,0.0000
27,203.302,6.4583,0.0000,6.2359,0.0340,0.0429,6.4371,0.5317,0.1956,0.0000
28,209.806,6.5038,0.0000,6.2103,0.0389,0.0502,6.4499,0.2415,0.1946,0.0000
29,216.323,6.5166,0.0000,6.1764,0.0528,0.0559,6.8636,0.2407,0.1946,0.0000
30,223.260,6.9371,0.0000,6.0304,0.0515,0.0545,6.2997,0.2439,0.1946,0.0000
31,229.641,6.3811,0.0000,5.9578,0.0381,0.0445,6.1893,0.2432,0.1956,0.0000
32,235.889,6.2477,0.0000,6.3060,0.0355,0.0453,6.5257,0.2430,0.1946,0.0000
33,242.498,6.6096,0.0000,6.1642,0.0294,0.0416,6.3715,0.2435,0.1946,0.0000
34,248.911,6.4131,0.0000,6.3550,0.0322,0.0549,6.5684,0.2419,0.1946,0.0000
