# start_unix_ms 1790344587260
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0170,0.0844,0.1472,20.0507,0.0000,0.0000,0.0000
1,20.133,20.1329,0.0000,0.0178,0.2059,0.0627,0.4014,0.0000,0.0000,0.0000
2,20.569,0.4361,0.0000,14.2881,0.0644,0.0619,14.5741,0.2788,0.2017,0.0000
3,35.225,14.6561,0.0000,7.4355,0.0593,0.0688,7.7118,0.6208,0.2028,0.0000
4,43.008,7.7830,0.0000,7.5244,0.0572,0.0520,7.7735,0.2746,0.2017,0.0000
5,50.852,7.8441,0.0000,7.4419,0.0514,0.0656,7.6913,0.2740,0.1997,0.0000
6,58.587,7.7345,0.0000,7.5072,0.0545,0.0624,7.7544,0.2750,0.1976,0.0000
7,66.397,7.8098,0.0000,7.5849,0.0512,0.0891,7.9036,0.2726,0.1987,0.0000
8,74.347,7.9506,0.0000,7.4488,0.0539,0.0764,7.7266,0.2733,0.2140,0.0000
9,82.147,7.7998,0.0000,6.6475,0.1540,0.0752,7.1298,0.2763,0.1987,0.0000
10,89.333,7.1858,0.0000,6.4010,0.0806,0.0772,6.8182,0.2746,0.2089,0.0000
11,96.254,6.9212,0.0000,6.4743,0.0375,0.2141,6.8993,0.2747,0.2150,0.0000
12,103.316,7.0625,0.0000,6.3397,0.0571,0.0699,6.6190,0.2762,0.1966,0.0000
13,110.007,6.6906,0.0000,6.5927,0.0412,0.1020,6.9018,0.2737,0.1956,0.0000
14,117.044,7.0368,0.0000,6.4935,0.0717,0.0752,6.8439,0.2758,0.1956,0.0000
15,124.050,7.0060,0.0000,6.4457,0.0441,0.0708,6.7056,0.2756,0.1956,0.0000
16,130.882,6.8325,0.0000,6.5355,0.0470,0.0472,6.7986,0.6160,0.1956,0.0000
17,137.804,6.9219,0.0000,6.7834,0.0499,0.0635,7.0701,0.2740,0.1966,0.0000
18,144.941,7.1373,0.0000,6.3707,0.0382,0.0614,6.6174,0.2757,0.1956,0.0000
19,151.615,6.6733,0.0000,6.5389,0.0353,0.0603,6.7819,0.2761,0.1956,0.0000
20,158.452,6.8372,0.0000,5.9992,0.0407,0.0710,6.2884,0.2436,0.1946,0.0000
21,164.888,6.4357,0.0000,5.9063,0.0428,0.0521,6.1467,0.2437,0.1956,0.0000
22,171.089,6.2010,0.0000,6.1213,0.0385,0.4414,6.7508,0.2426,0.1956,0.0000
23,177.902,6.8134,0.0000,5.7640,0.0352,0.0620,6.0114,0.5407,0.1956,0.0000
24,183.975,6.0724,0.0000,6.1583,0.0366,0.0469,6.3848,0.2426,0.1946,0.0000
25,190.419,6.4450,0.0000,6.1008,0.0360,0.0459,6.3403,0.2428,0.1946,0.0000
26,196.818,6.3984,0.0000,6.0597,0.0406,0.0468,6.2843,0.2408,0.1956,0.0000
27,203.158,6.3404,0.0000,6.1595,0.0348,0.0480,6.3877,0.2429,0.1956,0.0000
28,209.603,6.4443,0.0000,6.1032,0.0393,0.0628,6.3560,0.2449,0.1946,0.0000
29,216.148,6.5457,0.0000,5.9794,0.0385,0.0611,6.2355,0.2440,0.1956,0.0000
30,222.445,6.2969,0.0000,6.0817,0.0372,0.0609,6.3289,0.2430,0.1946,0.0000
31,228.833,6.3874,0.0000,6.0281,0.0457,0.0661,6.3040,0.2424,0.1946,0.0000
32,235.200,6.3673,0.0000,6.3413,0.0371,0.0555,6.5885,0.5377,0.1946,0.0000
33,241.870,6.6697,0.0000,6.0222,0.0466,0.0555,6.3401,0.2458,0.1946,0.0000
34,248.263,6.3933,0.0000,6.2151,0.0345,0.0434,6.4641,0.2443,0.1946,0.0000
35,254.777,6.5137,0.0000,6.4041,0.0328,0.0543,6.6123,0.2452,0.1946,0.0000
36,261.469,6.6924,0.0000,6.1591,0.0352,0.0467,6.3818,0.2471,0.1935,0.0000
37,267.905,6.4360,0.0000,6.3221,0.0400,0.0475,6.5396,0.2454,0.1956,0.0000
38,274.501,6.5958,0.0000,6.2989,0.0406,0.0478,6.5341,0.2483,0.1946,0.0000
