# start_unix_ms 1790344425263
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0185,0.1093,0.2807,21.1054,0.0000,0.0000,0.0000
1,21.435,21.4354,0.0000,0.0614,0.3647,0.0962,0.9727,0.0000,0.0000,0.0000
2,22.575,1.1399,0.0000,13.1699,0.0862,0.1214,13.7481,0.2800,0.2017,0.0000
3,36.402,13.8272,0.0000,7.2481,0.0895,0.0952,7.7136,0.6165,0.2017,0.0000
4,44.204,7.8015,0.0000,7.3051,0.0808,0.0617,7.7504,0.2756,0.2017,0.0000
5,52.043,7.8392,0.0000,7.3808,0.0665,0.0789,7.7916,0.2736,0.1987,0.0000
6,59.918,7.8749,0.0000,7.3963,0.0634,0.0737,7.8040,0.2740,0.1987,0.0000
7,67.884,7.9658,0.0000,7.5129,0.1959,0.1979,8.2390,0.2744,0.1987,0.0000
8,77.499,9.6156,0.0000,5.6566,0.0909,0.1135,6.3159,0.6035,0.1987,0.0000
9,83.937,6.4371,0.0000,6.3013,0.1211,0.1501,7.0908,0.6029,0.1976,0.0000
10,91.160,7.2236,0.0000,5.9703,0.0889,0.0921,6.5607,0.6059,0.1966,0.0000
11,97.813,6.6530,0.0000,6.0184,0.0833,0.1581,6.6427,0.5518,0.1976,0.0000
12,104.585,6.7714,0.0000,5.7547,0.0859,0.1151,6.3353,0.5533,0.1966,0.0000
13,111.167,6.5825,0.0000,5.7113,0.0704,0.0887,6.2665,0.5583,0.1956,0.0000
14,117.640,6.4729,0.0000,6.1975,0.0622,0.0854,6.7245,0.2480,0.1966,0.0000
15,124.460,6.8199,0.0000,5.7685,0.0704,0.0918,6.3249,0.5446,0.1946,0.0000
16,130.917,6.4572,0.0000,5.7973,0.0680,0.0866,6.3551,0.2476,0.1956,0.0000
17,137.407,6.4896,0.0000,5.9687,0.0625,0.0754,6.4804,0.5431,0.1946,0.0000
18,143.968,6.5617,0.0000,5.8526,0.0715,0.0745,6.3664,0.5438,0.1946,0.0000
19,150.420,6.4516,0.0000,5.9035,0.0781,0.1024,6.4648,0.2466,0.1956,0.0000
20,156.980,6.5603,0.0000,5.8504,0.0605,0.0904,6.3762,0.5394,0.1946,0.0000
21,163.445,6.4643,0.0000,5.7900,0.0660,0.0837,6.3622,0.2464,0.1956,0.0000
22,169.915,6.4703,0.0000,5.9094,0.0733,0.8335,7.1937,0.5401,0.1956,0.0000
23,177.197,7.2816,0.0000,5.0089,0.0486,0.0589,5.4898,0.2467,0.1956,0.0000
24,182.755,5.5587,0.0000,6.0556,0.0503,0.0681,6.4435,0.2465,0.1946,0.0000
25,189.267,6.5114,0.0000,6.0431,0.0469,0.0739,6.4399,0.5439,0.1946,0.0000
26,195.771,6.5049,0.0000,6.3142,0.0491,0.2513,6.8909,0.2464,0.1946,0.0000
27,203.193,7.4212,0.0000,5.1547,0.1332,0.0684,6.0963,0.5411,0.1956,0.0000
28,209.367,6.1743,0.0000,6.2355,0.0627,0.0750,6.7126,0.2481,0.1946,0.0000
29,216.164,6.7967,0.0000,6.0751,0.1150,0.0981,6.9123,0.2477,0.1946,0.0000
30,223.197,7.0329,0.0000,4.8897,0.0683,0.0817,5.4453,0.5404,0.1946,0.0000
31,228.764,5.5678,0.0000,5.6256,0.0687,0.0822,6.4315,0.2492,0.1956,0.0000
32,235.303,6.5389,0.0000,5.7321,0.0684,0.0848,6.2814,0.2516,0.1946,0.0000
33,241.679,6.3755,0.0000,5.9886,0.0701,0.0921,6.5401,0.5444,0.1946,0.0000
34,249.043,7.3645,0.0000,5.3938,0.0744,0.0858,5.9492,0.5473,0.1946,0.0000
35,255.106,6.0625,0.0000,5.6385,0.0615,0.0878,6.1855,0.2491,0.1946,0.0000
36,261.381,6.2751,0.0000,5.9895,0.0689,0.0867,6.5352,0.2479,0.1946,0.0000
37,268.011,6.6302,0.0000,6.0096,0.0657,0.0812,6.5515,0.2534,0.1946,0.0000
38,274.654,6.6430,0.0000,6.0056,0.0637,0.0852,6.5441,0.2510,0.1946,0.0000
39,281.281,6.6266,0.0000,6.0675,0.0658,0.0923,6.6121,0.5472,0.1956,0.0000
40,287.987,6.7061,0.0000,5.9233,0.0627,0.0853,6.4578,0.5476,0.1956,0.0000
41,294.554,6.5667,0.0000,6.0682,0.1097,0.0826,6.7341,0.5453,0.1956,0.0000
42,301.391,6.8378,0.0000,5.8318,0.1297,0.3186,12.5617,0.5453,0.1946,0.0000
43,314.044,12.6528,0.0000,0.0368,0.0432,0.0588,0.5068,0.5461,0.1946,0.0000
44,314.950,0.9056,0.0000,5.6825,0.1830,0.7963,7.0572,0.5449,0.1946,0.0000
45,322.107,7.1571,0.0000,5.4136,0.0717,0.1048,5.9747,0.5503,0.1956,0.0000
46,328.171,6.0645,0.0000,5.8627,0.0470,0.0586,6.3307,0.5544,0.1946,0.0000
47,334.579,6.4076,0.0000,6.5878,0.0865,0.1860,7.1389,0.5867,0.1946,0.0000
48,341.802,7.2233,0.0000,6.2631,0.0587,0.0635,6.8327,0.5857,0.1956,0.0000
49,348.778,6.9760,0.0000,6.3496,0.0626,0.1061,6.7746,0.2653,0.1946,0.0000
50,355.832,7.0533,0.0000,6.3252,0.0666,0.0682,7.0437,0.6062,0.1946,0.0000
51,362.949,7.1170,0.0000,6.2618,0.0568,0.1143,6.9492,0.5934,0.1946,0.0000
52,369.969,7.0207,0.0000,6.2194,0.1106,0.2373,6.8558,0.2671,0.1946,0.0000
53,376.961,6.9917,0.0000,6.4206,0.0621,0.0624,6.8376,0.5862,0.1946,0.0000
