# start_unix_ms 1790345639144
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0171,0.0639,0.1297,17.3212,0.0000,0.0000,0.0000
1,17.404,17.4041,0.0000,0.0152,0.2015,0.0572,0.3834,0.0000,0.0000,0.0000
2,17.821,0.4173,0.0000,14.8685,0.0841,0.0762,15.1997,0.2773,0.2017,0.0000
3,33.103,15.2816,0.0000,7.2572,0.0645,0.0738,7.5488,0.6138,0.2017,0.0000
4,40.727,7.6237,0.0000,7.3484,0.0582,0.0507,7.5999,0.2740,0.2007,0.0000
5,48.397,7.6699,0.0000,7.2786,0.0506,0.0692,7.5158,0.2743,0.1997,0.0000
6,55.964,7.5676,0.0000,7.3461,0.0489,0.0606,7.5750,0.2748,0.1987,0.0000
7,63.603,7.6390,0.0000,12.2151,0.0754,0.1122,12.6081,0.2734,0.1987,0.0000
8,76.371,12.7674,0.0000,2.2667,0.0443,0.0768,2.5186,0.2746,0.1966,0.0000
9,78.933,2.5627,0.0000,6.4823,0.0433,0.0600,6.7051,0.2754,0.1987,0.0000
10,85.698,6.7652,0.0000,6.5388,0.0494,0.0483,6.7709,0.2751,0.1987,0.0000
11,92.535,6.8363,0.0000,6.5327,0.0353,0.0670,6.7484,0.2756,0.1987,0.0000
12,99.328,6.7927,0.0000,6.6235,0.0400,0.0610,6.8505,0.2772,0.1966,0.0000
13,106.251,6.9233,0.0000,6.4548,0.0502,0.0558,6.7283,0.2757,0.1956,0.0000
14,113.082,6.8316,0.0000,6.5090,0.0499,0.0533,6.7598,0.2773,0.1956,0.0000
15,119.922,6.8392,0.0000,6.4001,0.0498,0.0530,6.6485,0.2743,0.1956,0.0000
16,126.640,6.7182,0.0000,6.3947,0.0435,0.0452,6.6409,0.2738,0.1956,0.0000
17,133.352,6.7120,0.0000,6.5176,0.0414,0.0463,6.7650,0.2756,0.1956,0.0000
18,140.176,6.8240,0.0000,6.3466,0.0381,0.0429,6.5719,0.2763,0.1956,0.0000
19,146.805,6.6288,0.0000,5.9621,0.0390,0.0633,6.2163,0.2450,0.1946,0.0000
20,153.093,6.2881,0.0000,5.9407,0.0436,0.0579,6.1846,0.2450,0.1956,0.0000
21,159.354,6.2612,0.0000,6.1203,0.0442,0.0599,6.3941,0.5373,0.1956,0.0000
22,165.819,6.4651,0.0000,5.8827,0.0309,0.5742,6.5994,0.2461,0.1956,0.0000
23,172.478,6.6590,0.0000,5.5326,0.0323,0.0420,5.7465,0.2432,0.1956,0.0000
24,178.271,5.7926,0.0000,6.0743,0.0337,0.0445,6.2898,0.5399,0.1956,0.0000
25,184.608,6.3376,0.0000,5.9896,0.0336,0.0447,6.2176,0.2458,0.1946,0.0000
26,190.884,6.2757,0.0000,5.9787,0.0583,0.0533,6.2385,0.2441,0.1956,0.0000
27,197.205,6.3207,0.0000,6.0304,0.0394,0.0471,6.2625,0.5359,0.1946,0.0000
28,203.521,6.3163,0.0000,5.9495,0.0405,0.0482,6.1907,0.2423,0.1946,0.0000
29,209.785,6.2638,0.0000,6.0382,0.0471,0.0555,6.2912,0.2454,0.1946,0.0000
30,216.148,6.3632,0.0000,5.9467,0.0587,0.0819,6.2770,0.5398,0.1946,0.0000
31,222.536,6.3884,0.0000,5.9307,0.0539,0.0571,6.2092,0.2437,0.1956,0.0000
32,228.824,6.2881,0.0000,5.9696,0.0382,0.0633,6.2341,0.2466,0.1946,0.0000
33,235.121,6.2962,0.0000,6.1034,0.0323,0.0505,6.3118,0.2455,0.1956,0.0000
34,241.477,6.3567,0.0000,6.1608,0.0450,0.1096,6.5604,0.5406,0.1946,0.0000
35,248.090,6.6127,0.0000,5.9516,0.0406,0.0545,6.1805,0.2472,0.1946,0.0000
36,254.335,6.2450,0.0000,6.1425,0.0421,0.0604,6.3777,0.2473,0.1946,0.0000
37,260.773,6.4375,0.0000,6.1233,0.0464,0.0616,6.3569,0.2476,0.1935,0.0000
38,267.188,6.4158,0.0000,6.1376,0.0414,0.0462,6.3694,0.5406,0.1956,0.0000
39,273.621,6.4328,0.0000,6.1541,0.0454,0.0476,6.3937,0.2456,0.1946,0.0000
40,280.077,6.4563,0.0000,6.1974,0.0393,0.0502,6.4394,0.2450,0.1946,0.0000
41,286.576,6.4984,0.0000,6.1521,0.0413,0.0489,6.3887,0.2456,0.1946,0.0000
42,293.028,6.4518,0.0000,6.1220,0.0366,0.0470,6.3503,0.2435,0.1946,0.0000
43,299.439,6.4110,0.0000,6.0723,0.0410,0.0490,6.3244,0.5398,0.1946,0.0000
44,305.822,6.3833,0.0000,6.1331,0.0375,0.4137,6.7273,0.2453,0.1946,0.0000
45,312.610,6.7877,0.0000,5.8392,0.0424,0.0607,6.0963,0.2480,0.1946,0.0000
46,318.764,6.1540,0.0000,6.4088,0.0510,0.0714,6.6956,0.2453,0.1946,0.0000
47,325.517,6.7532,0.0000,5.8083,0.1014,0.0464,6.1477,0.2475,0.1946,0.0000
48,331.713,6.1960,0.0000,6.1027,0.0352,0.0526,6.3196,0.5409,0.1946,0.0000
49,338.162,6.4488,0.0000,6.2034,0.0345,0.0631,6.4360,0.2447,0.1946,0.0000
50,344.651,6.4890,0.0000,6.1737,0.0537,0.0480,6.4331,0.2467,0.1935,0.0000
51,351.146,6.4952,0.0000,6.1711,0.0371,0.0464,6.3979,0.2478,0.1946,0.0000
52,357.601,6.4549,0.0000,6.1522,0.0355,0.0510,6.3864,0.2449,0.1946,0.0000
53,364.041,6.4406,0.0000,6.1055,0.0376,0.0477,6.3416,0.5426,0.1946,0.0000
54,370.446,6.4047,0.0000,6.3148,0.0349,0.0453,6.5361,0.2457,0.1946,0.0000
55,377.038,6.5920,0.0000,6.3065,0.0375,0.0473,6.5293,0.2584,0.1935,0.0000
56,383.626,6.5876,0.0000,6.4311,0.0425,0.0481,6.6673,0.2589,0.1946,0.0010
57,390.355,6.7295,0.0000,6.3950,0.0414,0.0540,6.7069,0.2591,0.1946,0.0000
58,397.126,6.7705,0.0000,6.2951,0.0475,0.0675,6.5640,0.2620,0.1946,0.0000
59,403.762,6.6368,0.0000,6.3412,0.0362,0.0467,6.5674,0.5564,0.1946,0.0000
60,410.387,6.6251,0.0000,6.4561,0.0431,0.0603,6.6944,0.5784,0.1946,0.0000
61,417.140,6.7524,0.0000,6.3888,0.0370,0.0473,6.6151,0.5731,0.1946,0.0000
62,423.810,6.6696,0.0000,6.4670,0.0374,0.0514,6.6947,0.5702,0.1946,0.0000
63,430.574,6.7644,0.0000,6.4753,0.0393,0.0492,6.7081,0.5730,0.1956,0.0000
64,437.341,6.7666,0.0000,6.4011,0.0386,0.0717,6.6636,0.5722,0.1946,0.0000
65,444.108,6.7674,0.0000,6.4011,0.0455,0.0509,6.6664,0.5684,0.1946,0.0000
66,450.840,6.7325,0.0000,6.2401,0.0576,0.0679,6.5237,0.5670,0.1946,0.0000
67,457.438,6.5978,0.0000,6.3570,0.0382,0.0514,6.5903,0.5696,0.1946,0.0000
68,464.087,6.6491,0.0000,6.4401,0.0636,0.0641,6.7383,0.5677,0.1946,0.0000
69,470.887,6.7997,0.0000,6.2938,0.0331,0.1120,6.5780,0.5699,0.1946,0.0000
70,477.531,6.6445,0.0000,6.4189,0.0335,0.0440,6.6240,0.5702,0.1946,0.0000
71,484.204,6.6728,0.0000,6.4310,0.0401,0.0473,6.7761,0.5692,0.1946,0.0000
72,491.044,6.8398,0.0000,6.2670,0.0345,0.0443,6.4681,0.5700,0.1935,0.0000
73,497.566,6.5215,0.0000,6.5219,0.0348,0.0577,6.7474,0.5695,0.1946,0.0000
74,504.370,6.8046,0.0000,6.4267,0.0410,0.0604,6.6728,0.5684,0.1946,0.0000
75,511.110,6.7402,0.0000,6.4622,0.0460,0.0512,6.7122,0.5682,0.1946,0.0000
76,517.939,6.8289,0.0000,6.3093,0.0422,0.0466,6.5701,0.2549,0.1946,0.0000
77,524.572,6.6327,0.0000,6.4581,0.0373,0.0472,6.6894,0.2569,0.1935,0.0000
78,531.321,6.7491,0.0000,6.4463,0.0430,0.0536,6.7040,0.2557,0.1946,0.0000
79,538.087,6.7654,0.0000,6.5250,0.0410,0.0498,6.7531,0.2591,0.1946,0.0000
80,544.899,6.8124,0.0000,6.3998,0.0435,0.0652,6.6700,0.2557,0.1935,0.0000
81,551.641,6.7422,0.0000,6.4343,0.0409,0.0633,6.6898,0.2603,0.1956,0.0000
82,558.394,6.7528,0.0000,6.3362,0.0441,0.0542,6.5898,0.2570,0.1946,0.0000
83,565.053,6.6594,0.0000,6.3842,0.0445,0.0609,6.6494,0.2567,0.1946,0.0000
84,571.767,6.7135,0.0000,6.4111,0.0431,0.0528,6.6614,0.2556,0.1946,0.0000
85,578.493,6.7258,0.0000,6.4433,0.0450,0.0554,6.6892,0.2556,0.1946,0.0000
86,585.254,6.7617,0.0000,6.3778,0.0431,0.0528,6.6305,0.2547,0.1946,0.0000
87,591.948,6.6941,0.0000,6.7260,0.0384,0.0493,6.9587,0.2565,0.1946,0.0000
88,598.966,7.0171,0.0000,6.9276,0.0359,0.0516,7.1495,0.2824,0.1946,0.0000
89,606.167,7.2019,0.0000,6.9028,0.0392,0.0503,7.1339,0.2830,0.1946,0.0000
90,613.362,7.1949,0.0000,6.9837,0.0500,0.0595,7.2591,0.6277,0.1946,0.0000
91,620.706,7.3437,0.0000,6.8646,0.0391,0.0503,7.0980,0.2876,0.1956,0.0000
92,627.857,7.1508,0.0000,6.9959,0.0383,0.0515,7.2252,0.6334,0.1946,0.0000
93,635.135,7.2786,0.0000,7.0226,0.0394,0.0495,7.2566,0.2888,0.1946,0.0000
94,642.453,7.3178,0.0000,6.9773,0.0502,0.0563,7.2471,0.2886,0.1946,0.0000
95,649.778,7.3248,0.0000,6.9379,0.0398,0.0508,7.1783,0.2880,0.1946,0.0000
96,657.019,7.2411,0.0000,6.9685,0.0436,0.0544,7.2175,0.2868,0.1946,0.0000
97,664.310,7.2911,0.0000,7.2694,0.0436,0.4258,7.8979,0.2893,0.1946,0.0000
98,672.301,7.9904,0.0000,6.2480,0.0376,0.3899,6.8334,0.2886,0.1946,0.0000
99,679.296,6.9959,0.0000,6.5683,0.0455,0.0567,6.8319,0.2830,0.1946,0.0000
100,686.191,6.8946,0.0000,6.9493,0.0431,0.0562,7.2032,0.2863,0.1946,0.0000
101,693.457,7.2655,0.0000,6.9457,0.0453,0.0556,7.2600,0.6293,0.1946,0.0000
102,700.781,7.3249,0.0000,6.8990,0.0401,0.0538,7.1455,0.2865,0.1946,0.0000
103,707.989,7.2076,0.0000,6.9466,0.0436,0.0560,7.1938,0.6298,0.1946,0.0000
104,715.245,7.2557,0.0000,6.9768,0.0442,0.0549,7.2200,0.2866,0.1946,0.0000
105,722.529,7.2842,0.0000,7.0281,0.0679,0.0646,7.3311,0.6268,0.1956,0.0000
106,729.942,7.4130,0.0000,6.8382,0.0516,0.0620,7.1168,0.2861,0.1946,0.0000
107,737.136,7.1944,0.0000,6.8643,0.0565,0.0630,7.1591,0.6236,0.1946,0.0000
108,744.383,7.2470,0.0000,6.8991,0.0608,0.0686,7.2151,0.2880,0.1946,0.0000
109,751.689,7.3057,0.0000,6.8884,0.0465,0.0602,7.1538,0.6267,0.1946,0.0000
110,758.911,7.2216,0.0000,6.9489,0.0425,0.0546,7.2002,0.2834,0.1946,0.0000
111,766.174,7.2637,0.0000,7.0095,0.0417,0.0538,7.2562,0.6291,0.1946,0.0000
112,773.490,7.3155,0.0000,6.9280,0.0381,0.0524,7.1641,0.2858,0.1946,0.0000
113,780.711,7.2207,0.0000,6.9918,0.0421,0.0502,7.2454,0.2855,0.1946,0.0000
114,788.021,7.3104,0.0000,7.0722,0.0398,0.0518,7.3194,0.2837,0.1956,0.0000
115,795.411,7.3896,0.0000,7.2596,0.0422,0.0531,7.5011,0.3000,0.1946,0.0000
116,802.973,7.5626,0.0000,7.3273,0.0411,0.0749,7.6038,0.3012,0.1946,0.0000
117,810.715,7.7414,0.0000,7.1949,0.0554,0.1004,7.5494,0.6576,0.1956,0.0000
118,818.408,7.6938,0.0000,7.0314,0.0481,0.0562,7.3007,0.2994,0.1946,0.0000
119,825.772,7.3633,0.0000,7.3997,0.0574,0.0834,7.7395,0.2988,0.1946,0.0000
120,833.624,7.8522,0.0000,7.1159,0.0578,0.0623,7.3939,0.2994,0.1946,0.0000
121,841.098,7.4738,0.0000,7.2869,0.0598,0.0645,7.5848,0.3011,0.1956,0.0000
122,848.770,7.6725,0.0000,7.2886,0.0440,0.0552,7.5333,0.3015,0.1956,0.0000
123,856.371,7.6005,0.0000,7.3822,0.0456,0.0551,7.6362,0.6658,0.1956,0.0000
124,864.077,7.7062,0.0000,7.2688,0.0458,0.0544,7.5137,0.6656,0.1946,0.0000
125,871.659,7.5819,0.0000,7.3592,0.0530,0.0584,7.6329,0.3028,0.1946,0.0000
126,879.365,7.7064,0.0000,7.3223,0.0579,0.0662,7.6410,0.3022,0.1956,0.0000
127,887.188,7.8226,0.0000,7.1883,0.0580,0.0633,7.5463,0.3024,0.1946,0.0000
128,894.821,7.6327,0.0000,7.2223,0.0516,0.0591,7.5059,0.3037,0.1946,0.0000
129,902.421,7.6005,0.0000,7.3611,0.0453,0.0554,7.6200,0.3005,0.1946,0.0000
130,910.109,7.6884,0.0000,7.3990,0.0517,0.0575,7.6673,0.3039,0.1946,0.0000
131,917.855,7.7459,0.0000,7.3202,0.0410,0.0516,7.5701,0.3016,0.1946,0.0000
132,925.488,7.6331,0.0000,7.3801,0.0435,0.0527,7.6208,0.6654,0.1956,0.0000
133,933.170,7.6819,0.0000,7.5061,0.0372,0.0487,7.7368,0.6608,0.1946,0.0000
134,940.963,7.7929,0.0000,7.3558,0.0444,0.0551,7.6162,0.3026,0.1956,0.0000
135,948.654,7.6910,0.0000,7.2946,0.0507,0.0534,7.6726,0.3113,0.1946,0.0000
136,956.401,7.7471,0.0000,7.2302,0.0490,0.0599,7.4989,0.2997,0.1956,0.0000
137,963.971,7.5700,0.0000,7.4280,0.0454,0.0565,7.6899,0.2998,0.1946,0.0000
138,971.726,7.7545,0.0000,7.4044,0.0433,0.0550,7.6499,0.3045,0.1956,0.0000
139,979.437,7.7107,0.0000,7.4448,0.0428,0.0556,7.6913,0.3015,0.1956,0.0000
140,987.190,7.7533,0.0000,7.4126,0.0435,0.0565,7.6591,0.3011,0.1956,0.0000
141,994.957,7.7669,0.0000,7.3723,0.0410,0.0492,7.6017,0.3036,0.1956,0.0000
142,1002.792,7.8355,0.0000,7.2756,0.0465,0.0560,7.5380,0.3011,0.1956,0.0000
143,1010.399,7.6069,0.0000,7.4441,0.0414,0.0531,7.6840,0.3034,0.1956,0.0000
144,1018.146,7.7466,0.0000,7.4769,0.0528,0.0804,7.8423,0.3030,0.1946,0.0000
145,1026.128,7.9819,0.0000,7.2610,0.0426,0.0556,7.5274,0.3016,0.1946,0.0000
146,1033.719,7.5915,0.0000,7.5087,0.0458,0.0553,7.7778,0.3009,0.1946,0.0000
147,1041.561,7.8415,0.0000,7.4455,0.0470,0.0540,7.7097,0.3016,0.1956,0.0000
148,1049.350,7.7896,0.0000,7.4316,0.0517,0.0612,7.7132,0.3015,0.1946,0.0000
149,1057.140,7.7894,0.0000,7.4335,0.0406,0.0563,7.6804,0.3006,0.1956,0.0000
