timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 09:55:56.826, P0, 1740 MHz, 18.99 W, 64, 0x0000000000000001
2026/09/25 09:55:57.095, P0, 1740 MHz, 18.99 W, 64, 0x0000000000000001
2026/09/25 09:55:57.347, P0, 1740 MHz, 18.64 W, 65, 0x0000000000000001
2026/09/25 09:55:57.610, P0, 1740 MHz, 18.64 W, 65, 0x0000000000000001
2026/09/25 09:55:57.861, P0, 2010 MHz, 47.27 W, 69, 0x0000000000000004
2026/09/25 09:55:58.125, P0, 2010 MHz, 47.27 W, 69, 0x0000000000000004
2026/09/25 09:55:58.389, P0, 1987 MHz, 90.81 W, 76, 0x0000000000000004
2026/09/25 09:55:58.639, P0, 1987 MHz, 90.81 W, 76, 0x0000000000000004
2026/09/25 09:55:58.903, P0, 1972 MHz, 83.46 W, 76, 0x0000000000000004
2026/09/25 09:55:59.167, P0, 1972 MHz, 83.46 W, 76, 0x0000000000000004
2026/09/25 09:55:59.419, P0, 2010 MHz, 92.03 W, 78, 0x0000000000000004
2026/09/25 09:55:59.684, P0, 2010 MHz, 92.03 W, 78, 0x0000000000000004
2026/09/25 09:55:59.948, P0, 1987 MHz, 88.50 W, 78, 0x0000000000000004
2026/09/25 09:56:00.212, P0, 1987 MHz, 88.50 W, 78, 0x0000000000000004
2026/09/25 09:56:00.466, P0, 1995 MHz, 94.97 W, 79, 0x0000000000000004
2026/09/25 09:56:00.717, P0, 1995 MHz, 94.97 W, 79, 0x0000000000000004
2026/09/25 09:56:00.982, P0, 2010 MHz, 71.86 W, 78, 0x0000000000000400
2026/09/25 09:56:01.247, P0, 2002 MHz, 95.86 W, 80, 0x0000000000000004
2026/09/25 09:56:01.511, P0, 2002 MHz, 95.86 W, 80, 0x0000000000000004
2026/09/25 09:56:01.775, P0, 1965 MHz, 94.39 W, 80, 0x0000000000000020
2026/09/25 09:56:02.040, P0, 1965 MHz, 94.39 W, 80, 0x0000000000000020
2026/09/25 09:56:02.291, P0, 1965 MHz, 91.88 W, 80, 0x0000000000000020
2026/09/25 09:56:02.554, P0, 1965 MHz, 91.88 W, 80, 0x0000000000000020
2026/09/25 09:56:02.804, P0, 2002 MHz, 88.89 W, 80, 0x0000000000000020
2026/09/25 09:56:03.067, P0, 2002 MHz, 88.89 W, 80, 0x0000000000000020
2026/09/25 09:56:03.318, P0, 2010 MHz, 76.85 W, 80, 0x0000000000000400
2026/09/25 09:56:03.584, P0, 2010 MHz, 76.85 W, 80, 0x0000000000000400
2026/09/25 09:56:03.844, P0, 2010 MHz, 85.58 W, 80, 0x0000000000000400
2026/09/25 09:56:04.095, P0, 2010 MHz, 85.58 W, 80, 0x0000000000000400
2026/09/25 09:56:04.350, P0, 1935 MHz, 80.40 W, 80, 0x0000000000000020
2026/09/25 09:56:04.613, P0, 1935 MHz, 80.40 W, 80, 0x0000000000000020
2026/09/25 09:56:04.878, P0, 1935 MHz, 80.30 W, 80, 0x0000000000000020
2026/09/25 09:56:05.141, P0, 1935 MHz, 80.30 W, 80, 0x0000000000000020
