timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 10:00:43.774, P0, 1710 MHz, 53.90 W, 80, 0x0000000000000020
2026/09/25 10:00:44.029, P0, 2010 MHz, 27.86 W, 76, 0x0000000000000400
2026/09/25 10:00:44.295, [Unknown Error], 1740 MHz, 20.57 W, 72, 0x0000000000000001
2026/09/25 10:00:45.326, P0, 1740 MHz, 19.76 W, 73, 0x0000000000000001
2026/09/25 10:00:45.579, P0, 1740 MHz, 19.76 W, 73, 0x0000000000000001
2026/09/25 10:00:45.845, P0, 1740 MHz, 19.03 W, 74, 0x0000000000000001
2026/09/25 10:00:46.108, P0, 1740 MHz, 19.03 W, 74, 0x0000000000000001
2026/09/25 10:00:46.359, P0, 1890 MHz, 79.02 W, 82, 0x0000000000000020
2026/09/25 10:00:46.624, P0, 1612 MHz, 52.81 W, 80, 0x0000000000000020
2026/09/25 10:00:46.883, P0, 1612 MHz, 52.81 W, 80, 0x0000000000000020
2026/09/25 10:00:47.140, P0, 1620 MHz, 52.27 W, 79, 0x0000000000000020
2026/09/25 10:00:47.391, P0, 1620 MHz, 52.27 W, 79, 0x0000000000000020
2026/09/25 10:00:47.647, P0, 1612 MHz, 52.71 W, 79, 0x0000000000000020
2026/09/25 10:00:47.904, P0, 1612 MHz, 52.71 W, 79, 0x0000000000000020
2026/09/25 10:00:48.160, P0, 1680 MHz, 57.92 W, 80, 0x0000000000000020
2026/09/25 10:00:48.418, P0, 1680 MHz, 57.92 W, 80, 0x0000000000000020
2026/09/25 10:00:48.675, P0, 1680 MHz, 57.92 W, 80, 0x0000000000000020
2026/09/25 10:00:48.928, P0, 1680 MHz, 57.92 W, 80, 0x0000000000000020
2026/09/25 10:00:49.183, P0, 1687 MHz, 63.14 W, 79, 0x0000000000000020
2026/09/25 10:00:49.442, P0, 1687 MHz, 63.14 W, 79, 0x0000000000000020
2026/09/25 10:00:49.692, P0, 1582 MHz, 55.08 W, 80, 0x0000000000000020
2026/09/25 10:00:49.947, P0, 1582 MHz, 55.08 W, 80, 0x0000000000000020
2026/09/25 10:00:50.204, P0, 1560 MHz, 51.37 W, 79, 0x0000000000000020
2026/09/25 10:00:50.456, P0, 1560 MHz, 51.37 W, 79, 0x0000000000000020
2026/09/25 10:00:50.713, P0, 1672 MHz, 57.57 W, 80, 0x0000000000000020
2026/09/25 10:00:50.969, P0, 1672 MHz, 57.57 W, 80, 0x0000000000000020
2026/09/25 10:00:51.225, P0, 1672 MHz, 56.00 W, 80, 0x0000000000000020
2026/09/25 10:00:51.481, P0, 1672 MHz, 56.00 W, 80, 0x0000000000000020
2026/09/25 10:00:51.738, P0, 1837 MHz, 53.30 W, 79, 0x0000000000000020
2026/09/25 10:00:51.994, P0, 1837 MHz, 53.30 W, 79, 0x0000000000000020
2026/09/25 10:00:52.252, P0, 1830 MHz, 53.34 W, 79, 0x0000000000000020
