timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 09:57:06.091, P0, 1560 MHz, 45.55 W, 79, 0x0000000000000020
2026/09/25 09:57:06.356, P0, 2010 MHz, 27.52 W, 77, 0x0000000000000400
2026/09/25 09:57:06.606, [Unknown Error], 1740 MHz, 20.73 W, 63, 0x0000000000000001
2026/09/25 09:57:07.655, P0, 1740 MHz, 19.97 W, 73, 0x0000000000000001
2026/09/25 09:57:07.919, P0, 1740 MHz, 19.97 W, 73, 0x0000000000000001
2026/09/25 09:57:08.185, P0, 1740 MHz, 19.19 W, 75, 0x0000000000000001
2026/09/25 09:57:08.446, P0, 1845 MHz, 72.47 W, 83, 0x0000000000000020
2026/09/25 09:57:08.712, P0, 1845 MHz, 72.47 W, 83, 0x0000000000000020
2026/09/25 09:57:08.978, P0, 1537 MHz, 49.10 W, 80, 0x0000000000000020
2026/09/25 09:57:09.241, P0, 1537 MHz, 49.10 W, 80, 0x0000000000000020
2026/09/25 09:57:09.506, P0, 1537 MHz, 48.57 W, 79, 0x0000000000000020
2026/09/25 09:57:09.771, P0, 1537 MHz, 48.57 W, 79, 0x0000000000000020
2026/09/25 09:57:10.036, P0, 1545 MHz, 48.73 W, 79, 0x0000000000000020
2026/09/25 09:57:10.299, P0, 1545 MHz, 48.73 W, 79, 0x0000000000000020
2026/09/25 09:57:10.563, P0, 1612 MHz, 50.17 W, 79, 0x0000000000000020
2026/09/25 09:57:10.828, P0, 1612 MHz, 50.17 W, 79, 0x0000000000000020
2026/09/25 09:57:11.079, P0, 1612 MHz, 52.17 W, 80, 0x0000000000000020
2026/09/25 09:57:11.332, P0, 1612 MHz, 52.17 W, 80, 0x0000000000000020
2026/09/25 09:57:11.597, P0, 1635 MHz, 55.14 W, 80, 0x0000000000000020
2026/09/25 09:57:11.861, P0, 1635 MHz, 55.14 W, 80, 0x0000000000000020
2026/09/25 09:57:12.126, P0, 1627 MHz, 53.79 W, 80, 0x0000000000000020
2026/09/25 09:57:12.391, P0, 1627 MHz, 53.79 W, 80, 0x0000000000000020
2026/09/25 09:57:12.642, P0, 1627 MHz, 54.24 W, 80, 0x0000000000000020
2026/09/25 09:57:12.906, P0, 1627 MHz, 54.24 W, 80, 0x0000000000000020
2026/09/25 09:57:13.170, P0, 1627 MHz, 53.98 W, 80, 0x0000000000000020
2026/09/25 09:57:13.421, P0, 1627 MHz, 53.98 W, 80, 0x0000000000000020
2026/09/25 09:57:13.687, P0, 1627 MHz, 54.23 W, 80, 0x0000000000000020
2026/09/25 09:57:13.938, P0, 1627 MHz, 54.23 W, 80, 0x0000000000000020
2026/09/25 09:57:14.203, P0, 1710 MHz, 53.67 W, 80, 0x0000000000000020
2026/09/25 09:57:14.469, P0, 1717 MHz, 53.64 W, 80, 0x0000000000000020
2026/09/25 09:57:14.733, P0, 1717 MHz, 53.64 W, 80, 0x0000000000000020
2026/09/25 09:57:14.998, P0, 1717 MHz, 54.03 W, 80, 0x0000000000000020
2026/09/25 09:57:15.262, P0, 1717 MHz, 54.03 W, 80, 0x0000000000000020
2026/09/25 09:57:15.526, P0, 1657 MHz, 54.38 W, 80, 0x0000000000000020
2026/09/25 09:57:15.791, P0, 1657 MHz, 54.38 W, 80, 0x0000000000000020
2026/09/25 09:57:16.042, P0, 1657 MHz, 53.92 W, 80, 0x0000000000000020
2026/09/25 09:57:16.294, P0, 1657 MHz, 53.92 W, 80, 0x0000000000000020
2026/09/25 09:57:16.560, P0, 1680 MHz, 54.05 W, 80, 0x0000000000000020
2026/09/25 09:57:16.811, P0, 1680 MHz, 54.05 W, 80, 0x0000000000000020
2026/09/25 09:57:17.062, P0, 1815 MHz, 53.42 W, 80, 0x0000000000000020
2026/09/25 09:57:17.313, P0, 1815 MHz, 53.42 W, 80, 0x0000000000000020
2026/09/25 09:57:17.563, P0, 1740 MHz, 53.89 W, 80, 0x0000000000000020
2026/09/25 09:57:17.828, P0, 1740 MHz, 53.89 W, 80, 0x0000000000000020
2026/09/25 09:57:18.082, P0, 1635 MHz, 55.49 W, 80, 0x0000000000000020
2026/09/25 09:57:18.333, P0, 1635 MHz, 55.49 W, 80, 0x0000000000000020
2026/09/25 09:57:18.584, P0, 1845 MHz, 49.30 W, 79, 0x0000000000000020
2026/09/25 09:57:18.838, P0, 1845 MHz, 49.30 W, 79, 0x0000000000000020
2026/09/25 09:57:19.090, P0, 1642 MHz, 54.17 W, 80, 0x0000000000000020
2026/09/25 09:57:19.355, P0, 1642 MHz, 54.17 W, 80, 0x0000000000000020
2026/09/25 09:57:19.619, P0, 1530 MHz, 48.35 W, 79, 0x0000000000000020
2026/09/25 09:57:19.883, P0, 1530 MHz, 48.35 W, 79, 0x0000000000000020
2026/09/25 09:57:20.135, P0, 1530 MHz, 49.42 W, 79, 0x0000000000000020
2026/09/25 09:57:20.397, P0, 1530 MHz, 49.42 W, 79, 0x0000000000000020
2026/09/25 09:57:20.662, P0, 1530 MHz, 50.17 W, 79, 0x0000000000000020
2026/09/25 09:57:20.914, P0, 1530 MHz, 50.17 W, 79, 0x0000000000000020
2026/09/25 09:57:21.165, P0, 1530 MHz, 48.39 W, 79, 0x0000000000000020
2026/09/25 09:57:21.431, P0, 1530 MHz, 48.39 W, 79, 0x0000000000000020
2026/09/25 09:57:21.682, P0, 1530 MHz, 49.49 W, 79, 0x0000000000000020
2026/09/25 09:57:21.947, P0, 1530 MHz, 49.78 W, 79, 0x0000000000000020
2026/09/25 09:57:22.198, P0, 1530 MHz, 49.78 W, 79, 0x0000000000000020
2026/09/25 09:57:22.463, P0, 1530 MHz, 49.23 W, 79, 0x0000000000000020
2026/09/25 09:57:22.727, P0, 1530 MHz, 49.23 W, 79, 0x0000000000000020
2026/09/25 09:57:22.990, P0, 1530 MHz, 49.13 W, 79, 0x0000000000000020
2026/09/25 09:57:23.240, P0, 1530 MHz, 49.13 W, 79, 0x0000000000000020
2026/09/25 09:57:23.506, P0, 1687 MHz, 51.90 W, 79, 0x0000000000000020
2026/09/25 09:57:23.771, P0, 1687 MHz, 51.90 W, 79, 0x0000000000000020
2026/09/25 09:57:24.035, P0, 1687 MHz, 52.31 W, 80, 0x0000000000000020
2026/09/25 09:57:24.301, P0, 1687 MHz, 52.31 W, 80, 0x0000000000000020
2026/09/25 09:57:24.566, P0, 1702 MHz, 52.20 W, 80, 0x0000000000000020
2026/09/25 09:57:24.819, P0, 1702 MHz, 52.20 W, 80, 0x0000000000000020
2026/09/25 09:57:25.083, P0, 1627 MHz, 52.50 W, 80, 0x0000000000000020
