timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 09:59:31.644, P0, 1672 MHz, 51.34 W, 79, 0x0000000000000020
2026/09/25 09:59:31.897, P0, 2010 MHz, 27.39 W, 76, 0x0000000000000400
2026/09/25 09:59:32.153, [Unknown Error], 1740 MHz, 20.60 W, 73, 0x0000000000000001
2026/09/25 09:59:33.185, P0, 1740 MHz, 19.89 W, 73, 0x0000000000000001
2026/09/25 09:59:33.436, P0, 1740 MHz, 19.89 W, 73, 0x0000000000000001
2026/09/25 09:59:33.701, P0, 1740 MHz, 18.95 W, 74, 0x0000000000000001
2026/09/25 09:59:33.952, P0, 1740 MHz, 18.95 W, 74, 0x0000000000000001
2026/09/25 09:59:34.204, P0, 1845 MHz, 77.86 W, 82, 0x0000000000000020
2026/09/25 09:59:34.469, P0, 1845 MHz, 77.86 W, 82, 0x0000000000000020
2026/09/25 09:59:34.727, P0, 1650 MHz, 54.17 W, 80, 0x0000000000000020
2026/09/25 09:59:34.986, P0, 1665 MHz, 54.72 W, 79, 0x0000000000000020
2026/09/25 09:59:35.243, P0, 1665 MHz, 54.72 W, 79, 0x0000000000000020
2026/09/25 09:59:35.503, P0, 1642 MHz, 53.57 W, 79, 0x0000000000000020
2026/09/25 09:59:35.760, P0, 1642 MHz, 53.57 W, 79, 0x0000000000000020
2026/09/25 09:59:36.018, P0, 1627 MHz, 54.20 W, 79, 0x0000000000000020
2026/09/25 09:59:36.275, P0, 1627 MHz, 54.20 W, 79, 0x0000000000000020
2026/09/25 09:59:36.535, P0, 1627 MHz, 54.41 W, 80, 0x0000000000000020
2026/09/25 09:59:36.790, P0, 1627 MHz, 54.41 W, 80, 0x0000000000000020
2026/09/25 09:59:37.048, P0, 1762 MHz, 62.36 W, 79, 0x0000000000000020
2026/09/25 09:59:37.306, P0, 1762 MHz, 62.36 W, 79, 0x0000000000000020
2026/09/25 09:59:37.566, P0, 1597 MHz, 57.56 W, 80, 0x0000000000000020
2026/09/25 09:59:37.821, P0, 1597 MHz, 57.56 W, 80, 0x0000000000000020
2026/09/25 09:59:38.076, P0, 1612 MHz, 52.33 W, 79, 0x0000000000000020
2026/09/25 09:59:38.334, P0, 1612 MHz, 52.33 W, 79, 0x0000000000000020
2026/09/25 09:59:38.590, P0, 1612 MHz, 53.03 W, 79, 0x0000000000000020
2026/09/25 09:59:38.847, P0, 1612 MHz, 53.03 W, 79, 0x0000000000000020
2026/09/25 09:59:39.106, P0, 1597 MHz, 52.80 W, 79, 0x0000000000000020
2026/09/25 09:59:39.366, P0, 1597 MHz, 52.80 W, 79, 0x0000000000000020
2026/09/25 09:59:39.631, P0, 1642 MHz, 52.43 W, 79, 0x0000000000000020
2026/09/25 09:59:39.888, P0, 1642 MHz, 52.43 W, 79, 0x0000000000000020
2026/09/25 09:59:40.139, P0, 1717 MHz, 52.59 W, 79, 0x0000000000000020
2026/09/25 09:59:40.394, P0, 1717 MHz, 52.59 W, 79, 0x0000000000000020
2026/09/25 09:59:40.650, P0, 1687 MHz, 52.70 W, 79, 0x0000000000000020
2026/09/25 09:59:40.903, P0, 1687 MHz, 52.70 W, 79, 0x0000000000000020
2026/09/25 09:59:41.160, P0, 1695 MHz, 50.43 W, 78, 0x0000000000000020
2026/09/25 09:59:41.413, P0, 1695 MHz, 50.43 W, 78, 0x0000000000000020
2026/09/25 09:59:41.669, P0, 1627 MHz, 52.80 W, 79, 0x0000000000000020
2026/09/25 09:59:41.922, P0, 1627 MHz, 52.80 W, 79, 0x0000000000000020
2026/09/25 09:59:42.173, P0, 1635 MHz, 52.65 W, 79, 0x0000000000000020
2026/09/25 09:59:42.427, P0, 1635 MHz, 52.65 W, 79, 0x0000000000000020
2026/09/25 09:59:42.681, P0, 1717 MHz, 51.91 W, 79, 0x0000000000000020
2026/09/25 09:59:42.936, P0, 1717 MHz, 51.91 W, 79, 0x0000000000000020
2026/09/25 09:59:43.187, P0, 1792 MHz, 51.83 W, 79, 0x0000000000000020
2026/09/25 09:59:43.446, P0, 1792 MHz, 51.83 W, 79, 0x0000000000000020
2026/09/25 09:59:43.703, P0, 1785 MHz, 61.92 W, 79, 0x0000000000000020
2026/09/25 09:59:43.960, P0, 1785 MHz, 61.92 W, 79, 0x0000000000000020
2026/09/25 09:59:44.216, P0, 1867 MHz, 49.92 W, 79, 0x0000000000000020
2026/09/25 09:59:44.467, P0, 1867 MHz, 49.92 W, 79, 0x0000000000000020
2026/09/25 09:59:44.723, P0, 1642 MHz, 52.81 W, 80, 0x0000000000000020
2026/09/25 09:59:44.981, P0, 1650 MHz, 53.48 W, 80, 0x0000000000000020
2026/09/25 09:59:45.237, P0, 1650 MHz, 53.48 W, 80, 0x0000000000000020
2026/09/25 09:59:45.494, P0, 1620 MHz, 53.12 W, 80, 0x0000000000000020
2026/09/25 09:59:45.750, P0, 1620 MHz, 53.12 W, 80, 0x0000000000000020
2026/09/25 09:59:46.001, P0, 1612 MHz, 52.58 W, 80, 0x0000000000000020
2026/09/25 09:59:46.260, P0, 1612 MHz, 52.58 W, 80, 0x0000000000000020
2026/09/25 09:59:46.518, P0, 1597 MHz, 54.41 W, 79, 0x0000000000000020
2026/09/25 09:59:46.774, P0, 1597 MHz, 54.41 W, 79, 0x0000000000000020
2026/09/25 09:59:47.026, P0, 1627 MHz, 55.74 W, 80, 0x0000000000000020
2026/09/25 09:59:47.281, P0, 1627 MHz, 55.74 W, 80, 0x0000000000000020
2026/09/25 09:59:47.537, P0, 1612 MHz, 54.28 W, 80, 0x0000000000000020
2026/09/25 09:59:47.797, P0, 1612 MHz, 54.28 W, 80, 0x0000000000000020
2026/09/25 09:59:48.055, P0, 1612 MHz, 54.32 W, 80, 0x0000000000000020
2026/09/25 09:59:48.310, P0, 1612 MHz, 54.32 W, 80, 0x0000000000000020
2026/09/25 09:59:48.567, P0, 1620 MHz, 53.53 W, 80, 0x0000000000000020
2026/09/25 09:59:48.824, P0, 1620 MHz, 53.53 W, 80, 0x0000000000000020
2026/09/25 09:59:49.080, P0, 1635 MHz, 53.71 W, 80, 0x0000000000000020
2026/09/25 09:59:49.335, P0, 1635 MHz, 53.71 W, 80, 0x0000000000000020
2026/09/25 09:59:49.592, P0, 1710 MHz, 53.93 W, 80, 0x0000000000000020
2026/09/25 09:59:49.848, P0, 1710 MHz, 53.93 W, 80, 0x0000000000000020
2026/09/25 09:59:50.106, P0, 1710 MHz, 53.69 W, 80, 0x0000000000000020
2026/09/25 09:59:50.367, P0, 1710 MHz, 53.69 W, 80, 0x0000000000000020
2026/09/25 09:59:50.619, P0, 1650 MHz, 54.37 W, 80, 0x0000000000000020
2026/09/25 09:59:50.870, P0, 1650 MHz, 54.37 W, 80, 0x0000000000000020
2026/09/25 09:59:51.124, P0, 1650 MHz, 54.40 W, 80, 0x0000000000000020
2026/09/25 09:59:51.382, P0, 1650 MHz, 54.40 W, 80, 0x0000000000000020
2026/09/25 09:59:51.640, P0, 1650 MHz, 53.88 W, 80, 0x0000000000000020
2026/09/25 09:59:51.895, P0, 1650 MHz, 53.88 W, 80, 0x0000000000000020
2026/09/25 09:59:52.154, P0, 1777 MHz, 53.38 W, 80, 0x0000000000000020
2026/09/25 09:59:52.411, P0, 1777 MHz, 53.38 W, 80, 0x0000000000000020
2026/09/25 09:59:52.669, P0, 1635 MHz, 58.59 W, 80, 0x0000000000000020
