timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 10:09:23.647, P0, 2010 MHz, 36.71 W, 77, 0x0000000000000400
2026/09/25 10:09:23.900, P0, 2010 MHz, 36.71 W, 77, 0x0000000000000400
2026/09/25 10:09:24.155, [Unknown Error], 1740 MHz, 20.79 W, 72, 0x0000000000000001
2026/09/25 10:09:25.204, P0, 1740 MHz, 19.90 W, 74, 0x0000000000000001
2026/09/25 10:09:25.458, P0, 1740 MHz, 19.90 W, 74, 0x0000000000000001
2026/09/25 10:09:25.709, P0, 1740 MHz, 19.20 W, 74, 0x0000000000000001
2026/09/25 10:09:25.960, P0, 1740 MHz, 19.20 W, 74, 0x0000000000000001
2026/09/25 10:09:26.211, P0, 1740 MHz, 23.89 W, 75, 0x0000000000000001
2026/09/25 10:09:26.475, P0, 1740 MHz, 23.89 W, 75, 0x0000000000000001
2026/09/25 10:09:26.739, P0, 1740 MHz, 23.77 W, 75, 0x0000000000000001
2026/09/25 10:09:26.989, P0, 1740 MHz, 23.62 W, 75, 0x0000000000000001
2026/09/25 10:09:27.243, P0, 1740 MHz, 23.62 W, 75, 0x0000000000000001
2026/09/25 10:09:27.495, P0, 1740 MHz, 26.16 W, 75, 0x0000000000000001
2026/09/25 10:09:27.745, P0, 1740 MHz, 26.16 W, 75, 0x0000000000000001
2026/09/25 10:09:27.998, P0, 2025 MHz, 36.19 W, 77, 0x0000000000000400
2026/09/25 10:09:28.250, P0, 2025 MHz, 36.19 W, 77, 0x0000000000000400
2026/09/25 10:09:28.500, P0, 2025 MHz, 34.08 W, 77, 0x0000000000000400
2026/09/25 10:09:28.764, P0, 2025 MHz, 34.08 W, 77, 0x0000000000000400
2026/09/25 10:09:29.017, P0, 2025 MHz, 33.12 W, 76, 0x0000000000000400
2026/09/25 10:09:29.268, P0, 2025 MHz, 33.12 W, 76, 0x0000000000000400
2026/09/25 10:09:29.533, P0, 2025 MHz, 33.37 W, 77, 0x0000000000000400
2026/09/25 10:09:29.785, P0, 2025 MHz, 33.37 W, 77, 0x0000000000000400
2026/09/25 10:09:30.036, P0, 1740 MHz, 33.20 W, 76, 0x0000000000000001
2026/09/25 10:09:30.287, P0, 1740 MHz, 33.20 W, 76, 0x0000000000000001
2026/09/25 10:09:30.539, P0, 1740 MHz, 28.72 W, 75, 0x0000000000000001
2026/09/25 10:09:30.792, P0, 1740 MHz, 28.72 W, 75, 0x0000000000000001
2026/09/25 10:09:31.057, P0, 1740 MHz, 23.88 W, 75, 0x0000000000000001
2026/09/25 10:09:31.322, P0, 1740 MHz, 23.88 W, 75, 0x0000000000000001
2026/09/25 10:09:31.573, P0, 1740 MHz, 23.71 W, 75, 0x0000000000000001
2026/09/25 10:09:31.835, P0, 1740 MHz, 23.71 W, 75, 0x0000000000000001
2026/09/25 10:09:32.100, P0, 1740 MHz, 23.36 W, 75, 0x0000000000000001
2026/09/25 10:09:32.352, P0, 1740 MHz, 23.36 W, 75, 0x0000000000000001
2026/09/25 10:09:32.617, P0, 1740 MHz, 23.14 W, 75, 0x0000000000000001
2026/09/25 10:09:32.867, P0, 1740 MHz, 23.14 W, 75, 0x0000000000000001
2026/09/25 10:09:33.133, P0, 1740 MHz, 23.57 W, 75, 0x0000000000000001
2026/09/25 10:09:33.398, P0, 1740 MHz, 23.57 W, 75, 0x0000000000000001
2026/09/25 10:09:33.662, P0, 1740 MHz, 23.42 W, 74, 0x0000000000000001
2026/09/25 10:09:33.914, P0, 1740 MHz, 23.42 W, 74, 0x0000000000000001
2026/09/25 10:09:34.164, P0, 1740 MHz, 23.10 W, 74, 0x0000000000000001
2026/09/25 10:09:34.427, P0, 1740 MHz, 23.10 W, 74, 0x0000000000000001
2026/09/25 10:09:34.677, P0, 1740 MHz, 23.52 W, 74, 0x0000000000000001
2026/09/25 10:09:34.942, P0, 1740 MHz, 23.52 W, 74, 0x0000000000000001
2026/09/25 10:09:35.208, P0, 1740 MHz, 23.60 W, 74, 0x0000000000000001
2026/09/25 10:09:35.473, P0, 1740 MHz, 23.60 W, 74, 0x0000000000000001
2026/09/25 10:09:35.723, P0, 1740 MHz, 23.59 W, 74, 0x0000000000000001
2026/09/25 10:09:35.987, P0, 1740 MHz, 23.59 W, 74, 0x0000000000000001
2026/09/25 10:09:36.252, P0, 1740 MHz, 23.65 W, 74, 0x0000000000000001
2026/09/25 10:09:36.503, P0, 1740 MHz, 23.29 W, 74, 0x0000000000000001
2026/09/25 10:09:36.753, P0, 1740 MHz, 23.29 W, 74, 0x0000000000000001
2026/09/25 10:09:37.004, P0, 1740 MHz, 22.83 W, 74, 0x0000000000000001
2026/09/25 10:09:37.256, P0, 1740 MHz, 22.83 W, 74, 0x0000000000000001
2026/09/25 10:09:37.507, P0, 1740 MHz, 23.31 W, 74, 0x0000000000000001
2026/09/25 10:09:37.757, P0, 1740 MHz, 23.31 W, 74, 0x0000000000000001
2026/09/25 10:09:38.023, P0, 1740 MHz, 23.35 W, 74, 0x0000000000000001
2026/09/25 10:09:38.286, P0, 1740 MHz, 23.35 W, 74, 0x0000000000000001
2026/09/25 10:09:38.550, P0, 1740 MHz, 22.99 W, 74, 0x0000000000000001
2026/09/25 10:09:38.802, P0, 1740 MHz, 22.99 W, 74, 0x0000000000000001
2026/09/25 10:09:39.067, P0, 1740 MHz, 23.20 W, 74, 0x0000000000000001
2026/09/25 10:09:39.319, P0, 1740 MHz, 23.20 W, 74, 0x0000000000000001
2026/09/25 10:09:39.571, P0, 1740 MHz, 23.59 W, 74, 0x0000000000000001
2026/09/25 10:09:39.834, P0, 1740 MHz, 23.59 W, 74, 0x0000000000000001
2026/09/25 10:09:40.097, P0, 1740 MHz, 23.54 W, 74, 0x0000000000000001
2026/09/25 10:09:40.348, P0, 1740 MHz, 23.54 W, 74, 0x0000000000000001
2026/09/25 10:09:40.599, P0, 1740 MHz, 23.75 W, 74, 0x0000000000000001
2026/09/25 10:09:40.851, P0, 1740 MHz, 23.75 W, 74, 0x0000000000000001
2026/09/25 10:09:41.116, P0, 1740 MHz, 22.70 W, 74, 0x0000000000000001
2026/09/25 10:09:41.379, P0, 1740 MHz, 22.70 W, 74, 0x0000000000000001
2026/09/25 10:09:41.630, P0, 1740 MHz, 22.76 W, 74, 0x0000000000000001
2026/09/25 10:09:41.880, P0, 1740 MHz, 22.76 W, 74, 0x0000000000000001
2026/09/25 10:09:42.133, P0, 1740 MHz, 23.50 W, 74, 0x0000000000000001
2026/09/25 10:09:42.385, P0, 1740 MHz, 23.50 W, 74, 0x0000000000000001
2026/09/25 10:09:42.637, P0, 1740 MHz, 23.27 W, 74, 0x0000000000000001
2026/09/25 10:09:42.888, P0, 1740 MHz, 23.27 W, 74, 0x0000000000000001
2026/09/25 10:09:43.153, P0, 1740 MHz, 22.88 W, 74, 0x0000000000000001
2026/09/25 10:09:43.419, P0, 1740 MHz, 22.88 W, 74, 0x0000000000000001
2026/09/25 10:09:43.669, P0, 1740 MHz, 23.21 W, 73, 0x0000000000000001
2026/09/25 10:09:43.921, P0, 1740 MHz, 23.21 W, 73, 0x0000000000000001
2026/09/25 10:09:44.174, P0, 1740 MHz, 23.75 W, 74, 0x0000000000000001
2026/09/25 10:09:44.425, P0, 1740 MHz, 23.75 W, 74, 0x0000000000000001
2026/09/25 10:09:44.677, P0, 1740 MHz, 23.47 W, 74, 0x0000000000000001
2026/09/25 10:09:44.927, P0, 1740 MHz, 23.47 W, 74, 0x0000000000000001
2026/09/25 10:09:45.193, P0, 1740 MHz, 23.37 W, 73, 0x0000000000000001
2026/09/25 10:09:45.445, P0, 1740 MHz, 23.37 W, 73, 0x0000000000000001
2026/09/25 10:09:45.695, P0, 1740 MHz, 22.78 W, 73, 0x0000000000000001
2026/09/25 10:09:45.946, P0, 1740 MHz, 22.78 W, 73, 0x0000000000000001
2026/09/25 10:09:46.208, P0, 1740 MHz, 22.70 W, 73, 0x0000000000000001
2026/09/25 10:09:46.470, P0, 1740 MHz, 22.70 W, 73, 0x0000000000000001
2026/09/25 10:09:46.733, P0, 1740 MHz, 23.17 W, 73, 0x0000000000000001
2026/09/25 10:09:46.997, P0, 1740 MHz, 23.24 W, 73, 0x0000000000000001
2026/09/25 10:09:47.262, P0, 1740 MHz, 23.24 W, 73, 0x0000000000000001
2026/09/25 10:09:47.514, P0, 1740 MHz, 22.80 W, 73, 0x0000000000000001
2026/09/25 10:09:47.779, P0, 1740 MHz, 22.80 W, 73, 0x0000000000000001
2026/09/25 10:09:48.029, P0, 1740 MHz, 22.92 W, 73, 0x0000000000000001
2026/09/25 10:09:48.292, P0, 1740 MHz, 22.92 W, 73, 0x0000000000000001
2026/09/25 10:09:48.542, P0, 1740 MHz, 23.45 W, 73, 0x0000000000000001
2026/09/25 10:09:48.807, P0, 1740 MHz, 23.45 W, 73, 0x0000000000000001
2026/09/25 10:09:49.071, P0, 1740 MHz, 23.43 W, 73, 0x0000000000000001
2026/09/25 10:09:49.323, P0, 1740 MHz, 23.43 W, 73, 0x0000000000000001
2026/09/25 10:09:49.588, P0, 1740 MHz, 23.52 W, 73, 0x0000000000000001
2026/09/25 10:09:49.838, P0, 1740 MHz, 23.52 W, 73, 0x0000000000000001
2026/09/25 10:09:50.092, P0, 1740 MHz, 23.35 W, 73, 0x0000000000000001
2026/09/25 10:09:50.343, P0, 1740 MHz, 23.35 W, 73, 0x0000000000000001
2026/09/25 10:09:50.595, P0, 1740 MHz, 22.90 W, 73, 0x0000000000000001
2026/09/25 10:09:50.860, P0, 1740 MHz, 22.90 W, 73, 0x0000000000000001
2026/09/25 10:09:51.125, P0, 1740 MHz, 22.95 W, 73, 0x0000000000000001
2026/09/25 10:09:51.375, P0, 1740 MHz, 22.95 W, 73, 0x0000000000000001
2026/09/25 10:09:51.629, P0, 1740 MHz, 23.28 W, 73, 0x0000000000000001
2026/09/25 10:09:51.894, P0, 1740 MHz, 23.28 W, 73, 0x0000000000000001
2026/09/25 10:09:52.146, P0, 1740 MHz, 22.95 W, 73, 0x0000000000000001
2026/09/25 10:09:52.412, P0, 1740 MHz, 22.95 W, 73, 0x0000000000000001
2026/09/25 10:09:52.676, P0, 1740 MHz, 22.86 W, 73, 0x0000000000000001
2026/09/25 10:09:52.940, P0, 1740 MHz, 22.86 W, 73, 0x0000000000000001
2026/09/25 10:09:53.205, P0, 1740 MHz, 23.36 W, 73, 0x0000000000000001
2026/09/25 10:09:53.469, P0, 1740 MHz, 23.36 
