# start_unix_ms 1790323245679
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0140,0.0703,0.3822,18.6776,0.0000,0.0000,0.0000
1,18.779,18.7789,0.0000,0.0171,0.2022,0.0751,0.4185,0.0000,0.0000,0.0000
2,19.235,0.4562,0.0000,13.9287,0.0503,0.4889,14.6007,0.2791,0.2007,0.0000
3,33.897,14.6624,0.0000,6.9695,0.0393,0.0827,7.1992,0.5926,0.2007,0.0000
4,41.149,7.2520,0.0000,7.6765,0.0530,0.1087,8.0621,0.2723,0.2017,0.0000
5,49.288,8.1380,0.0000,7.2911,0.0474,0.1429,7.6235,0.2740,0.2120,0.0000
6,56.989,7.7011,0.0000,7.4154,0.0421,0.0891,7.6575,0.2745,0.1976,0.0000
7,64.696,7.7072,0.0000,7.4634,0.0541,0.1005,7.8099,0.2742,0.1987,0.0000
8,72.553,7.8574,0.0000,7.4515,0.0473,0.1053,7.7299,0.2734,0.1987,0.0000
9,80.344,7.7904,0.0000,6.5587,0.0530,0.1034,6.8541,0.2732,0.1987,0.0000
10,87.269,6.9253,0.0000,6.5648,0.0489,0.0806,6.8281,0.2724,0.1956,0.0000
11,94.160,6.8915,0.0000,6.6481,0.0353,0.0957,6.8863,0.2762,0.1987,0.0000
12,101.102,6.9420,0.0000,6.6069,0.0394,0.0887,6.8468,0.2760,0.1966,0.0000
13,108.033,6.9308,0.0000,6.6055,0.0294,0.0760,6.8145,0.2757,0.1956,0.0000
14,114.897,6.8639,0.0000,6.6816,0.0306,0.0708,6.8877,0.2750,0.1956,0.0000
15,121.836,6.9387,0.0000,6.6754,0.0341,0.0705,6.8888,0.2758,0.1956,0.0000
16,128.774,6.9377,0.0000,6.6479,0.0292,0.0615,6.8432,0.2759,0.1946,0.0000
17,135.666,6.8922,0.0000,6.1853,0.0301,0.0638,6.3860,0.2439,0.1976,0.0000
18,142.099,6.4334,0.0000,6.1649,0.0299,0.0653,6.3643,0.2439,0.2058,0.0000
19,148.513,6.4143,0.0000,6.0394,0.0324,0.1394,6.3947,0.2444,0.1946,0.0000
20,154.962,6.4489,0.0000,5.7472,0.0270,0.6418,6.5155,0.2460,0.1946,0.0000
21,161.524,6.5613,0.0000,5.6190,0.0323,0.0574,5.8235,0.5369,0.1956,0.0000
22,167.381,5.8571,0.0000,6.1203,0.0237,0.3418,6.5778,0.2435,0.1946,0.0000
23,173.997,6.6165,0.0000,8.1454,0.0317,0.1826,8.5272,0.2447,0.2089,0.0000
24,182.583,8.5854,0.0000,5.3060,0.0315,0.0720,5.5734,0.2456,0.1946,0.0000
25,188.198,5.6156,0.0000,6.1170,0.0266,0.0616,6.3108,0.2429,0.1946,0.0000
26,194.549,6.3509,0.0000,6.2309,0.0340,0.0738,6.4487,0.2427,0.1946,0.0000
27,201.080,6.5310,0.0000,10.2425,0.0496,0.2470,10.7269,0.2439,0.2079,0.0000
28,211.890,10.8098,0.0000,5.7184,0.0357,0.0883,6.0144,0.2436,0.1946,0.0000
29,217.960,6.0698,0.0000,6.1676,0.0305,0.1187,6.4424,0.2455,0.2099,0.0000
30,224.444,6.4847,0.0000,5.6990,0.0254,0.0672,5.9064,0.2549,0.1946,0.0000
31,230.389,5.9445,0.0000,7.8139,0.0476,0.1306,8.1628,0.2414,0.2079,0.0000
32,238.668,8.2787,0.0000,5.0643,0.0275,0.4392,5.6549,0.2429,0.1946,0.0000
33,244.371,5.7036,0.0000,14.3035,0.0432,0.0792,14.5739,0.2431,0.2079,0.0000
34,259.026,14.6547,0.0000,5.6733,0.0261,0.0684,5.9419,0.2458,0.1935,0.0000
35,265.028,6.0020,0.0000,7.2695,0.0511,0.1054,7.6018,0.2435,0.2079,0.0000
36,272.694,7.6664,0.0000,5.6529,0.0239,0.1123,5.9113,0.2443,0.1935,0.0000
37,278.649,5.9544,0.0000,7.2305,0.0462,0.0810,7.4914,0.2430,0.2079,0.0000
38,286.194,7.5456,0.0000,5.8065,0.0300,0.0761,6.0323,0.2481,0.1946,0.0000
39,292.274,6.0802,0.0000,7.8181,0.0808,0.1198,8.1612,0.2461,0.2079,0.0000
40,300.488,8.2136,0.0000,5.6346,0.0234,0.1988,5.9760,0.2473,0.1946,0.0000
41,306.509,6.0208,0.0000,7.5074,0.0328,0.0784,7.7624,0.2421,0.2079,0.0000
42,314.323,7.8145,0.0000,5.7658,0.0307,0.0607,5.9655,0.2431,0.1935,0.0000
43,320.325,6.0020,0.0000,12.5513,0.0368,0.0907,12.8307,0.2420,0.2079,0.0000
44,333.220,12.8949,0.0000,1.3129,0.0232,0.6253,2.0760,0.2439,0.1935,0.0000
45,335.360,2.1400,0.0000,6.5575,0.0387,0.2498,7.0042,0.2439,0.2079,0.0000
46,342.426,7.0661,0.0000,5.5093,0.0369,0.0989,5.8321,0.2452,0.1935,0.0000
47,348.327,5.9007,0.0000,7.6735,0.0708,0.1268,8.0269,0.2441,0.2079,0.0000
48,356.431,8.1037,0.0000,5.9177,0.0315,0.0804,6.2112,0.2426,0.4874,0.0000
49,362.691,6.2599,0.0000,7.0552,0.0328,0.1070,7.4688,0.2446,0.2068,0.0000
50,370.216,7.5253,0.0000,5.5951,0.0273,0.0656,5.8129,0.2455,0.1935,0.0000
51,376.067,5.8509,0.0000,8.2992,0.0406,0.0851,8.6169,0.2442,0.2068,0.0000
52,384.752,8.6846,0.0000,5.6274,0.0398,0.0966,5.9106,0.2572,0.1935,0.0000
53,390.738,5.9869,0.0000,7.9198,0.0381,0.0781,8.2198,0.2525,0.2079,0.0000
54,399.015,8.2770,0.0000,5.8816,0.0276,0.2215,6.2550,0.2547,0.1935,0.0000
55,405.318,6.3025,0.0000,7.2097,0.0366,0.0747,7.5411,0.5564,0.2079,0.0000
56,412.911,7.5931,0.0000,5.8927,0.0271,0.2334,6.2766,0.2564,0.1935,0.0000
57,419.237,6.3257,0.0000,6.9807,0.0345,0.0695,7.2580,0.5569,0.2068,0.0000
58,426.542,7.3054,0.0000,5.8809,0.0554,0.0719,6.1441,0.2562,0.1935,0.0000
59,432.732,6.1900,0.0000,7.4416,0.0386,0.0776,7.7876,0.2556,0.2068,0.0000
60,440.573,7.8410,0.0000,5.6467,0.0366,0.0831,5.8991,0.2542,0.1946,0.0000
61,446.593,6.0200,0.0000,7.5755,0.0463,0.1386,7.9387,0.2524,0.2068,0.0000
62,454.606,8.0125,0.0000,6.0825,0.0295,0.0774,6.3230,0.2559,0.1946,0.0000
63,461.006,6.3999,0.0000,7.0505,0.0377,0.0909,7.3419,0.4694,0.2068,0.0000
64,468.464,7.4583,0.0000,6.3864,0.0338,0.0772,6.6731,0.2579,0.1956,0.0000
65,475.212,6.7482,0.0000,6.4162,0.0375,0.0863,6.6789,0.2528,0.2079,0.0000
66,481.949,6.7374,0.0000,6.0002,0.0432,0.3735,6.6314,0.2530,0.1935,0.0000
67,488.665,6.7155,0.0000,6.4908,0.0683,0.0941,6.9352,0.2525,0.2089,0.0000
68,495.693,7.0281,0.0000,6.2851,0.0477,0.0836,6.5383,0.2531,0.4168,0.0000
69,502.287,6.5939,0.0000,6.1290,0.0857,0.4637,6.8649,0.2549,0.1935,0.0000
70,509.242,6.9554,0.0000,6.4105,0.0549,0.1067,6.7976,0.2519,0.2089,0.0000
71,516.157,6.9142,0.0000,5.7698,0.0332,0.0850,6.0329,0.2528,0.1935,0.0000
72,522.243,6.0863,0.0000,6.5404,0.0330,0.0775,6.7831,0.5600,0.1946,0.0000
73,529.079,6.8364,0.0000,6.4552,0.0282,0.1847,6.7954,0.2524,0.1935,0.0000
74,535.926,6.8471,0.0000,6.4250,0.0569,0.4907,7.1502,0.5676,0.1946,0.0000
75,543.144,7.2181,0.0000,6.0157,0.0281,0.0696,6.2477,0.2560,0.1935,0.0000
76,549.437,6.2930,0.0000,6.5378,0.0394,0.0729,6.7720,0.2518,0.1946,0.0000
77,556.279,6.8421,0.0000,6.5515,0.0352,0.0832,6.8323,0.2542,0.1935,0.0000
78,563.248,6.9686,0.0000,6.3268,0.0290,0.0667,6.5561,0.2523,0.1935,0.0000
79,569.846,6.5980,0.0000,6.7379,0.0294,0.0840,6.9692,0.2529,0.1946,0.0000
