# start_unix_ms 1790323028018
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0146,0.0691,0.1593,18.6732,0.0000,0.0000,0.0000
1,18.763,18.7634,0.0000,0.0184,0.2140,0.0614,0.4330,0.0000,0.0000,0.0000
2,19.238,0.4751,0.0000,14.8460,0.0623,0.0807,15.1532,0.2802,0.2007,0.0000
3,34.478,15.2398,0.0000,7.4161,0.0496,0.0844,7.6963,0.6225,0.2017,0.0000
4,42.287,7.8090,0.0000,7.4957,0.0655,0.0570,7.8070,0.2740,0.2017,0.0000
5,50.175,7.8875,0.0000,7.4982,0.0511,0.0683,7.7654,0.2745,0.1987,0.0000
6,58.008,7.8334,0.0000,7.5106,0.0621,0.0719,7.8024,0.2732,0.1987,0.0000
7,65.919,7.9108,0.0000,7.4146,0.0685,0.1440,7.8429,0.2741,0.1987,0.0000
8,73.845,7.9261,0.0000,7.3495,0.0604,0.0885,7.6409,0.2743,0.1976,0.0000
9,81.593,7.7474,0.0000,6.5618,0.0401,0.0652,6.8003,0.2739,0.1976,0.0000
10,88.433,6.8409,0.0000,6.7408,0.0434,0.0439,6.9451,0.2738,0.1976,0.0000
11,95.419,6.9856,0.0000,6.8984,0.0498,0.0766,7.1799,0.2747,0.1987,0.0000
12,102.680,7.2607,0.0000,6.5723,0.0623,0.1512,6.9398,0.2767,0.1966,0.0000
13,109.703,7.0232,0.0000,6.5044,0.0433,0.0514,6.7515,0.2768,0.1966,0.0000
14,116.520,6.8175,0.0000,6.4352,0.0405,0.0468,6.6551,0.2758,0.1956,0.0000
15,123.239,6.7189,0.0000,6.3880,0.0316,0.0402,6.5636,0.2443,0.1946,0.0000
16,129.845,6.6055,0.0000,5.9706,0.0266,0.0326,6.1317,0.2435,0.1956,0.0000
17,136.019,6.1741,0.0000,6.4571,0.0353,0.0397,6.6605,0.2442,0.1946,0.0000
18,142.736,6.7173,0.0000,5.9865,0.0284,0.0330,6.1559,0.2448,0.1946,0.0000
19,148.932,6.1954,0.0000,6.2050,0.0277,0.0533,6.3972,0.5183,0.1946,0.0000
20,155.371,6.4394,0.0000,6.1979,0.0278,0.0407,6.3747,0.2438,0.1946,0.0000
21,161.787,6.4159,0.0000,6.2822,0.0272,0.0381,6.4936,0.2441,0.1946,0.0000
22,168.320,6.5333,0.0000,6.2581,0.0425,0.3923,6.8326,0.2436,0.1946,0.0000
23,175.218,6.8982,0.0000,5.7483,0.0286,0.0412,5.9437,0.2448,0.1956,0.0000
24,181.203,5.9849,0.0000,6.2353,0.0288,0.0410,6.4289,0.5377,0.1946,0.0000
25,187.677,6.4735,0.0000,6.1950,0.0265,0.0600,6.4047,0.2433,0.1946,0.0000
26,194.124,6.4474,0.0000,6.3787,0.0345,0.0470,6.5748,0.2419,0.1946,0.0000
27,200.740,6.6161,0.0000,6.0438,0.0428,0.0485,6.2801,0.2451,0.1946,0.0000
28,207.089,6.3487,0.0000,6.1039,0.0389,0.0449,6.3298,0.2439,0.1946,0.0000
29,213.475,6.3863,0.0000,6.1552,0.0413,0.0457,6.5959,0.5358,0.1946,0.0000
30,220.131,6.6554,0.0000,6.1237,0.0353,0.0505,6.3423,0.2433,0.1946,0.0000
31,226.530,6.3996,0.0000,6.0177,0.0301,0.0426,6.2129,0.2430,0.1946,0.0000
32,232.789,6.2585,0.0000,6.3436,0.0284,0.0409,6.5329,0.2425,0.1935,0.0000
33,239.370,6.5813,0.0000,6.2856,0.0409,0.0520,6.5182,0.2434,0.1946,0.0000
34,245.956,6.5857,0.0000,6.2424,0.0279,0.0408,6.4284,0.2430,0.1946,0.0000
35,252.428,6.4720,0.0000,6.3117,0.0259,0.0430,6.4864,0.2458,0.1946,0.0000
36,258.955,6.5272,0.0000,6.3744,0.0355,0.0443,6.5854,0.2448,0.1956,0.0000
37,265.597,6.6416,0.0000,6.2925,0.0503,0.0495,6.5298,0.5405,0.1935,0.0000
38,272.199,6.6022,0.0000,6.2729,0.0288,0.0392,6.4551,0.5433,0.1946,0.0000
39,278.693,6.4940,0.0000,6.3629,0.0311,0.0391,6.5353,0.2476,0.1946,0.0000
40,285.267,6.5747,0.0000,6.3350,0.0263,0.0352,6.5052,0.2440,0.1946,0.0000
41,291.811,6.5435,0.0000,8.1076,0.0252,0.1103,8.3522,0.2444,0.1946,0.0000
42,300.202,8.3913,0.0000,4.5953,0.0372,0.0371,4.7787,0.2427,0.1946,0.0000
43,305.022,4.8195,0.0000,6.3210,0.0584,0.0407,6.5481,0.2441,0.1946,0.0000
44,311.615,6.5936,0.0000,6.3237,0.0275,0.4061,6.8649,0.2444,0.1946,0.0000
45,318.520,6.9044,0.0000,6.0809,0.0302,0.0412,6.2733,0.2462,0.1956,0.0000
46,324.836,6.3162,0.0000,6.3958,0.0288,0.0396,6.5717,0.2450,0.1946,0.0000
47,331.447,6.6108,0.0000,6.5064,0.0414,0.0469,6.7347,0.2452,0.1935,0.0010
48,338.243,6.7963,0.0000,6.1932,0.0265,0.0412,6.3651,0.2427,0.1946,0.0000
49,344.647,6.4035,0.0000,6.3804,0.0249,0.0372,6.5469,0.2441,0.1935,0.0000
50,351.232,6.5857,0.0000,6.4935,0.0285,0.0384,6.6768,0.2448,0.1946,0.0000
51,357.953,6.7207,0.0000,6.4397,0.0468,0.0523,6.7012,0.2466,0.1956,0.0000
52,364.736,6.7830,0.0000,6.4729,0.0317,0.0419,6.6677,0.2613,0.1946,0.0000
53,371.468,6.7315,0.0000,6.5967,0.0452,0.0592,6.8723,0.2594,0.1935,0.0000
54,378.413,6.9457,0.0000,6.9693,0.0492,0.0582,7.2244,0.2592,0.1946,0.0000
55,385.706,7.2925,0.0000,6.0997,0.0326,0.0451,6.3088,0.2570,0.1946,0.0000
56,392.064,6.3578,0.0000,6.5802,0.0337,0.0405,6.7749,0.5709,0.1946,0.0000
57,398.878,6.8149,0.0000,6.6146,0.0328,0.0465,6.8449,0.2579,0.1946,0.0000
58,405.771,6.8929,0.0000,6.5458,0.0478,0.0548,6.7927,0.2604,0.1946,0.0000
59,412.634,6.8631,0.0000,6.5263,0.0309,0.0450,6.7336,0.2589,0.1946,0.0000
60,419.419,6.7848,0.0000,6.5871,0.0300,0.0430,6.7718,0.2567,0.1946,0.0000
61,426.235,6.8157,0.0000,6.6504,0.0269,0.0531,6.8426,0.5752,0.1935,0.0000
62,433.121,6.8864,0.0000,6.6514,0.0285,0.0603,6.8520,0.5692,0.1935,0.0010
63,440.015,6.8934,0.0000,6.6061,0.0255,0.0394,6.7805,0.2620,0.1946,0.0000
64,446.837,6.8218,0.0000,6.6754,0.0269,0.0391,6.8518,0.2580,0.1935,0.0000
65,453.752,6.9159,0.0000,6.6427,0.0261,0.0402,6.8163,0.2579,0.1946,0.0000
66,460.609,6.8570,0.0000,6.6542,0.0292,0.0403,6.8386,0.2584,0.1935,0.0000
67,467.494,6.8842,0.0000,6.7047,0.0260,0.0398,6.8793,0.5668,0.1935,0.0000
68,474.418,6.9239,0.0000,6.6797,0.0286,0.0412,6.8654,0.2639,0.1935,0.0000
69,481.334,6.9166,0.0000,6.8279,0.0268,0.0400,7.0059,0.2600,0.1935,0.0000
70,488.384,7.0503,0.0000,6.5241,0.0288,0.0387,6.7127,0.2595,0.1935,0.0000
71,495.142,6.7572,0.0000,6.5901,0.0340,0.0452,6.8038,0.2576,0.1946,0.0000
72,502.006,6.8643,0.0000,6.5913,0.0387,0.0512,6.8273,0.5745,0.1946,0.0000
73,508.902,6.8961,0.0000,6.6000,0.0238,0.0378,6.7626,0.2564,0.1935,0.0000
74,515.702,6.7997,0.0000,6.7223,0.0398,0.0504,6.9489,0.2578,0.1946,0.0000
75,522.710,7.0084,0.0000,6.6694,0.0369,0.0517,6.9024,0.2586,0.1946,0.0000
76,529.671,6.9608,0.0000,6.6316,0.0333,0.0473,6.8449,0.5715,0.1946,0.0000
77,536.563,6.8925,0.0000,6.6293,0.0349,0.0512,6.8537,0.2573,0.1946,0.0000
78,543.473,6.9099,0.0000,6.5432,0.0380,0.0527,6.7794,0.2548,0.1946,0.0000
79,550.306,6.8327,0.0000,6.8640,0.0452,0.0578,7.1195,0.2577,0.1946,0.0000
80,557.485,7.1793,0.0000,6.9989,0.0417,0.0562,7.2471,0.6163,0.1946,0.0000
81,564.795,7.3101,0.0000,7.0688,0.0554,0.0593,7.4178,0.2813,0.1935,0.0000
82,572.280,7.4843,0.0000,6.9813,0.0352,0.0494,7.2034,0.2854,0.1946,0.0000
83,579.536,7.2566,0.0000,7.2142,0.0488,0.0707,7.4975,0.2870,0.1946,0.0000
84,587.110,7.5739,0.0000,6.9736,0.0346,0.0487,7.1923,0.2841,0.1935,0.0000
85,594.353,7.2432,0.0000,7.0751,0.0322,0.0461,7.2833,0.2841,0.1946,0.0000
86,601.734,7.3804,0.0000,6.0929,0.0460,0.7345,8.0089,0.2840,0.1946,0.0000
87,609.917,8.1830,0.0000,6.2579,0.0373,0.0965,6.5323,0.2866,0.1946,0.0000
88,616.530,6.6130,0.0000,7.0345,0.0372,0.0500,7.2611,0.6290,0.1946,0.0000
89,623.844,7.3144,0.0000,7.2216,0.0342,0.0502,7.4785,0.2842,0.1946,0.0000
90,631.380,7.5363,0.0000,6.9935,0.0483,0.0555,7.3399,0.2852,0.1946,0.0000
91,638.794,7.4137,0.0000,7.0405,0.0432,0.0549,7.3028,0.6248,0.1946,0.0000
92,646.168,7.3738,0.0000,7.0547,0.0470,0.0557,7.3200,0.2835,0.1946,0.0000
93,653.556,7.3877,0.0000,7.0546,0.0374,0.0506,7.2866,0.2835,0.1946,0.0000
94,660.898,7.3418,0.0000,7.0771,0.0368,0.0499,7.3062,0.6254,0.1946,0.0000
95,668.281,7.3835,0.0000,7.1167,0.0383,0.0527,7.3463,0.2826,0.1935,0.0000
96,675.682,7.4013,0.0000,7.5699,0.0552,0.0646,7.8572,0.2862,0.1946,0.0000
97,683.617,7.9347,0.0000,6.1371,0.0380,0.0546,6.8574,0.2854,0.1956,0.0000
98,690.536,6.9186,0.0000,7.0378,0.0347,0.0512,7.2632,0.2861,0.1946,0.0000
99,697.849,7.3133,0.0000,7.1372,0.0346,0.0527,7.3647,0.2832,0.1946,0.0000
100,705.292,7.4429,0.0000,7.2024,0.0537,0.0730,7.5072,0.6070,0.1946,0.0000
101,712.910,7.6180,0.0000,6.9592,0.0375,0.0529,7.2023,0.2851,0.1946,0.0000
102,720.166,7.2561,0.0000,7.1039,0.0326,0.0497,7.3222,0.2858,0.1946,0.0000
103,727.535,7.3688,0.0000,7.1481,0.0495,0.0722,7.4516,0.6313,0.1946,0.0000
104,735.056,7.5209,0.0000,7.1490,0.0493,0.0602,7.4135,0.2849,0.1946,0.0000
105,742.549,7.4931,0.0000,7.0949,0.0482,0.0660,7.3816,0.2849,0.1946,0.0000
106,750.012,7.4633,0.0000,7.0341,0.0375,0.0503,7.2718,0.6247,0.1946,0.0000
107,757.336,7.3243,0.0000,7.2077,0.0374,0.0534,7.4442,0.2844,0.1946,0.0000
108,764.832,7.4953,0.0000,7.4488,0.0373,0.0527,7.6840,0.3035,0.1946,0.0000
109,772.573,7.7417,0.0000,7.5449,0.0335,0.0475,7.7534,0.2996,0.1946,0.0000
110,780.370,7.7972,0.0000,7.4514,0.0333,0.0495,7.6709,0.3036,0.1946,0.0000
111,788.091,7.7208,0.0000,7.5599,0.0328,0.0470,7.7695,0.3053,0.1946,0.0000
112,795.908,7.8169,0.0000,7.6004,0.0427,0.0495,7.8753,0.3068,0.1956,0.0000
113,803.843,7.9347,0.0000,7.4482,0.1139,0.1064,7.8607,0.3051,0.1956,0.0000
114,811.795,7.9524,0.0000,7.4147,0.0383,0.0563,7.6555,0.3038,0.1946,0.0000
115,819.512,7.7167,0.0000,7.4120,0.0374,0.0518,7.6480,0.3052,0.1946,0.0000
