# start_unix_ms 1790323691666
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0132,0.0635,0.1712,17.6271,0.0000,0.0000,0.0000
1,17.729,17.7288,0.0000,0.0180,0.3175,0.0555,0.5307,0.0000,0.0000,0.0000
2,18.305,0.5766,0.0000,14.1333,0.0743,0.0780,14.4722,0.2820,0.2028,0.0000
3,32.917,14.6115,0.0000,7.1974,0.0639,0.0763,7.5118,0.2766,0.2017,0.0000
4,40.498,7.5810,0.0000,7.4348,0.0618,0.0561,7.7361,0.6218,0.2017,0.0000
5,48.337,7.8386,0.0000,7.2379,0.0567,0.0718,7.5061,0.6061,0.1997,0.0000
6,55.910,7.5734,0.0000,7.5439,0.0421,0.0551,7.7684,0.6016,0.1976,0.0000
7,63.736,7.8265,0.0000,7.2678,0.0486,0.0673,7.5161,0.6001,0.1987,0.0000
8,71.297,7.5611,0.0000,7.4685,0.0469,0.0608,7.6975,0.6052,0.1997,0.0000
9,79.038,7.7409,0.0000,6.5926,0.0400,0.0748,6.8213,0.6018,0.1976,0.0000
10,85.911,6.8729,0.0000,6.5823,0.0413,0.0446,6.7890,0.6056,0.1987,0.0000
11,92.756,6.8450,0.0000,6.6122,0.0573,0.0650,6.8457,0.6005,0.1966,0.0000
12,99.651,6.8945,0.0000,6.5677,0.0344,0.0523,6.7602,0.6016,0.1966,0.0000
13,106.493,6.8423,0.0000,6.8090,0.0260,0.0492,6.9947,0.6057,0.1956,0.0000
14,113.533,7.0396,0.0000,6.4269,0.0267,0.0381,6.5925,0.2763,0.1956,0.0000
15,120.169,6.6361,0.0000,6.8067,0.0322,0.0404,6.9840,0.2748,0.1956,0.0000
16,127.199,7.0307,0.0000,6.2213,0.0349,0.0355,6.4227,0.6078,0.1956,0.0000
17,133.686,6.4862,0.0000,6.0700,0.0328,0.0393,6.2692,0.2440,0.1956,0.0000
18,140.014,6.3288,0.0000,6.1871,0.0267,0.0330,6.3533,0.2458,0.1956,0.0000
19,146.412,6.3978,0.0000,5.9755,0.0283,0.0524,6.1674,0.2442,0.1956,0.0000
