# start_unix_ms 1790323472761
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0160,0.0696,0.2228,17.6639,0.0000,0.0000,0.0000
1,17.877,17.8771,0.0000,0.0199,0.2536,0.0608,0.4804,0.0000,0.0000,0.0000
2,18.403,0.5259,0.0000,13.5029,0.0676,0.0649,13.8186,0.2792,0.1987,0.0000
3,32.309,13.9063,0.0000,7.1637,0.0607,0.0936,7.4829,0.6163,0.2017,0.0000
4,39.910,7.6003,0.0000,7.1773,0.1131,0.0963,7.6701,0.6127,0.2017,0.0000
5,47.704,7.7946,0.0000,6.9580,0.0571,0.0760,7.2355,0.6213,0.1987,0.0000
6,55.003,7.2985,0.0000,7.2000,0.0448,0.0681,7.4326,0.6060,0.1987,0.0000
7,62.484,7.4818,0.0000,7.2777,0.0507,0.0852,7.5428,0.6037,0.1987,0.0000
8,70.086,7.6014,0.0000,7.2933,0.0477,0.0673,7.5355,0.6051,0.1987,0.0000
9,77.684,7.5982,0.0000,6.4095,0.0417,0.0644,6.6403,0.6033,0.1987,0.0000
10,84.372,6.6883,0.0000,6.4276,0.0518,0.0509,6.6579,0.6033,0.1976,0.0000
11,91.087,6.7147,0.0000,6.4028,0.0829,0.1302,6.7961,0.6022,0.1976,0.0000
12,97.945,6.8577,0.0000,6.0341,0.0712,0.0887,6.3536,0.6039,0.1966,0.0000
13,104.402,6.4575,0.0000,5.8010,0.0343,0.0527,6.0099,0.5427,0.1946,0.0000
14,110.475,6.0726,0.0000,5.9902,0.0478,0.0613,6.2576,0.5220,0.1956,0.0000
15,116.813,6.3380,0.0000,5.8627,0.0720,0.0675,6.1549,0.5228,0.1946,0.0000
16,123.072,6.2595,0.0000,5.8341,0.0612,0.0525,6.1185,0.5207,0.1956,0.0000
17,129.298,6.2254,0.0000,5.7555,0.0633,0.0578,6.1513,0.2452,0.1956,0.0000
18,135.552,6.2546,0.0000,5.7817,0.0852,0.0851,6.1064,0.2453,0.1946,0.0000
