# start_unix_ms 1790323544279
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0156,0.0646,0.1348,17.4519,0.0000,0.0000,0.0000
1,17.579,17.5787,0.0000,0.0247,0.2968,0.0657,0.6239,0.0000,0.0000,0.0000
2,18.240,0.6614,0.0000,13.4190,0.0614,0.0702,13.7930,0.2800,0.2007,0.0000
3,32.089,13.8493,0.0000,6.7295,0.0605,0.0772,7.1179,0.6206,0.1997,0.0000
4,39.262,7.1727,0.0000,6.6482,0.0491,0.0489,7.0671,0.6165,0.2017,0.0000
5,46.384,7.1223,0.0000,6.7497,0.0462,0.0694,7.1151,0.6099,0.1997,0.0000
6,53.564,7.1795,0.0000,6.7402,0.0456,0.0709,7.0852,0.6068,0.1997,0.0000
7,60.703,7.1392,0.0000,6.7185,0.0446,0.0674,7.0791,0.6081,0.1987,0.0000
8,67.826,7.1232,0.0000,6.0918,0.0459,0.0780,7.2075,0.6127,0.1987,0.0000
9,75.082,7.2560,0.0000,5.8831,0.0409,0.0697,6.2071,0.6018,0.1976,0.0010
10,81.334,6.2514,0.0000,5.9717,0.0424,0.0363,6.2496,0.6047,0.1987,0.0000
11,87.633,6.2988,0.0000,6.2672,0.0335,0.0596,6.5754,0.6088,0.1987,0.0000
12,94.258,6.6253,0.0000,5.8504,0.0401,0.0812,6.2112,0.6066,0.1966,0.0000
13,100.520,6.2625,0.0000,5.9309,0.0295,0.0403,6.2056,0.6047,0.1956,0.0000
14,106.767,6.2472,0.0000,6.0196,0.0416,0.0504,6.3588,0.6100,0.1966,0.0000
15,113.188,6.4205,0.0000,5.8540,0.0336,0.0478,6.1769,0.6063,0.1966,0.0000
16,119.414,6.2258,0.0000,5.9176,0.0290,0.0359,6.1980,0.5870,0.1966,0.0000
17,125.676,6.2620,0.0000,5.6808,0.0400,0.0391,6.0265,0.6206,0.1946,0.0000
18,131.746,6.0704,0.0000,5.6958,0.0312,0.0342,5.9604,0.5294,0.1956,0.0000
19,137.757,6.0111,0.0000,5.2106,0.0283,0.0559,5.5136,0.2407,0.1946,0.0000
20,143.308,5.5507,0.0000,5.4881,0.0375,0.0408,5.7794,0.5272,0.1956,0.0000
21,149.151,5.8432,0.0000,5.4519,0.0325,0.0536,5.7537,0.5315,0.1956,0.0000
22,154.949,5.7977,0.0000,5.4869,0.0280,0.4762,6.2092,0.2402,0.1956,0.0000
23,161.201,6.2524,0.0000,5.0592,0.0292,0.0465,5.3501,0.2418,0.1966,0.0000
24,166.596,5.3946,0.0000,5.3911,0.0245,0.0354,5.7079,0.2406,0.1946,0.0000
25,172.339,5.7426,0.0000,5.4921,0.0299,0.0426,5.7634,0.2445,0.1946,0.0000
26,178.143,5.8040,0.0000,5.4183,0.0372,0.0451,5.7170,0.2404,0.1946,0.0000
27,183.917,5.7749,0.0000,5.5878,0.0284,0.0386,5.8525,0.2394,0.1956,0.0000
28,189.812,5.8943,0.0000,5.3790,0.0288,0.0381,5.6463,0.2411,0.1946,0.0000
29,195.500,5.6883,0.0000,5.4378,0.0260,0.1462,5.8088,0.2427,0.1946,0.0000
30,201.351,5.8509,0.0000,5.5129,0.0281,0.0388,5.7919,0.2394,0.1956,0.0000
31,207.180,5.8289,0.0000,5.3947,0.0317,0.0583,5.6998,0.2397,0.1956,0.0000
32,212.924,5.7440,0.0000,5.4536,0.0297,0.0427,5.7340,0.2424,0.1946,0.0000
33,218.716,5.7924,0.0000,5.5555,0.0287,0.0427,5.8268,0.2432,0.1946,0.0000
34,224.587,5.8705,0.0000,5.4960,0.0324,0.0438,5.8591,0.2432,0.1946,0.0000
35,230.514,5.9271,0.0000,5.5214,0.0282,0.0415,5.8209,0.5368,0.1946,0.0000
