# start_unix_ms 1790245326159
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms,gpu_ray_ms
0,0.000,0.0000,0.0000,0.0205,0.0750,0.1333,9.0325,0.0000,0.0000,0.0000
1,9.145,9.1454,0.0000,0.0205,0.2740,0.1233,0.6849,0.0000,0.0000,0.0000
2,9.899,0.7532,0.0000,2.5319,0.0421,0.0553,2.7424,0.2938,0.2888,0.9810
3,12.686,2.7870,0.0000,1.8562,0.0387,0.0399,2.0158,0.6084,0.2929,1.1796
4,14.754,2.0685,0.0000,1.3852,4.8779,0.1124,6.5390,0.2965,0.2918,0.9871
5,21.369,6.6147,0.0000,0.0301,1.8070,0.0874,2.0864,0.2925,0.3103,0.9830
6,23.514,2.1455,0.0000,0.0264,0.1612,1.5266,1.8113,0.2923,0.2877,1.2861
7,25.379,1.8643,0.0000,0.0306,4.8037,3.2654,8.2264,0.2912,0.5274,1.7910
8,33.796,8.4171,0.0000,0.0418,0.0800,0.0819,0.3454,0.2908,0.2877,0.9892
9,34.210,0.4142,0.0000,0.0240,0.0463,0.0683,0.2283,0.2920,0.3072,0.9994
10,34.527,0.3168,0.0000,1.2838,0.0522,0.0497,1.5566,0.2931,0.2888,0.9953
11,36.127,1.6003,0.0000,1.7934,0.0271,0.0302,1.9213,0.6106,0.2888,1.1991
12,38.084,1.9565,0.0000,1.4103,5.8150,0.0474,7.3460,0.2893,0.2877,1.0004
13,45.532,7.4488,0.0000,0.0159,1.7480,0.0670,1.9064,0.2913,0.2867,1.0025
14,47.494,1.9613,0.0000,0.0235,18.0285,0.2255,18.4001,0.2919,0.2867,1.0086
15,65.987,18.4929,0.0000,0.0399,0.8847,0.0657,1.1204,0.2930,0.2867,1.5053
16,67.161,1.1747,0.0000,0.0234,5.5486,0.0832,5.7463,0.2923,0.3072,1.0127
17,73.217,6.0557,0.0000,0.0574,0.7532,0.0523,0.9867,0.2943,0.2877,1.2145
18,74.254,1.0373,0.0000,0.0205,5.5417,0.0803,5.7375,0.2942,0.3062,1.0209
19,80.073,5.8188,0.0000,0.0311,1.3293,0.0664,1.5388,0.2952,0.2877,1.2237
20,81.669,1.5957,0.0000,0.0240,4.5541,0.0671,4.7457,0.2965,0.3072,1.0250
21,86.468,4.7995,0.0000,0.0246,1.0913,0.0992,1.3228,0.6112,0.2877,1.2268
22,87.846,1.3773,0.0000,0.0247,5.5452,0.6948,6.3669,0.2981,0.3052,1.0312
23,94.278,6.4329,0.0000,0.0306,0.0506,0.0586,0.2513,0.3000,0.2867,1.2349
24,94.575,0.2965,0.0000,0.0238,5.5764,0.1032,5.8075,0.2996,0.3072,1.0373
25,100.484,5.9091,0.0000,0.0331,1.0978,0.0693,1.3220,0.3031,0.2867,1.0383
26,101.861,1.3765,0.0000,0.0223,5.9581,0.1704,6.2747,0.3014,0.3062,1.0414
27,108.486,6.6257,0.0000,0.0514,0.1340,0.0693,0.5567,0.3035,0.2877,1.2442
28,109.105,0.6186,0.0000,0.0248,5.3916,0.1020,5.6219,0.3035,0.3062,1.0455
29,114.796,5.6914,0.0000,0.0295,1.0321,0.0697,1.2478,0.3036,0.2867,1.0476
30,116.098,1.3021,0.0000,0.0241,5.2269,0.1165,5.4904,0.3051,0.3082,1.0506
31,121.648,5.5493,0.0000,0.0278,1.1122,0.0654,1.3134,0.3048,0.2867,1.2524
32,123.016,1.3686,0.0000,0.0243,5.0256,0.1002,5.2796,0.3061,0.3062,1.0547
33,128.366,5.3495,0.0000,0.0313,1.0935,0.0816,1.3381,0.3080,0.2867,1.2575
34,129.771,1.4055,0.0000,0.0283,5.0333,0.0932,5.2712,0.3073,0.3062,1.0588
35,135.097,5.3260,0.0000,0.0242,1.0959,0.0678,1.3233,0.3088,0.2867,1.2646
36,136.481,1.3834,0.0000,0.0227,5.3986,0.0926,5.6250,0.3094,0.3062,1.0650
37,142.168,5.6875,0.0000,0.0287,1.1463,0.0643,1.3592,0.3108,0.2857,1.2687
38,143.581,1.4129,0.0000,0.0231,5.4311,0.0912,5.6525,0.3110,0.3062,1.0721
39,149.293,5.7116,0.0000,0.0258,1.2505,0.0896,1.4798,0.3111,0.2867,1.2739
40,150.830,1.5375,0.0000,0.0244,5.4476,0.1056,5.6799,0.3117,0.3062,1.0783
41,156.580,5.7498,0.0000,0.0283,0.4754,0.0792,0.7006,0.3155,0.2867,1.2790
42,157.338,0.7577,0.0000,0.0261,5.6527,0.1498,5.9852,0.3139,0.3062,1.0834
43,163.471,6.1337,0.0000,0.0500,1.4381,0.1185,1.8787,0.3148,0.2857,1.0865
44,165.475,2.0034,0.0000,0.0432,4.4062,0.8727,5.5381,0.3163,0.3021,1.0895
45,171.138,5.6637,0.0000,0.0657,0.0673,0.0800,0.3940,0.3158,0.2857,1.5882
46,171.593,0.4542,0.0000,0.0282,5.1517,0.1912,5.5130,0.3166,0.2939,1.0947
47,177.332,5.7392,0.0000,0.0540,0.7559,0.0949,1.0888,0.3192,0.2867,1.0977
48,178.525,1.1932,0.0000,0.0401,5.6041,0.1552,5.9871,0.3184,0.3062,1.0977
49,184.648,6.1235,0.0000,0.0430,0.9589,0.0650,1.2372,0.3190,0.2867,1.2995
50,185.951,1.3027,0.0000,0.0315,0.0628,0.1304,5.6532,0.3193,0.3072,1.1018
51,191.731,5.7802,0.0000,0.0311,0.8418,0.0869,1.0789,0.3187,0.2959,1.3025
52,192.886,1.1543,0.0000,0.9068,3.6970,0.0983,4.8509,0.3215,0.2867,1.6005
53,197.917,5.0309,0.0000,0.0413,0.8916,0.0685,1.1234,0.3182,0.2857,1.1049
54,199.107,1.1905,0.0000,0.0237,5.4956,0.0974,5.7193,0.3195,0.3072,1.1059
55,204.892,5.7848,0.0000,0.0270,1.0525,0.0582,1.2423,0.3198,0.2867,1.3066
56,206.184,1.2923,0.0000,0.0206,5.4195,0.0727,5.5984,0.3194,0.3062,1.1069
57,211.834,5.6498,0.0000,0.0247,1.1388,0.0568,1.3115,0.3197,0.2867,1.3097
58,213.191,1.3573,0.0000,0.0208,5.1012,0.1125,5.3482,0.3207,0.3062,1.1090
59,218.614,5.4232,0.0000,0.0698,1.0749,0.0649,1.3908,0.3211,0.2867,1.3117
60,220.102,1.4878,0.0000,0.0257,5.1280,0.1703,5.4564,0.3217,0.3062,1.1110
61,225.682,5.5793,0.0000,0.0386,1.5137,0.0770,1.7963,0.3218,0.2857,1.3128
62,227.546,1.8648,0.0000,0.0254,4.9642,0.1241,5.2181,0.3232,0.3062,1.1131
63,232.850,5.3039,0.0000,0.0467,1.0192,0.0603,1.2672,0.3236,0.2867,1.6097
64,234.203,1.3529,0.0000,0.0318,4.8528,0.0890,5.0897,0.3229,0.3062,1.1162
65,239.418,5.2153,0.0000,0.0266,0.9843,0.0882,1.2185,0.3234,0.2867,1.3199
66,240.703,1.2842,0.0000,0.0256,5.5570,0.1338,5.8338,0.3240,0.3072,1.1192
67,246.631,5.9281,0.0000,0.0497,1.0987,0.0717,1.3217,0.3247,0.2867,1.3179
68,248.009,1.3779,0.0000,0.0211,5.4646,0.1938,5.7975,0.3243,0.3072,1.1223
69,254.217,6.2079,0.0000,0.0435,0.1512,0.1106,0.4585,0.3259,0.2867,1.3251
70,254.754,0.5370,0.0000,0.0305,0.0628,0.0860,7.6334,0.3262,0.3041,1.1254
71,262.482,7.7282,0.0000,0.0244,0.0301,0.0526,0.1985,0.3251,0.3615,1.1264
72,262.726,0.2443,0.0000,1.5449,3.2527,0.1286,5.0734,0.3280,0.2857,1.1274
73,267.926,5.1997,0.0000,0.0350,0.2708,0.0692,0.4926,0.3266,0.2877,1.1284
74,268.477,0.5517,0.0000,0.0281,5.4242,0.1145,5.7009,0.3272,0.3052,1.4244
75,274.242,5.7649,0.0000,0.0273,0.9977,0.0618,1.2392,0.3260,0.2867,1.1295
76,275.534,1.2918,0.0000,0.0217,5.1483,0.0954,5.3509,0.3265,0.3072,1.1295
77,280.935,5.4007,0.0000,0.0213,1.0889,0.0582,1.2645,0.3261,0.2867,1.3312
78,282.249,1.3136,0.0000,0.0201,5.4700,0.1075,5.6907,0.3268,0.3062,1.1336
79,288.005,5.7562,0.0000,0.0273,1.0999,0.0589,1.2835,0.3274,0.2877,1.3343
80,289.338,1.3333,0.0000,0.0205,5.3989,0.1032,5.6167,0.3275,0.3072,1.1366
81,295.006,5.6676,0.0000,0.0247,0.9768,0.0519,1.2291,0.3274,0.2877,1.3384
82,296.284,1.2780,0.0000,0.0200,5.2925,0.0881,5.4885,0.3271,0.3082,1.1387
83,301.829,5.5454,0.0000,0.0240,1.3304,0.0786,1.5381,0.3286,0.2857,1.3414
84,303.421,1.5915,0.0000,0.0227,4.9017,0.0908,5.1341,0.3275,0.3082,1.1438
85,308.612,5.1914,0.0000,0.0224,0.8305,0.0499,1.2315,0.6454,0.2877,1.3445
86,309.878,1.2657,0.0000,0.0225,5.4837,0.0952,5.6924,0.3291,0.3062,1.1459
87,315.646,5.7681,0.0000,0.0329,1.3694,0.0792,1.6037,0.3310,0.2877,1.3486
88,317.315,1.6697,0.0000,0.0272,5.2471,0.1381,5.5156,0.3304,0.3062,1.1500
89,322.931,5.6158,0.0000,0.0706,0.9778,0.0563,1.1954,0.6016,0.2867,1.2042
90,324.183,1.2514,0.0000,0.0318,1.4768,0.0613,5.6572,0.2944,0.3062,1.0260
91,330.054,5.8711,0.0000,0.0179,0.0222,0.0333,0.1610,0.2945,0.2867,1.2083
92,330.250,0.1962,0.0000,0.1428,6.0966,0.1790,6.5596,0.2976,0.3082,1.3875
93,337.025,6.7754,0.0000,0.0483,0.0835,0.0515,0.2966,0.2959,0.2867,1.0322
