frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
0,0.0000,0.0242,0.0855,0.9520,10.1250
1,10.1949,0.0318,0.1070,0.7806,1.0532
2,1.1040,0.0225,0.0225,0.6157,0.7556
3,0.7883,0.0139,0.0188,0.0823,0.1896
4,0.2148,0.0109,0.0128,0.1037,0.2046
5,0.2389,0.7254,0.0310,10.2871,11.2421
6,11.3040,9.4244,0.0468,3.2224,12.8174
7,12.8948,18.5781,0.0469,0.4280,19.1847
8,19.2532,13.8336,0.0466,0.2317,14.2647
9,14.3633,18.4624,0.0441,0.2209,18.8589
10,18.9322,6.9033,0.0504,0.2170,7.3084
11,7.4497,6.3905,0.0507,0.1530,6.7425
12,6.8201,6.1017,0.0423,0.2880,6.5644
13,6.6356,7.2302,0.0490,0.2921,7.7143
14,7.8181,6.9097,0.0526,0.1009,7.2243
15,7.2874,5.1651,0.0343,0.2346,5.5563
16,5.6152,6.5998,0.0662,0.0950,6.8960
17,6.9620,6.4391,0.0424,0.1163,6.7275
18,6.7943,7.5797,0.0397,0.1821,7.9320
19,7.9981,6.5771,0.0317,0.2866,7.0255
20,7.1158,7.0209,0.0396,0.1942,7.4441
21,7.5104,5.9967,0.0623,0.0966,6.2978
22,6.3574,6.1968,0.0292,0.1562,6.5038
23,6.5499,6.7713,0.0311,0.1504,7.0674
24,7.1180,6.3711,0.0351,0.1689,6.6932
25,6.7455,5.8066,0.0458,0.1343,6.1008
26,6.1510,8.1291,0.0513,0.0981,8.4318
27,8.4950,6.7680,0.0444,0.1670,7.1394
28,7.2099,5.9978,0.0310,0.1149,6.2637
29,6.3165,6.4062,0.0308,0.1238,6.6764
30,6.7202,7.4362,0.0416,0.0944,7.7415
31,7.8037,5.7902,0.0310,0.1813,6.1451
32,6.1922,6.9482,0.0312,0.0799,7.1679
33,7.2513,6.2119,0.0306,0.1124,6.4691
34,6.5124,5.6322,0.0485,0.0765,5.8565
35,5.8957,7.8758,0.0518,0.1196,8.3195
36,8.3890,6.4211,0.0600,0.0850,6.6939
37,6.7521,6.3768,0.0311,0.1688,6.6935
38,6.7394,6.5283,0.0255,0.2010,6.8733
39,6.9176,5.7083,0.0396,0.0943,5.9489
40,6.0148,7.8866,0.0488,0.1202,8.2353
41,8.3411,5.1923,0.0379,0.2196,5.5918
42,5.6870,7.6446,0.0347,0.0923,7.9399
43,7.9985,5.3872,0.0264,0.1817,5.7298
44,5.7749,6.6860,0.0321,0.1120,6.9592
45,7.0105,6.6997,0.0595,0.0916,6.9855
46,7.0362,6.6115,0.0412,0.1042,6.8718
47,6.9377,6.6267,0.0272,0.1765,6.9526
48,7.0047,6.4231,0.0505,0.1591,6.7666
49,6.8418,6.8146,0.0453,0.1656,7.1579
50,7.2037,6.4093,0.0271,0.2005,6.7428
51,6.8025,6.7339,0.0244,0.0835,6.9493
52,6.9923,6.5648,0.0302,0.1752,6.8774
53,6.9261,6.6451,0.0279,0.1247,6.8992
54,6.9447,6.5774,0.0384,0.1166,6.8320
55,6.8719,6.4592,0.0668,0.1364,6.7616
56,6.8109,6.8752,0.0422,0.2950,7.3438
57,7.4068,6.3620,0.0561,0.0810,6.6425
58,6.6850,6.7001,0.0277,0.0841,6.9330
59,7.0087,6.4466,0.0588,0.2242,6.9040
60,6.9909,6.8868,0.0359,0.1237,7.1822
61,7.2459,6.6056,0.0507,0.0996,6.8937
62,6.9757,6.3721,0.0352,0.2045,6.7563
63,6.8349,6.1993,0.0303,0.2107,6.5389
64,6.5771,6.5896,0.0304,0.1354,6.8693
65,6.9985,6.7263,0.0386,0.2412,7.1353
66,7.2688,6.2091,0.0284,0.1790,6.5168
67,6.6304,6.5541,0.0657,0.1122,6.8755
68,6.9405,7.2223,0.0283,0.2391,7.5930
69,7.6726,5.9515,0.0218,0.0729,6.1416
70,6.1855,6.7210,0.0366,0.2012,7.1029
71,7.1532,6.9710,0.0394,0.1990,7.3265
72,7.4049,5.7246,0.0348,0.1099,6.0086
73,6.1198,6.6228,0.0363,0.0877,6.9274
74,6.9695,6.6150,0.0401,0.0792,6.9031
75,7.0090,6.6512,0.0360,0.0966,6.9253
76,6.9922,6.5151,0.0338,0.0842,6.8273
77,6.8716,6.9318,0.0428,0.1505,7.3060
78,7.4080,6.3384,0.0249,0.0797,6.5480
79,6.6209,6.6372,0.0351,0.1593,6.9551
80,7.0821,6.0840,0.0366,0.1243,6.3644
81,6.4126,6.7559,0.0516,0.1081,7.0168
82,7.0770,6.6120,0.0256,0.2899,7.0249
83,7.0659,6.4792,0.0219,0.2656,6.9035
84,6.9550,13.9484,0.0452,0.2536,14.4204
85,14.5323,6.1486,0.0763,0.1482,6.5142
86,6.5947,5.8990,0.0323,0.1724,6.2238
87,6.2676,6.6527,0.0322,0.1225,6.9530
88,6.9986,6.7670,0.0247,0.1839,7.0946
89,7.1928,6.7519,0.0267,0.1866,7.0629
90,7.1037,6.7549,0.0258,0.1465,7.0504
91,7.0878,6.2673,0.0244,0.1487,6.5638
92,6.6342,6.7195,0.0345,0.0975,6.9703
93,7.0479,6.3207,0.0545,0.0831,6.5959
94,6.6422,6.8159,0.0618,0.1456,7.1335
95,7.1745,6.7051,0.0292,0.1876,7.0170
96,7.0588,6.5954,0.0280,0.1276,6.8774
97,6.9278,6.7254,0.0756,0.3895,7.3162
98,7.3780,6.3803,0.3848,0.1157,7.0689
99,7.1428,5.8638,0.0291,0.1575,6.2099
100,6.2561,6.2855,0.0311,0.1660,6.6395
101,6.6995,6.7506,0.0394,0.1898,7.0947
102,7.1525,6.3539,0.0219,0.2641,6.7460
103,6.8232,6.6296,0.0328,0.1527,6.9429
104,6.9952,6.4798,0.0295,0.1501,6.7785
105,6.8207,6.4130,0.0586,0.1977,6.8370
106,6.9000,6.6219,0.0277,0.1858,6.9608
107,7.0109,6.6777,0.0280,0.1834,6.9954
108,7.0399,6.8045,0.0280,0.0881,7.0579
109,7.1020,6.4437,0.0241,0.1405,6.7146
110,6.7551,6.9147,0.0250,0.1569,7.1918
111,7.2321,6.5556,0.0223,0.1722,6.8426
112,6.9739,6.5673,0.0286,0.0843,6.7891
113,6.8418,6.5732,0.0271,0.1820,6.9262
114,7.0000,6.4281,0.0664,0.1252,6.7567
115,6.8369,6.5948,0.0309,0.2153,6.9796
116,7.0751,6.4340,0.0641,0.1237,6.7229
117,6.7757,6.6296,0.0285,0.2884,7.0469
118,7.0878,6.6418,0.0310,0.2033,7.0325
119,7.0886,6.3296,0.0314,0.1560,6.6220
