frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
0,0.0000,0.0210,0.1108,1.0143,9.4509
1,9.5768,0.0202,0.0365,0.4684,0.6690
2,0.8963,0.0219,0.0293,10.5487,10.7065
3,10.7632,0.0258,0.0429,0.0892,0.2788
4,0.3163,0.0132,0.0167,0.0621,0.1719
5,0.1986,0.1942,0.0285,0.0991,0.4191
6,0.4895,7.3316,0.0455,2.8422,10.3700
7,10.4884,3.5602,0.0400,1.1786,4.9139
8,5.0060,19.6424,0.0371,0.1827,19.9942
9,20.0566,6.7599,0.0431,0.1457,7.1118
10,7.1655,6.1343,0.0301,0.2002,6.4753
11,6.5161,7.0436,0.0404,0.1941,7.4096
12,7.4510,6.0177,0.0238,0.2122,6.3487
13,6.3856,6.4897,0.0306,0.2034,6.8287
14,6.8709,6.6985,0.0225,0.2301,7.0499
15,7.0895,6.7226,0.0305,0.2043,7.0677
16,7.1165,6.6041,0.0264,0.2032,6.9396
17,7.0325,6.5889,0.0457,0.1069,6.8873
18,6.9618,6.1192,0.0327,0.2036,6.4727
19,6.5665,6.6828,0.0258,0.1985,7.0130
20,7.0595,6.3544,0.0239,0.2030,6.6794
21,6.7204,6.5721,0.0235,0.1990,6.8939
22,6.9350,6.6061,0.0267,0.2070,6.9477
23,6.9919,6.7468,0.0238,0.2265,7.1004
24,7.1427,6.6111,0.0329,0.1849,6.9474
25,7.0577,6.6609,0.0331,0.2459,7.0514
26,7.1037,6.4922,0.0343,0.2744,6.9069
27,6.9487,6.2901,0.0314,0.3520,6.7809
28,6.8331,6.5967,0.0290,0.1932,6.9189
29,6.9627,6.5722,0.0299,0.3136,7.0188
30,7.0652,6.4957,0.0287,0.3182,6.9538
31,7.0012,6.3765,0.0264,0.2352,6.7390
32,6.8323,6.0792,0.0260,0.1764,6.3880
33,6.5239,6.5345,0.0383,0.2355,6.9347
34,7.0037,6.6857,0.0410,0.1063,6.9738
35,7.0356,7.3392,0.0481,0.1206,7.6677
36,7.7475,5.6115,0.0384,0.1724,5.9484
37,6.0077,6.6726,0.0234,0.1977,6.9985
38,7.0407,6.5399,0.0380,0.1858,6.9012
