frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
0,0.0000,0.0263,0.1344,1.1852,10.4874
1,10.6269,0.0226,0.0372,0.5566,0.7799
2,0.8308,0.0244,0.0254,0.2213,0.4575
3,0.4938,0.0156,0.3473,0.1186,0.5647
4,0.6038,0.0155,11.0306,0.1104,11.2864
5,11.3735,0.0293,3.0554,0.1289,3.3574
6,3.4988,0.0336,1.1410,0.1256,1.4127
7,1.4703,0.0210,4.0711,0.0818,4.2834
8,4.3448,0.0220,1.0156,0.1297,1.2956
9,1.3596,0.0204,1.0742,0.1178,1.3473
10,1.4036,0.0216,1.1687,0.0689,1.3593
11,1.4013,0.0153,0.0238,0.0414,0.1611
12,0.1870,0.4606,0.9281,0.0860,1.5667
13,1.6097,0.0139,1.5079,0.0562,1.6592
14,1.6950,0.0115,1.0943,0.0582,1.2430
15,1.2716,0.0109,6.8279,0.1341,7.0763
16,7.1683,0.0252,2.3225,0.0930,2.5763
17,2.6561,0.0216,5.9119,0.0646,6.1038
18,6.1634,0.0168,6.1724,0.0619,6.3451
19,6.4025,0.0145,18.3200,0.1233,18.5854
20,18.6963,0.0276,1.0115,0.2169,1.4441
21,1.6369,0.0239,4.7884,0.0777,5.0963
22,5.2147,0.0210,1.2185,0.2868,1.7164
23,1.8185,0.0257,4.8022,0.1101,5.0727
24,5.1409,0.0204,1.1508,0.0678,1.3443
25,1.3954,0.0128,5.2825,0.1775,5.6024
26,5.6761,0.0222,1.0675,0.0626,1.2573
27,1.3032,0.0142,5.1904,0.1015,5.3991
28,5.5007,0.0294,1.1144,0.1170,1.3753
29,1.4428,0.0304,5.2473,0.1154,5.5466
30,5.6117,0.0203,1.0777,0.0895,1.3229
31,1.3750,0.0174,5.2727,0.1120,5.5120
32,5.5760,0.0221,1.1081,0.1477,1.3981
33,1.4799,0.0215,4.9722,0.0794,5.2104
34,5.2731,0.0173,1.1515,0.0751,1.4076
35,1.4606,0.0170,5.2722,0.0888,5.4950
36,5.5635,0.0188,1.1991,0.0769,1.4009
37,1.4551,0.0185,5.2670,0.1131,5.5107
38,5.5961,0.0174,1.0990,0.0729,1.2886
39,1.3292,0.0118,5.1500,0.0685,5.3114
40,5.3622,0.1056,1.0422,0.0754,1.3706
41,1.4395,0.0269,5.2498,0.0919,5.4739
42,5.5416,0.0159,1.1161,0.0576,1.2932
43,1.3358,0.0131,5.3520,0.0626,5.5129
44,5.5582,0.0137,1.1922,0.0741,1.3610
45,1.4001,0.0133,5.3536,0.0805,5.5309
46,5.5917,0.0149,1.1535,0.0600,1.3132
47,1.3597,0.0132,5.3248,0.0767,5.4969
48,5.5501,0.0131,1.1803,0.0550,1.3313
49,1.3767,0.0144,5.3519,0.0726,5.5282
50,5.5786,0.0140,1.1772,0.0500,1.3166
51,1.3471,0.0103,5.3998,0.0828,5.5677
52,5.6146,0.0188,1.1317,0.0555,1.2825
53,1.3193,0.0123,5.3410,0.0659,5.4926
54,5.5403,0.0125,1.0979,0.0574,1.2554
55,1.2967,0.0125,5.5645,0.0738,5.7323
56,5.7845,0.0166,1.1345,0.0647,1.3030
57,1.3492,0.0138,5.3435,0.0956,5.5432
58,5.6075,0.0275,1.0265,0.0598,1.2211
59,1.2675,0.0144,5.3582,0.0824,5.5494
60,5.6054,0.0136,1.0906,0.0533,1.2454
61,1.2840,0.0122,5.5472,0.0734,5.7170
62,5.7787,0.0202,1.0647,0.0648,1.2464
63,1.2934,0.0303,5.2289,0.0759,5.4557
64,5.5312,0.0163,0.9437,0.0615,1.2352
65,1.2935,0.0192,5.3851,0.0898,5.6045
66,5.6681,0.0201,1.0796,0.1172,1.3200
67,1.3771,0.0202,5.3613,0.0998,5.5890
68,5.7229,0.0451,0.9710,0.1050,1.2214
69,1.3063,0.0163,6.6228,0.1417,6.9037
70,7.0006,0.0258,0.9725,0.0719,1.2589
71,1.3233,0.0173,4.0930,0.1566,4.3961
72,4.4679,0.0440,0.9580,0.0811,1.2026
73,1.2554,0.0172,5.1174,0.0971,5.3546
74,5.4466,0.0207,1.1041,0.0849,1.3551
75,1.4224,0.0225,5.2455,0.1088,5.5183
76,5.8989,0.0319,0.9413,0.1156,1.2349
77,1.3209,0.0235,4.9467,0.1503,5.2462
78,5.3193,0.0156,0.9990,0.0593,1.1830
79,1.2176,0.0103,5.2466,0.0618,5.3941
80,5.4314,0.0156,1.1130,0.0504,1.2657
81,1.2961,0.0104,5.4514,0.0716,5.6125
82,5.6578,0.0152,1.1594,0.0503,1.3010
83,1.3311,0.0108,5.4630,0.0611,5.6090
84,5.6499,0.0118,1.1205,0.0473,1.2547
85,1.2834,0.0096,5.4952,0.0757,5.6580
86,5.7158,0.0130,1.0778,0.0510,1.2286
87,1.2603,0.0190,5.3688,0.1099,5.5731
88,5.6418,0.0354,0.9900,0.0888,1.2549
89,1.3185,0.0203,5.3956,0.0865,5.6148
90,5.6879,0.0152,1.0492,0.0579,1.2210
91,1.2612,0.0115,5.3768,0.0893,5.5685
92,5.6249,0.0149,1.0810,0.0742,1.2739
93,1.3311,0.0196,5.5770,0.1496,5.8581
94,5.9393,0.0366,0.9239,0.1559,1.3288
95,1.4346,0.0347,5.0416,0.2510,5.5065
96,5.6441,0.0425,0.9324,0.1005,1.2773
97,1.3912,0.0254,5.1011,0.1047,5.4260
98,5.5273,0.0276,0.9469,0.1249,1.3405
99,1.4271,0.0420,4.9460,0.1609,5.3342
100,5.4259,0.0249,1.0387,0.0654,1.2601
101,1.3085,0.0174,5.1172,0.0764,5.3136
102,5.3831,0.0254,1.1084,0.0593,1.3135
103,1.3570,0.0138,5.3385,0.0557,5.5059
104,5.5391,0.0105,1.2061,0.0553,1.3510
105,1.3817,0.0097,5.3215,0.0475,5.4596
106,5.4878,0.0098,1.1867,0.0484,1.3135
107,1.3370,0.0078,5.4021,0.0499,5.5356
108,5.5669,0.0101,1.1787,0.0519,1.3115
109,1.3390,0.0099,5.3757,0.0441,5.4969
110,5.5230,0.0092,1.0807,0.0541,1.2119
111,1.2347,0.0078,5.5821,0.0457,5.6986
112,5.7214,0.0091,1.1046,0.0481,1.2253
113,1.2473,0.0079,5.5485,0.0849,5.7228
114,5.7752,0.0178,0.9428,0.0630,1.1793
115,1.2222,0.0162,5.4467,0.0536,5.6039
116,5.6329,0.0116,1.0603,0.0591,1.2110
117,1.2491,0.0155,5.6871,0.0886,5.8930
118,5.9529,0.0189,0.9745,0.0908,1.1975
119,1.2468,0.0187,5.2356,0.1161,5.4661
120,5.5060,0.0196,1.1475,0.0770,1.3390
121,1.3814,0.0158,5.3817,0.0658,5.5548
122,5.6952,0.0184,0.8708,0.0826,1.1129
123,1.1557,0.0152,5.4738,0.0614,5.6362
124,5.6780,0.0153,1.0886,0.0890,1.2955
125,1.3624,0.0234,5.4864,0.0610,5.6880
126,5.7279,0.0108,1.0839,0.0810,1.2780
127,1.3266,0.0175,5.3078,0.0708,5.4841
128,5.5135,0.0128,1.0940,0.0547,1.2407
129,1.2773,0.0107,5.7174,0.1649,5.9921
130,6.0350,0.0221,0.9229,0.0755,1.1549
131,1.1874,0.0139,5.0927,0.1006,5.2984
132,5.3360,0.0179,1.0610,0.0658,1.2357
133,1.2765,0.0160,5.5178,0.0674,5.6810
134,5.7828,0.0234,1.0135,0.0715,1.2028
135,1.3520,0.0242,5.2726,0.0654,5.4586
136,5.5026,0.0165,1.0318,0.1706,1.3286
137,1.4183,0.0279,5.3362,0.1276,5.8050
